subject|主语
object|宾语
predicate|谓语
modifier|定语
noun|名词
n.|名词
pronoun|代词
pron.|代词
verb|动词
preposition|介词/介词短语
prep.|介词/介词短语
adjective|形容词
adj.|形容词
adverb|副词
adv.|副词
dependent clause|从句
phrase|短语
capital|adj.大写字母
capitalization|n.大写字母
part of speech|句子成份
apostrophe|所有格

proportion|比例
sail|n.帆,航行 v.航行
line graph|线型图
professional|adj. 专业的，职业的
invite|vt.邀请,招待
pie chart|n. 饼形图
Future Perfect Tense|将来完成时
revision|n. 修订，修改
stuff|n. 东西；材料
oppose|v 反对，反抗
plural|a.复数的 n.复数
public|公共的
ceremony|n.典礼，仪式
invitation|n.邀请，请帖
pictograph|统计图表
timeline|时间轴
giraffe|长颈鹿
scent|n 气味 v 发出气味，闻出气味
cent|n.(货币单位)分, 分币
on sale|n 卖，打折
replace|vt. 代替，取代
steel|n.钢,钢铁
steal|v.偷,窃取;偷偷地做
still|ad.还，仍然
wolf|狼
predicate|谓语动词
preposition|介词
pronoun|代词
expository|adj.解释的，说明文
descriptive|a.描述的,叙述的
persuasive writing|说服性文章，议论文
narrative|a.叙述的，讲故事的，记叙文
personal|个人的
opinion|意见，看法
background|n. 背景
text|文本
report|报告
greeting|问候，招呼
lyric|歌词
lab|实验室
poem|诗；韵文
diary|日记
biography|n 传，传记
Swiss|瑞士的；瑞士人
seem|v.似乎，好像是
receive|
review|评论，简介
recipe|食谱，处方
feature|n.特色，特点，特征
detail|细节
punctuation|标点符号
quotation mark|引号
post office|邮局
crazy|adj. 疯狂的，狂热的
curious|adj. 好奇的；古怪的
original|最初的
weird|a 离奇的，古怪的
