engaged|adj.忙碌的；使用中的；订婚了的
slimy|adj.黏滑的；卑劣的
stool|n.凳子；搁脚凳；便桶；大便; vi.引诱
learners|学习者
murky|adj.黑暗的；朦胧的；烟雾弥漫的；含糊的；隐晦的
ultra|adj.超；过激的；极端的; n.过激论者；急进论者
shudder|vi.战栗；发抖; n.战栗；震颤
milky|adj.乳状的；乳白色的
trays|塔板
warmly|adv.亲切地；温暖地；热烈地
chariot|n.二轮战车; v.驾驭战车
render|vt.提供；表现；使成为；宣布；翻译；回报；给予补偿；【计】渲染; n.粉刷；打底；交纳
saddle|n.鞍；车座；山脊；当权; vt.装以马鞍；使负担; vi.装马鞍
cattle|n.牛；家畜；畜牲
unlock|v.开锁；开启；揭开；显露
fertility|n.【C】肥沃；(人)繁殖力；(思想等的)丰富
embrace|v.拥抱；包含；包围；接受；信奉; n.拥抱
zap|v.击溃；射杀；快速移动; n.精力；活力; int.嚓(表示枪声等）
eyed|adj.眼的（常用于合成词）
frown|n.皱眉；不悦; v.不同意；皱眉头
carcass|n.尸体；残骸；骨架；(人的)身躯
smoothly|adv.平滑地；流畅地
jumper|n.跳跃者；跳高运动员；雪橇；[电]跳线; n.无袖连衣裙；套头衫；连衫裤童装；工作夹克
roar|v.吼叫；咆哮; n.吼声；咆哮；轰鸣；喧闹
surgeon|n.外科医生
myths|神话
sob|v.抽泣；呜咽; n.呜咽；哭泣
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
spear|n.矛；标枪; v.刺穿
keeper|n.看守人；饲养员；管理者
liar|n.说谎者；骗子
weekly|adj.每周的；一周一次的；周刊的; n.周刊；周报; adv.每周；一周一次
assist|vt.帮助；协助; vi.帮助；出席; n.帮助；协助；助攻；协助的器械
sake|n.理由；缘故；目的；利益
archaeological|adj.考古学的；考古学上的
squat|v.蹲下；蹲坐；擅自占地; adj.蹲着的；矮胖胖的；低矮的; n.蹲；擅自占用的土地
chrome|n.铬；铬黄；谷歌浏览器; vt.镀铬
luckily|adv.幸运地；幸亏地
plentiful|adj.丰富的；多的；充裕的
ritual|n.仪式；典礼；宗教仪式；固定程序; adj.仪式的；老规矩的；惯常的
nearest|adj.最近的
gorgeous|adj.华丽的；灿烂的；极好的
hoarse|adj.沙哑的；嘶哑的；刺耳的
stinky|adj.恶臭的
disgrace|n.耻辱; v.耻辱；丢脸
armor|n.盔甲；装甲
magician|n.魔术师；术士
poker|n.扑克; n.戳(或捅)的人；拨火棍
exquisite|adj.精挑细选的；精致的；细腻的；强烈的; n.过分在意外表着装的人
pat|n.轻拍；轻打；小块; v.轻拍；抚摸；拍打
oracle|n.神谕；神谕处；传达神谕的人；能提供可靠意见的人
clip|vt.夹住; v.剪短; v.疾驰；猛击; n.夹子；弹夹；回形针；钳; n.修剪；(羊毛的)剪下量；(被剪下的)东西
brass|n.黄铜(制品)；铜管（乐器）；厚脸皮; adj.黄铜的
wicked|adj.坏的；邪恶的；缺德的; adv.极端地；非常地; vt.吸收
revive|vt.使重生；恢复精神；唤醒; vi.复生
carpenter|n.木匠; v.做木工活
slay|vt.杀害；残杀；使大笑
paddle|n.桨；划桨；明轮翼; v.划桨；戏水；抚弄
lug|n.柄；突出部；螺帽; n.(英）耳朵; 笨蛋; vt.拖；拉；用力拖动
helper|n.助手；帮手
courtyard|n.庭院；院子
aerobics|n.有氧运动；健美操
pluck|v.摘；猛拉；拔；拨弹（乐器）; n.猛拉；勇气；动物内脏
bravery|n.勇敢；华丽(的衣服)
dung|n.动物的粪便; v.上粪
achievement|n.成就；成绩；完成；达到
torch|n.手电筒；火炬；火把；纵火犯; v.纵火
lumber|n.木材；木料; v.伐木; vi.缓慢地移动; vt.拖累
slump|v.大幅度下跌；猛然瘫坐；使倒下; n.暴跌；低潮状态；(土地)下沉
goddess|n.女神；受崇拜的女性
thereafter|adv.其后；从那时以后
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
snug|adj.温暖舒适的；合身的；安全的; v.使整洁干净；舒适地依靠；紧贴; n.酒吧里的私房
shaker|n.摇动者；摇动器；搅拌器; Shaker：adj.；夏克尔风格的
farewell|int.再会；别了; n.告别; adj.告别的
rosy|adj.玫瑰色的；美好的
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
kindness|n.仁慈；好意；友好的行为
headline|n.大字标题；新闻提要；头条新闻; v.加标题于；宣扬；作主角
threes|n.祝你走运
tickle|vt.使发痒；逗乐；使快乐; vi.觉得痒; n.痒；抓痒
hearth|n.炉床；灶台；炉边
ash|n.灰；灰烬; n.白蜡树；白蜡木; (复)ashes：骨灰；废墟；苍白.
fin|n.鳍；鱼翅；鳍状物；散热片；五元纸币
grit|n.砂砾；粗砂石；勇气；决心; vt.覆以砂砾；咬紧牙关; vi.发出刺耳声
waking|adj.醒着的
clink|n.牢房；叮当声; v.(使)叮当响
cranky|adj.怪癖的；不稳的
freshwater|adj.淡水的；内河（航行）的; n.淡水
colossal|adj.巨大的；异常的
ooh|int.噢；呵(表示惊讶、欣喜、痛苦等); vi.以高兴（惊喜等）语调说
linen|n.亚麻布；亚麻线；亚麻制品; adj.亚麻布制的；亚麻的
daddy|n.爸爸
destruction|n.破坏；毁灭
tails|n.(硬币的)反面
puppy|n.小狗；自负的小伙子
fake|adj.假的; n.骗子；假货；欺骗; vt.伪造；伪装; vi.假造
bye|int.再见
accompany|vt.陪伴；伴随...发生；补充；给...伴奏; vi.伴奏
pee|n.小便; vi.小便
silvery|adj.含银的；银色光泽的；银铃般的
scarce|adj.缺乏的；不足的；稀少的；罕见的; adv.勉强
moisture|n.水分；潮气；湿度
earliest|n.最早; adj.最早的
chaos|n.混乱；无秩序；混沌
drown|vi.淹死; vt.淹死；淹没
confusion|n.惶惑；混淆；混乱；不确定状态
supervise|vt.监督；管理；指导
practicing|adj.开业的；在工作的
dawn|n.黎明；曙光；开端；破晓; vi.开始出现；破晓；逐渐明白
barrage|n.弹幕；掩护炮火; n.拦河坝; vt.以密集火力进攻
offerings|n.提供之物
digest|n.摘要; vt.消化；理解; vi.消化
dictatorship|n.专政；独裁（权）
whirl|v.使...旋转；回旋；迅速移动；头晕目眩; n.回旋；旋转；一个接一个的活动；混乱；尝试
compound|n.化合物；复合词；复合物; n.院子(用围墙圈起来的场地）; adj.化合的；【语】（词语等）复合的；【植】复合的；【动】群体的; vt.混合；调合；使严重；私了；【经】以复利计算; vi.妥协
cloak|n.斗蓬；宽大外衣；掩盖物; v.遮掩；隐匿
rake|n.耙子；耙状物; n.放荡的人; n.斜度；倾角; v.用耙子聚；收集；搜索; v.使倾斜
glide|v.滑动；滑翔；溜走; n.滑动；滑过；滑音
furiously|adv.狂怒地；有力地；猛烈地
marketplace|n.集会场所；市场
dangle|v.摇晃；悬垂；挂着；追求; n.摇摆；摇摆物
crashing|adj.绝对的；彻底的；非凡的
