development|n.发展；开发；生长；进展；[摄]显影；新开发区
absent|adj.缺席的；不在的；缺乏的; vt.使缺席
recently|adv.最近
information|n.信息；情报；资料；通知
cousin|n.堂(或表)兄弟(姐妹)
game|n.游戏；运动会；比赛；一场比赛；比赛得分；猎物；花招; v.赌博; adj.勇敢的；乐意的；跛的
may|aux.可以，能够；可能，也许；祝，愿；会，能; n.[大写]五月
actually|adv.实际上；事实上；竟然（表示惊讶）
admire|vt.钦佩；赞美；羡慕；欣赏
province|n.省
passenger|n.乘客；旅客
April|n.四月
heart|n.心；内心；中心；要点；红桃; v.将…记在心里，铭记；鼓励
economic|adj.经济学的；经济的；有利可图的
council|n.地方议会；委员会；理事会；会议；委员
people|n.人；人民；人们; v.使住人；居住于
significant|adj.重要的；有意义的；意味深长的；显著的
employment|n.职业；雇用；使用
Bless you|祝福你
pound|n.磅；英镑; n.（汽车）扣押所；宠物收留所; vt.捣碎；敲打；连续猛击; vi.咚咚地走；怦怦地响
policy|n.政策；方针; n.保险单
complain|vi.抱怨；控诉；诉说
pronunciation|n.发音；读音
former|adj.前者的；前任的；以前的; n.创造者；学校某一年级的学生
valley|n.山谷；溪谷；流域
march|n.行军；行进；游行示威；稳步前进；进行曲; v.行进；前进；进发；使同行；游行示威; March; n.三月
programme|n.方案；（活动的）程序；节目；规划；课程；（机器工作的）程序; v.计划；培养；编程；制作节目；预设
aggressive|adj.侵略的；进攻性的；好斗的；有进取心的
embarrassed|adj.尴尬的；拮据的；局促不安的
unimportant|adj.不重要的
a|art.一(个)；每一(个)；任一(个); n.英语字母表的第一个字母；学业成绩得优者；表示“最好”的符号
assistant|n.助手，助理，助教；【化】（用于染色的）助剂; adj.副的；辅助的
comb|n.梳子；鸡冠；蜂房; v.梳理；彻底搜寻
prime|adj.最好的；首要的；典型的; n.壮年；全盛时期；青春; n.[数]质数; vt.事先指点；在（金属、木材等上）打底漆; vi.变得首要
furry|adj.毛皮的；盖着毛皮的；似毛皮的；有舌苔的；沙哑的
opportunity|n.机会；时机
bulb|n.球茎；电灯泡；球状物
June|n.六月; n.琼(女子名)
autograph|n.亲笔签名；手稿，原稿，手迹，真迹; v.亲笔签名于；亲笔书写
extent|n.广度；宽度；长度；大小；范围；程度; n.[律]扣押；临时所有权令
certainly|adv.当然；一定
glasses|n.眼镜；双筒镜; 名词glass的复数形式.
Brazilian|n.巴西人; adj.巴西的
within|prep.在(某段时间、距离或范围)内；在…里面; adv.在…里面; n.内部
soldier|n.士兵；军人; vi.当兵；坚持做
individual|adj.单独的；一个人的；独有的; n.个人；个体
previous|adj.以前的；先于；在...之前
rapid|adj.短时间发生的；急速的；迅速的；快的；险峻的; n.急流；湍滩
feeling|n.感觉；知觉；气氛；鉴赏力；反感; adj.有感情的；富于同情心的；含情脉脉的; （复）feelings：感情.
cotton|n.棉花；棉制品；棉布
criticize|v.批评；挑剔；评论；非难；吹毛求疵
plastic|n.塑料；塑料制品；信用卡; adj.塑料的；可塑的；造型的；易受影响的；整形的
ticket|n.票；券；标签；罚单；候选人名单; vt.加标签于；售票；开罚单；检票，查验票证
predicate|n.[语]谓语；述语; v.断定；意味；宣称；基于; adj.谓语的
concerned|adj.担忧的；关心的；关切的；有关的
despite|prep.尽管；不管; n.憎恨；轻视
abroad|adv.到国外；广为流传; adj.在国外；海外(一般作表语)
production|n.生产；产量；作品；成果；分泌；制作；上映；播出
Brazil|n.巴西
problem|n.问题；难题；习题; adj.成问题的；难对付的
illness|n.病；疾病
security|n.安全；保证；证券；债券；抵押；防护措施
lower|adj.低的；下级的；下层的; v.降低；减弱；跌落
committee|n.委员会
disable|v.使...失去能力
atmosphere|n.大气；空气；气氛；气压
magazine|n.杂志；弹盘；弹药库
communication|n.交流；通讯；传达；通信；沟通
finally|adv.最后；决定性地；最终
America|n.美国；美洲
chopsticks|n.筷子（名词chopstick的复数形式）
property|n.财产；所有物；地产，房地产；性质；道具
biology|n.生物学；(一个地区的全部)生物；生物群落
July|n.七月
specifically|adv.特别地；明确地；具体地
energetic|adj.精力旺盛的；有力的；能量的
misleading|adj.令人误解的；引入歧途的; 动词mislead的现在分词.
economy|n.经济；节约; adj.经济的；廉价的
rich|adj.富有的；富饶的；丰富的
bridge|n.桥梁；纽带；桥牌；鼻梁；（音乐）琴马；齿桥; vt.架桥；渡过；缩短...差距
clearly|adv.清楚地；显然地
