arena|n.竞技场
presidential|adj.总统的；总统制的
yemeni|adj.也门的; n.也门人
pizzly|n.灰北极熊；雄性北极熊和雌性灰熊的杂交后代
coronavirus|n.[微]日冕形病毒；冠状病毒
strengthen|v.加强；变坚固
whatsoever|adv.任何(用于否定句中以加强语气); pron.无论什么; adj.无论什么的
caregiver|n.看护者
grocery|n.杂货店; adj.杂货的; （复）groceries：食品杂货.
blanket|n.毛毯；覆盖物；排字版; vt.覆盖；用毯子裹；扑灭；挡风；使包含; adj.包含所有的；适用于所有情形的
immigrant|n.移民；侨民
phoenix|n.凤凰；不死鸟
hijab|穆斯林女性使用的头巾
voters|选民
wireless|adj.无线的; n.无线电
posters|招贴广告
amid|prep.在其间；在其中
global|adj.全球性的；总的；球状的
residents|居民
brew|v.酿造；泡（茶）；酝酿；策划; n.酿造物；（酿造物的）质地；混合物
intern|n.实习生；拘留犯; vt.扣留; vi.作实习生
defense|n.防卫；防卫物；辩护; vt.防守
populations|居群
tung|n.油桐树
ancestry|n.祖先；家世；门第；血统
melt|vi.融化；熔化；消散; vt.使融化；使熔化；使消散; n.熔化物；融化；熔解
hunting|n.打猎；搜寻; [电子学]速度偏差.
locally|adv.在本地；地方性地；局部地
thriving|adj.繁荣的；旺盛的；兴旺的
runny|adj.流鼻涕的；松软的；水分过多的
supreme|adj.最高的；至上的；极度的
islamic|adj.伊斯兰教的
tang|n.强烈的味道；特性；柄脚; v.装柄脚；使声尖锐
rumor|n.谣言；传闻; vt.谣传; =rumour
donations|募捐
canned|adj.罐装的；预录的；千篇一律的
superfine|adj.过细的；微细的；极好的
hogan|n.泥盖木屋
sunrise|n.【U】日出; n.【C】(太阳升起时的)一片天空
ancestor|n.祖宗；祖先；原种
sweeter|全景分析器
flavor|n.风味；特殊的滋味；风格；调味品; vt.加调料于...；给...添加情趣
chili|n.辣椒；红番椒
fastest-growing|adj.增长最快的
catnip|n.猫薄荷；樟脑草; =catmint.
tied|v.系；打结；约束; vbl.系；打结；约束
spiritual|adj.精神的；心灵的；与上帝有关的; n.(尤指美国南部黑人的)圣歌
pesticides|n.杀虫剂
yaks|牦牛
acre|n.英亩
spray|v.喷雾；喷射；扫射; n.喷雾；喷雾器；水沫
medium-low|adj.中低
shuttle|n.梭子；穿梭；往返移动之物；航天飞机; v.往返运送；穿梭移动
pot|n.罐；壶；一大笔(钱)；奖杯（尤指银杯）；大麻; v.把...装罐；射猎；(台球)入袋
lesser|adj.较少的；较小的；次要的
harbor|n.海港；避难所; vt.庇护；心怀；窝藏; vi.生存；进入避祸所
islamic|adj.伊斯兰教的
fluffy|adj.毛绒绒的；蓬松的；空洞的
guardian|n.保护人；监护人
portray|vt.描写；描绘；饰演
redrawing|拔丝,反拉力拉丝,再拉拔
vanilla|n.香草
shift|v.移动；改变；换挡；字型转换; n.轮班；变化；移动；计谋；轮班职工
visible|adj.看得见的；可见的；显而易见的
fishing|n.钓鱼；渔场；渔业
census|n.人口普查；户口普查；统计
senate|n.参议院；大学理事会
noisy|adj.喧闹的；嘈杂的；吵闹的
extract|vt.摘录；提取；拔出；榨出；选取; [计算机]提取.; n.摘录；精华；榨出物
cultivate|vt.栽培；耕作；培养；陶冶；结交(朋友)
presidential|adj.总统的；总统制的
sensor|n.传感器；探测器
puffy|adj.浮肿的；膨胀的；肥满的
trek|vi.长途跋涉; n.艰苦跋涉
reef|n.暗礁；矿脉; n.缩帆部; v.缩帆；卷起
wingless|adj.无翼的；没有翅膀的
playful|adj.爱玩耍的；嬉戏的；开玩笑的
mosquito|n.蚊子
marine|adj.海的；海事的；海生的；航海的; n.海运业；船舶；水兵
centerpiece|n.中心装饰品；（餐桌）中央的摆饰
whip|n.鞭子；鞭打；鞭状物; v.抽打；彻底打败
inch|n.英寸；少量; v.慢慢移动; （复）inches:身高.
greens|青菜
relocate|v.重新装置；再配置；放在新地方
cataria|[医]樟脑草(潞州荆芥)
injustice|n.不公正；不公正的行为
repellent|n.驱虫剂；防水剂; adj.令人厌恶的；排斥的；驱除的；防水的
immigrate|v.移居入境
accuracy|n.准确(性)；精确度
imaginary|adj.想象的；虚构的
deed|n.行为；事迹；[法]契约; vt.立契转让
representations|n.陈述
strawberries|n.草莓
yummy|adj.美味的；好吃的；愉快的；吸引人的，悦人的
supreme|adj.最高的；至上的；极度的
interact|vi.相互作用；相互联系；相互影响；互动
herd|n.兽群；牧人；群; vt.放牧；群集；使...成群，把…赶到一起; vi.聚在一起
counterclockwise|反时针方向(的)
reference|n.参考；参照；出处；推荐人；推荐函; v.注明出处；附参考资料
totally|adv.完全
impact|n.影响；冲击力；撞击; vt.挤入；压紧；撞击；对...发生影响; vi.冲击；撞击；产生影响
discrimination|n.歧视；鉴赏力；辨别
skinny|adj.皮的；皮包骨头的；很瘦的; n.内部消息
curriculum|n.全部课程；课程
feeling|n.感觉；知觉；气氛；鉴赏力；反感; adj.有感情的；富于同情心的；含情脉脉的; （复）feelings：感情.
frequently|adv.频繁地；经常地
broad|adj.宽广的；清楚无误的；明显的；胸怀开阔的；粗俗的; n.女子
carbon|n.碳；复写纸；复本；碳精棒
essential|adj.本质的；必要的；重要的; n.要素；必需品
committed|adj.忠诚的；坚定的；献身于某种事业的；委托的
further|adj.更远的; adv.进一步地；此外; v.促进；推动
lord|n.君王；勋爵；统治者；[大写]上帝；主; v.使…成君主；支配；作威作福
minister|n.外交使节；部长；大臣；牧师; v.照顾；给予帮助
globally|adv.世界上；全世界
finance|n.金融；财政；资金; vt.给...提供资金；负担经费
vaccinate|v.接种疫苗；预防接种
workforce|n.劳动力；工人总数；职工总数
transfer|v.转移；调任；转乘; n.迁移；移动；换车；汇兑
relatively|adv.相对地；比较地
marketing|n.市场营销；行销
