opponent|n.对手；反对者；敌手; adj.反对的；敌对的
bump|v.碰撞；颠簸而行；提高; n.肿块；撞击；表面隆起; adv.突然的；猛烈的
chow|n.食物；中国黑鼻狗; v.吃
cultivate|vt.栽培；耕作；培养；陶冶；结交(朋友)
louder|adj.更大声的
undid|v.解开；复原
vegetarian|n.素食者; adj.素食的
dogsled|n.狗拉雪撬
equator|n.赤道
infield|n.农宅周围的田园；耕地；内野
lyrics|n.抒情诗；歌词
wicket|n.[板球]三柱门；两座三柱门之间的场地；一局；小门
worker|n.工人；工作者
bouncy|adj.快活的；精神饱满的；有弹性的
chirp|v.吱喳而鸣；轻松愉快地说; n.喳喳声；唧唧声
picks|精选
rainforest|n.雨林
stranger|n.陌生人；外地人；新手
catcher|n.捕手；接球员；捕捉者；捕捉器
triangle|n.三角(形)
fiesta|n.(西班牙语国家的)宗教节日；节日；假日
wail|v.痛哭；发出似哭的尖声；悲叹; n.痛哭；尖叫声
unclear|adj.不清楚的；含混的
pul|n.普尔(阿富汗货币单位)
homo|n.人；同性恋者; pref.表示“相同”、“相等”、“类似”
squeeze|v.挤压；塞进；压榨；设法腾出; n.挤压；少量；拥挤；严控；财政困难
thali|n.(印度装食物用的)大浅盘
levy|n.征税；召集; vt.征收；发动; vi.强收
feeder|n.饲养者；进食者；供给者；输电线；分支；支流；支线驳船
adorable|adj.值得崇敬的；可爱的
crawly|adj.痒痒的；悚然的
bake|v.烤；烘焙；烘干；灼热
item|n.项目；条款；一件商品（或物品）；一则或一条新闻; adv.也
kitten|n.小猫; vi.生育小猫
whack|v.敲击；重打；瓜分; n.重击；重打；尝试；一份
pot|n.罐；壶；一大笔(钱)；奖杯（尤指银杯）；大麻; v.把...装罐；射猎；(台球)入袋
lichens|地衣类,地衣
ibex|n.北山羊；巨角塔尔羊
mud|n.泥；泥浆；诽谤; vt.弄脏；抹泥
forty-three|num.四十三
tumble|v.暴跌；倒塌；跌倒；翻滚；弄乱；明白；突然发现; n.暴跌；跌跤；混乱
glow|n.光辉；热情；赤热; vi.发红光；红光焕发
partnership|n.合伙人身份；合股；合伙经营
wow|n.巨大的成功; int.哇！; vt.使热烈赞赏
parafoil|n.[空]翼伞
happily|adv.幸福地；快乐地；幸好；恰当地; 形容词happy的副词形式.
sow|v.播种；散布; n.母猪
box-shaped|adj.箱形的
favor|n.偏爱；好意；特权；赞成; vt.偏爱；给予；支持；关心；利于；长得像
device|n.装置；设备；策略；设计
westernize|v.使...西洋化；使...欧化
lawmaking|n.立法
wowser|n.虔诚之清教徒；老古板
yam|n.山药；番薯
civ|(=chiloirridescentvirus)奇洛彩虹色病毒,(=commoniliacvein)髂总静脉
shave|v.刮；剃；修剪；掠过；削减; n.剃须；修面；剃刀
offensive|adj.令人不快的；冒犯的；侮辱的；与进攻有关的; n.攻势；攻击
franklin|n.小地主；乡绅
ma|n.妈
predators|食虫动物
rainbow|n.彩虹；五彩缤纷的排列；幻想
taffy|n.太妃糖；献媚; Taffy; n.威尔士佬
recovery|n.恢复；痊愈；复原；重获
enzymes|n.酶；酵素
pedal|n.踏板；乐器的脚踏键; v.用脚踏动；踩踏板
mama|n.母亲；妈妈
fluffy|adj.毛绒绒的；蓬松的；空洞的
howl|n.长嚎；高声叫喊；啸鸣; v.嚎叫；大声哭；吼叫着说出
firs|[计]先前的
bail|n.保释；杓；把手；保证金；担保人; vt.保释；往外舀水；使摆脱困境; vi.舀空
scrunch|v.碾；压；蜷缩；揉皱；嘎吱嘎吱地作响; n.嘎吱嘎吱的响声
index|n.指数；索引；(刻度盘上的)指针; v.指出；编索引
buyer|n.买方
burp|n.饱嗝儿; v.打嗝
chick|n.小鸡；少妇; adj.胆小的；懦弱的
butler|n.男管家；仆役长
lizard|n.蜥蜴
sleigh|n.雪橇; vi.坐雪橇
foam|n.泡沫；汗; v.起泡沫；吐口沫；愤怒；沸腾
nest|n.巢；窝; vt.为...筑巢；嵌入; vi.筑巢；寻找鸟巢
curly|adj.卷曲的
strip|v.剥去；剥夺；脱衣；除去; n.脱衣舞；长条；条状
frame|n.骨架；身躯；结构；框；帧; v.表达；制定；把...框起来；陷害
barber|n.理发师; vi.当理发师; vt.给…理发；修剪
cleat|n.楔子(栓、系缆墩)；防滑条; v.加拴或楔子；加防滑条
emperor|n.皇帝
protector|n.保护人；保护物；保护装置
hatch|n.孵化；舱口，舱口盖; v.孵；孵出；策划
contributor|n.贡献者；捐助者；赠送者；投稿人；原因
frustrated|adj.失意的；沮丧的；失败的
midnight|n.午夜；漆黑
maiden|n.未婚女子；少女；断头机；从未赢过的赛马; adj.未婚的；处女的；初次的
overpass|n.天桥；立交桥; vt.超越；胜过；忽略
ladder|n.阶梯；梯子；梯状物
infection|n.传染；传染病；影响
tack|n.大头钉；行动方针; v.以大头针钉住；附加
shift|v.移动；改变；换挡；字型转换; n.轮班；变化；移动；计谋；轮班职工
ward|n.病房；行政区；监护；守卫；受监护人; vt.守护；躲开
cardboard|n.厚纸板; adj.厚纸板的；不真实的；无实质的
chestnuts|栗
fielder|n.守场员
icy|adj.冰的；冷淡的
keep-away|n.【美】抓球游戏
earn|vt.赚得；赢得；获得
silkies|丝羽乌骨鸡
hibernate|vi.冬眠；蛰伏；过冬
chomp|v.大声地咀嚼；反复咀嚼; n.有力的咀嚼
plums|n.李子
memorials|n.纪录
alligator|n.短吻鳄; adj.鳄鱼皮的
thunder|n.雷；雷声; v.打雷；轰隆地响；大声喊出
tan|n.棕褐色；黝黑; v.晒黑；鞣(革)；痛打; adj.棕褐色的
wicketkeeper|n.(板球)三柱门的防守员；捕手
purely|adv.纯粹地；清白地；纯洁地
bulky|adj.庞大的；笨重的；肥大的
chuckle|v.轻声笑；咯咯笑；暗自笑; n.轻声笑；咯咯笑
closely|adv.紧密地；接近地；严密地；亲近地
bully|n.欺凌弱小者；开球; vt.恐吓；威胁；欺负
relocate|v.重新装置；再配置；放在新地方
wizard|n.【C】男巫；术士；鬼才
