betcha|int.当然；真的；的确！; =betyou.
olive|n.橄榄；橄榄树；橄榄色; adj.黄褐色的；橄榄色的
harmony|n.和谐；协调；调和；和声
amused|adj.愉快的；顽皮的；被逗乐的；觉得好笑的
afterlife|n.来世；后来的岁月
edition|n.版；版本
scram|n.急停；急离；紧急刹车; v.快走开
peg|n.钉；支柱；借口; vt.钉木桩；扔; vi.努力工作；匆忙走
gross|adj.总的；粗鲁的；公然的；荒唐的；令人讨厌的; n.总量；总额; vt.总共赚得; adv.总共地
outfit|n.配备；用具；机构; vt.配备；供应; vi.得到装备
spelling|n.拼法；拼写
holler|v.叫喊；发牢骚; n.叫喊；怨言
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
bordering|n.边缘(设立疆界；边界标志物)
overthrow|v.推翻；打倒；颠覆；[体]高投; n.推翻；瓦解；颠覆；[体]高投
fog|n.雾；朦胧；迷惑; v.以雾笼罩；使模糊；迷惑
rhythmic|adj.有节奏的；有韵律的
unbelievable|adj.难以置信的
gunman|n.持枪者；枪手；持枪歹徒；职业杀手
thud|n.重击声；砰的一声; v.发出砰的一声
gut|n.内脏；肠子；羊肠线；胆量；勇气; vt.取出内脏；摧毁（内部）; adj.本能的；（问题等）根本的
overlord|n.霸王；大君主；最高君主
swoop|v.抓取；猛扑；突然袭击; n.俯冲；攫取；突然袭击
sword|n.剑；刀
mortality|n.死亡率；死亡数目；必死性
spawn|n.卵；产物；后代；结果; vt.产卵；种菌丝于；产生；造成; vi.产卵；大量生产
cuff|n.袖口；手铐; n.巴掌; v.为...上袖口；带手铐; v.轻拍；掴
unmarried|adj.未婚的；独身的; n.未婚者
exhausted|adj.用完的；精疲力竭的
routine|n.例行公事；常规；无聊; adj.常规的；例行的；乏味的
squeaky|adj.吱吱响的；发轧声的；短促尖声的
tread|n.步法；踏面；胎面花纹；鞋底; v.踩；行走；践踏；(鸟类)交配
scenery|n.风景；背景；布景
legendary|adj.传说的；传奇的；著名的
moan|n.呻吟声；抱怨声; vt.抱怨；呻吟; vi.呻吟；抱怨
tone|n.语气；音调；调子；色调；风气; v.使更健壮；定调；调色；装腔作势地说
stench|n.臭气；恶臭
trickle|vi.滴流；慢慢移动; n.细流；徐徐地流
