nap|n.小睡；绒毛；纳普牌; vi.打盹；疏忽
thoughtful|adj.深思的；体贴的
footed|adj.有脚的；...脚的
raging|adj.狂暴的；非凡的；熊熊燃烧的
wool|n.羊毛；毛线；毛织品
platform|n.月台；讲台；平台；站台；(政党的)政纲
giggle|v.咯咯地笑; n.咯咯笑；趣事
rattle|vi.嘎嘎作响；喋喋不休; vt.使惊惶失措；使恼火；使作响；急促地谈讲; n.嘎嘎声；嘎嘎响的东西；拔浪鼓
unharmed|adj.没有受伤的；无恙的
supporter|n.支持者；拥护者；支撑物
tug|n.用力拉；拖船; v.用力拉
invincible|adj.不可征服的；不能战胜的
indoor|adj.户内的；室内的
boar|n.野猪；公猪
eerie|adj.怪诞的；可怕的；奇异的；害怕的
technically|adv.技术上；学术上；严密地
appetite|n.食欲；嗜好；欲望
foul|adj.恶臭的；邪恶的；污秽的；恶劣的；犯规的; n.犯规; v.弄脏；妨碍；犯规
bait|n.饵；引诱; v.以饵引诱；逗弄；中途休息
disgusting|adj.令人厌恶的
demotic|adj.平民的；民众的；通俗的
gladly|adv.高兴地；乐意地
budge|v.移动；妥协; n.羔皮; adj.浮夸的；庄严的
dedication|n.奉献；献词；献堂礼
collectors|集合管
glint|n.闪烁; v.闪耀；闪闪发光
goalkeeper|n.守门员; =goaltender(美).
demi|pref.半
syrup|n.糖浆；甜而黏稠的汁液
faint|adj.微弱的；无力的；模糊的; v.昏倒; n.昏厥；昏倒
overtime|n.加班时间(加班加点费)；(比赛)延长时间; adv.在规定时间之外(超出时间地)
fog|n.雾；朦胧；迷惑; v.以雾笼罩；使模糊；迷惑
stomp|vt.跺（脚）；重踏; n.跺脚舞；顿足爵士舞乐曲
elegant|adj.优雅的；雅致的
thee|pron.[古]你；汝；你自己
convert|v.(使)转变；使…改变信仰；转化；兑换；换算; n.皈依者；改变信仰的人
sweat|n.汗水; n.焦急；繁重工作；(凝结在物体表面的)水珠; v.(使)出汗
waterways|n.排水沟
weave|v.编织；组合；编造；迂回前进; n.编法；织法；编织
fragment|n.碎片；片段; v.使破碎；分裂
distraction|n.分心；分心的事物；注意力分散；娱乐；消遣；发狂
banquet|n.宴会; vi.参加宴会; vt.宴请；设宴
hint|n.暗示; v.暗示；示意
deli|n.(=delicatessen)熟食店
curdle|v.凝结；变稠; v.(使)结成凝乳；变成凝乳状
furious|adj.狂怒的；猛烈的
drift|vi.漂流；漂移；吹积；漂泊；偏离; vt.使漂流；使堆积; n.漂流；趋势；漂泊
gleam|v.闪烁；隐约地闪现; n.微光；闪光；闪现
desperate|adj.绝望的；不顾一切的；极其想要的
boast|v.自夸；吹牛；以...为荣; n.自夸；引以为荣的事物
tight|adj.紧的；紧身的；密集的；拮据的; adv.紧紧地；牢固地；迅速地
bald|adj.秃头的；单调的；无装饰的; v.（使）变秃头
courier|n.送快信的；急差；旅行服务员
blindfold|v.蒙住...的眼睛; n.蒙眼物；盲目; adj.被蒙上眼睛的
crocodile|n.鳄鱼
creator|n.创造者；[计]创建者; Creator.; n.上帝
heroic|adj.英雄的；英勇的；巨大的
floppy|adj.松软的；懒散的; n.软盘(=floppydisk)
sailors|海员
demon|n.魔鬼；恶魔；精力充沛的人；高手
eights|八叠板,八层叠板
fisherman|n.渔夫；渔船
proudly|adv.傲慢地；自大地；得意洋洋地
deck|n.甲板；层面；一副牌; vt.装饰；用力击倒
deaths|死亡人口
maker|n.制造者；制定者; Maker:上帝.
developing|adj.发展中的
crown|n.王冠；王权；花冠；顶点；齿冠；克朗（丹麦、瑞典、捷克等国的货币单位）; vt.加冕；使...成王；居...之顶；镶齿冠；使圆满；打…的头部
harness|n.马具；安全带；甲胄；系在身上的绳子; vt.束以马具；披上甲胄；利用；管理；控制
pup|n.小狗；小海豹；小伙子
stitch|n.一针；疼痛；碎布条; v.缝合
doggy|n.小犬；小狗（=doggie）; adj.爱狗的；像狗一样的；摆阔的；低级的
dominion|n.统治；主权；领土; Domimion：.; n.英联邦的自治领土
gnaw|v.咬；折磨；侵蚀
drape|n.布帘；褶皱; v.用布帘覆盖；（使）呈褶裥状；悬挂
bonding|n.形成的亲密关系；[牙]黏结
gigantic|adj.巨大的
darkness|n.黑暗
disk|n.圆盘；唱片；花盘；磁盘；盘形物
bloody|adj.流血的；血腥的；嗜杀的; vt.使流血; adv.[俚]非常
pledge|vt.发誓；保证；以...抵押；向...祝酒; n.保证；抵押；誓言；抵押品
gasp|v.喘气；喘息；渴望; n.喘气
independence|n.独立；自立
flail|v.挥动；用连迦打；敲打; n.连迦
rulers|尺子
pillar|n.柱子；支柱；核心(人物); vt.用柱支持
eyed|adj.眼的（常用于合成词）
divine|adj.神圣的；神的; vt.推断; vi.预言；理解; n.牧师；神学家
hardworking|adj.努力工作的；勤奋的
dabble|v.喷洒；玩水；泼溅；涉猎；浅尝
frontal|adj.前的；正面的；额的; n.额饰；祭坛前面的罩巾；建筑物的正面；三角门楣
droop|v.低垂；下垂；(草木)枯萎；(精神)萎靡; n.下垂；消沉
swimmer|n.游泳者
non|adv.[拉]非；不是
efficiency|n.效率；功率
creation|n.创造；创作
explosion|n.爆炸；爆炸声；激增；爆发
sorts|n.种类; 分类.
dungeon|n.地牢；土牢；城堡主塔
freshly|adv.新近；刚才
