harden|v.(使)变硬；(使)坚强
pardon|n.原谅，宽恕，饶恕；赦免，赦免状; vt.原谅；宽恕，饶恕；赦免，免于治罪
stash|vt.隐藏；储藏; n.隐藏地点；隐藏物
bet|v.打赌；确信无疑; n.赌注；确信
doorknob|n.球形门把手
unfortunately|adv.不幸地；遗憾地
polish|n.光泽；上光剂；优雅；精良; v.擦亮；磨光；推敲；完善; Polish.; adj.波兰的；波兰人的；波兰语的; n.波兰语
fig|n.[植]无花果；无花果树；无价值的东西；少许; n.服装
cutter|n.裁剪者；切割器；快艇；小艇；轻便雪橇
Saturday|n.星期六
laboratory|n.实验室
palaces|宫城
formations|群系
curse|n.诅咒；咒骂；祸端; vt.诅咒；咒骂；使受罪; vi.诅咒；咒骂
tarantula|n.狼蛛；多毛毒蜘蛛
sterling|adj.英币的；纯银制的；纯正的；优秀的; n.英国货币；标准纯银；银制品
stud|n.大头钉；饰钉；立柱；板墙筋；壁骨；种马；耳环；年轻男子; vt.镶嵌；点缀
August|adj.（a~）威严的；尊贵的; n.八月
anxious|adj.渴望的；忧虑的
wriggle|n.蠕动；蜿蜒; v.蠕动；扭动；蜿蜒前进；设法摆脱
certain|adj.确定的；肯定的；某事；某人；某种；（与人名连用；表示不认识此人）一位叫...；特定的；轻微的；微小的; pron.某些；某几个
America|n.美国；美洲
Bless you|祝福你
hazard|n.危险；冒险；危害; vt.冒险；赌运气; 阿扎尔（英超切尔西队球员）
promise|n.诺言；预示；约定；(有)希望; v.允诺；发誓；答应；有希望
snowman|n.雪人
January|n.一月
funnel|n.漏斗；漏斗状物；烟囱; vt.使成漏斗状；使经过漏斗; vi.形成漏斗状；经过漏斗
license|n.许可证；执照；特许; vt.发许可证给；特许
semi|n.半挂车；半挂车货车；半决赛; pref.表示“一半的；部分的；不完全的”
modest|adj.谦虚的；适度的；端庄的；有节制的
smash|v.打碎；粉碎；猛撞; n.破碎；撞击；轰动的演出；[网球]高压扣球; adj.极为成功的
tired|adj.疲倦的；疲劳的；累的；厌烦的; 动词tire的过去式和过去分词形式.
comb|n.梳子；鸡冠；蜂房; v.梳理；彻底搜寻
separate|adj.分开的；不同的；单独的；各自的; v.分开；隔开；区分；分居；脱离; n.分开；抽印本
lorry|n.卡车
scooter|n.踏板车；小型摩托车
tales|n.[律]候补陪审员召集令
wedge|n.楔子；楔形物; vt.楔住；嵌；挤进
ticket|n.票；券；标签；罚单；候选人名单; vt.加标签于；售票；开罚单；检票，查验票证
silver|n.银币；银器；银；银灰色; adj.银的；银色的; vt.镀银于；使...成银色
rural|adj.农村的，乡村的，田园的
October|n.十月
sailor|n.海员；水手；扁平的硬边草帽
April|n.四月
Wednesday|n.星期三
situations|现状
reception|n.接待；反应；接待处；欢迎；接收；招待会
transition|n.转变；过渡
approach|v.靠近；接近；接洽；要求；达到；动手处理; n.途径；方法；接近；接洽；要求；路径；进场着陆；相似的事物
dairy|n.牛奶场；乳品店；乳制品；地方小店; adj.牛奶的；乳制品的
embarrassed|adj.尴尬的；拮据的；局促不安的
lantern|n.灯笼；[建]天窗；屋顶气窗
infer|vt.推断；猜测；暗示; vi.作出推论
nursery|n.托儿所；保育室；苗圃
offend|vt.冒犯；犯罪; vi.违反；令人不适
miserable|adj.痛苦的；悲惨的；贫乏的；狼狈的
optimistic|adj.乐观的；乐观主义的
predicate|n.[语]谓语；述语; v.断定；意味；宣称；基于; adj.谓语的
autograph|n.亲笔签名；手稿，原稿，手迹，真迹; v.亲笔签名于；亲笔书写
vicar|n.(教区或教堂)牧师；代理人
edgy|adj.急躁的；尖利的；刀口锐利的
carelessly|adv.粗心大意地；疏忽地
rivalry|n.敌对；竞争；对抗
snail|n.蜗牛
responsibility|n.责任；职责；责任心
scene|n.情景；场；景
bookstore|n.书店; =bookshop.
brass|n.黄铜(制品)；铜管（乐器）；厚脸皮; adj.黄铜的
Brazilian|n.巴西人; adj.巴西的
trait|n.特征；特点；少许；一笔
pretended|adj.假的；虚伪的
amaze|vt.使吃惊；使惊异; vi.惊讶; n.吃惊；好奇
European|adj.欧洲的；欧洲人的; n.欧洲人
allegiance|n.忠诚；效忠
flee|vi.逃走；消失；逃避；(时间)飞逝; vt.逃离
stink|n.臭味；臭气; vi.发臭味；招人讨厌
wagon|n.四轮马车；货车; v.用四轮马车运
sequence|n.顺序；连续；次序；一系列; vt.按顺序排好
chin|n.颏；下巴; v.聊天；作引体向上
heartbroken|adj.悲伤的
greed|n.贪心；贪婪；贪吃
drown|vi.淹死; vt.淹死；淹没
September|n.九月
sushi|n.寿司(一种日本食品)
hut|n.小屋；棚屋; v.在棚屋中隐蔽
sundown|n.日落时分
fiery|adj.火的；炽热的；激烈的；暴躁的；辛辣的
sew|v.缝合；缝纫
yen|n.日元; n.上瘾; vi.对...上瘾
February|n.二月
lowland|n.低地; adj.低地的; Lowland.; n.苏格兰低地
pronunciation|n.发音；读音
eggshell|n.蛋壳；蛋壳漆(干后平滑无光); adj.薄而易碎的；略有光泽的；淡黄褐的
allergy|n.过敏症；反感；厌恶
official|adj.正式的；官方的；公务上的; n.官员
shook|n.(装配木桶或箱；盒等的)一套现成板料; shake的过去式.
nicely|adv.精确地；漂亮地；恰好地
field|n.田地；领域；运动场；场地；田野；JAVA中的范畴; vt.接球；派……上场；顺利处理; vi.担任外场员; adj.田间的；野外的
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
