deliberate|adj.深思熟虑的；故意的；从容不迫的; v.仔细考虑；研讨
pail|n.桶；一桶之量
UT|abbr.世界时；格林威治时间（=UniversalTime）; abbr.超声试验（=UltrasonicTest）
slum|n.贫民窟; vi.访问贫民区
radical|adj.激进的；彻底的；基本的; n.激进分子
terminate|v.结束；终止；满期；达到终点
clause|n.条款；[语]从句
provocative|adj.刺激的；气人的；挑衅的；挑逗的; n.刺激物；挑拨物；兴奋剂
offensive|adj.令人不快的；冒犯的；侮辱的；与进攻有关的; n.攻势；攻击
superb|adj.极好的
Tait|n.泰特
underestimate|n.低估; v.低估
Lau|n.劳
acquaint|vt.使了解；使熟知；告知
publicity|n.公众的注意；宣传；宣扬；宣传品；广告
hitherto|adv.到目前为止；迄今
ipm|n.每分钟寸数(每分钟中断次数)
litter|n.垃圾；杂乱；一窝(幼仔)；褥草；轿子; v.乱丢垃圾；弄乱；产(幼仔)；用草等给动物铺窝
clip|vt.夹住; v.剪短; v.疾驰；猛击; n.夹子；弹夹；回形针；钳; n.修剪；(羊毛的)剪下量；(被剪下的)东西
amends|n.赔偿；赔罪；补偿; 名词amend的复数形式.
poll|n.民意测验；投票；票数; v.做民意测验；获得...票
gamble|v.赌博；冒险；孤注一掷; n.赌博；冒险
RAI|n.瑞乐(阿尔及利亚的一种流行音乐); abbr.[计]随机存取查询(=RandomAccessandInquiry)
damn|int.该死；讨厌; vt.使失败；诅咒；批评; vi.诅咒; n.诅咒；丝毫; adj.该死的；可恶的; adv.非常；极其
manipulate|vt.操纵；操作；控制；利用；(巧妙地)处理；篡改
premise|n.前提; vt.预述；提论；假设
fixture|n.固定物；固定装置；固定成员；【机】夹具
MP|abbr.国会议员（=memberofParliament）; abbr.军警（=militarypolice）
ally|n.同盟国；同盟者；伙伴; v.（使）结盟；（使）联合
tend|v.趋向；易于；朝向; v.照料；照管
rim|n.边；框; vt.镶边; vi.形成边缘
initiative|adj.自发的; n.首创精神；主动权；第一步；倡议；项目
galaxy|n.银河；星系；一群杰出的人
genetic|adj.遗传的；基因的；起源的
Pope|n.罗马教皇
capsule|n.胶囊；太空舱；荚膜；概要; v.概括；装入胶囊; adj.精简的；微型的
Mentl|门特尔
Ep|pref.在...上；依附于; =epi; abbr.慢速唱片；密纹唱片(=extendedplay)
overt|adj.公开的；明显的；公然的
Vrin|n.弗林(在瑞士；东经9&#186;07'北纬46&#186;39')
compile|vt.编译；编制；编纂
main|adj.主要的；最重要的; n.干线；总管道；[pl](水、煤、电)供应系统；大海
warehouse|n.仓库; vt.存入仓库
adjoin|v.邻接；毗连
EI|abbr.情感智商(=EmotionalIntelligence); abbr.就业保险(=employmentinsurance)
species|n.种类；（单复同）物种
gloomy|adj.阴暗的；忧闷的；前景黯淡的
distract|vt.分散；转移；分心；困扰
solidarity|n.团结
ingredient|n.成分；原料；配料；因素
essence|n.精髓；本质；要素；香精
carve|v.雕刻；切割
insane|adj.疯狂的；精神错乱的；荒唐的
medal|n.奖章；勋章；纪念章; vi.获得奖章
episode|n.一段情节；片段；轶事；插曲
spokesman|n.发言人
marsh|n.沼泽；湿地; Marsh：马什（人名）.
bu|[经]英斗
plague|n.瘟疫；麻烦；灾祸; vt.折磨；烦扰；造成麻烦
clarity|n.清楚；透明
pel|abbr.弹性极限(=proportionalelastic)
tempo|n.拍子；节奏；速率
relay|vt.转播；转达；中继；接力；接替; n.继电器；接力赛；替班
astronomy|n.天文学
adolescent|adj.青春期的；青少年的; n.青少年
marginal|adj.边际的；末端的；仅以微弱多数获胜的；微小的
watertight|adj.不漏水的；无懈可击的
ascertain|vt.确定；查明；探知
endeavor|n.尽力；努力; v.尽力；努力；力图
inhibit|v.抑制；阻止；使不能
drought|n.干旱
concession|n.让步；特许权；租界；妥协
quarterly|adj.季度的; adv.每季一次; n.季刊
staircase|n.楼梯
advocate|v.提倡；主张; n.拥护者；提倡者；律师；辩护者
lounge|n.休息室；候机室；起居室; v.闲荡；懒散地斜靠
Mein|n.米恩
bump|v.碰撞；颠簸而行；提高; n.肿块；撞击；表面隆起; adv.突然的；猛烈的
recession|n.后退；（经济）不景气
Frind|弗林德
wed|v.结婚；结合; Wed.; abbr.星期三(=Wednesday)
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
VED|n.话音编辑程序
TIG|n.(儿童的）捉人游戏; TIG.; abbr.电传打字机输入发生器(=TeletypeInputGenerator）
corrupt|adj.腐败的；堕落的；讹误的; vt.贿赂；使恶化；使腐烂; vi.腐败；腐烂
wallet|n.皮夹；钱包
inlet|n.水湾；入口；插入物; vt.引进；插入
perfection|n.完美；完善
knit|v.编织；密接；结合；皱眉; n.编织
elid|干奶母牛
sanction|n.批准；约束力；处罚; vt.批准；支持
send|vt.发送；派遣；使处于...的状态；放出；运输; vi.差遣；发出；传送
dine|v.用正餐；进餐
ambiguous|adj.模棱两可的；含糊不清的
peel|n.果皮; vt.剥落；削皮; vi.脱皮；脱衣服
fel|n.胆汁; abbr.自由电子激光（=freeelectronlaser）
intuition|n.直觉；直觉的知识
compensate|v.补偿；赔偿；付报酬
accommodate|vt.供给住宿；使适应；容纳；提供；顾及；调解; vi.适应；调节
prep|n.准备；预备学校；课外作业; v.进预备学校；预备；准备; abbr.准备（=preparation）; abbr.介词（=preposition）
jel|n.愚蠢的人
youngster|n.年青人；少年；小伙子；儿童；幼小动物
retrospect|n.回顾；追溯; v.回顾；回想；追溯
dismay|n.沮丧；绝望; vt.使...沮丧；使...惊愕
reliance|n.信赖；所信赖的人或物
alliance|n.联盟；联姻；结盟; Alliance[地理名词].
applaud|vi.拍手喝彩; vt.称赞；赞成；鼓掌
ENT|abbr.耳鼻喉科(=ear；noseandthroat)
SPL|n.只装载一种燃料(声压级；备件单)
Ru|n.钌; abbr.俄罗斯（=Russia）
subtle|adj.微妙的；敏锐的；不明显的；精细的；狡猾的
permeate|v.弥漫；渗透；普及
directory|n.目录；工商名录；指南; adj.给予指导的
gri|n.国际地热资源局
Zaid|扎伊德
bankrupt|adj.破产的；道德败坏的；枯竭的; n.破产者；无知的人; vt.使破产
locality|n.地区；位置；地点；方位
threshold|n.门槛；开端；界限；入口
climax|n.高潮；极点；层进法；[生]顶极群落；巅峰，最高峰
indulge|vt.迁就；纵情于；放任; vi.放纵自己于...
quench|v.熄灭；结束；冷淬；解渴
obscene|adj.淫秽的；猥亵的
Hai|n.海
revive|vt.使重生；恢复精神；唤醒; vi.复生
trivial|adj.不重要的；琐碎的
KA|abbr.阴极；还原级（=cathode）
list|n.目录；名单；明细表；条纹；倾斜；意向; v.列出；(使)倾斜；使高兴；愿意；听
denounce|v.谴责；告发；通告废除
doom|n.毁灭；厄运；判决；死亡; vt.注定；判定
NV|n.涡轮叶片(喷嘴速度)
TRI|abbr.技术报告说明书(三极管)(=TechnicalReportInstruction)
qualitative|adj.性质上的；质的；定性的
indignation|n.愤怒；愤慨；义愤
grease|n.油脂; vt.用油脂涂；上油；贿赂
pursuit|n.追求；追赶；工作
proficiency|n.熟练；精通
identity|n.一致；身份；特征
SN|abbr.顺序号（=SerialNumber）
flank|n.侧面；侧腹；腰窝肉; v.攻击侧面；守侧面；位于…侧面
INSP|n.检查(检查员)
situated|adj.位于；处于...境地的; 动词situate的过去式和过去分词
sheer|adj.极轻薄的；陡峭的；全然的; adv.垂直地; v.避开；转向
Trei|特雷
masterpiece|n.杰作
representation|n.陈述；表现；表示法
elbow|n.手肘；扶手；急弯; v.用手肘推开；推挤
intermittent|adj.间歇的；断断续续的
Ha|int.哈！(表示惊异；愉快；怀疑；胜利等); n.[化]元素hahnium的符号
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
ornament|n.装饰；装饰物; vt.装饰
paradise|n.天堂
radiate|v.放射；散发；辐射；流露
traverse|n.横贯；横木; v.横贯；穿越；详细讨论；阻止；否认；【计】遍历
presume|vt.假定；推测；姑且认定；认为是理所当然; vi.越权行事；利用
MED|abbr.中古时代的(=medieval); abbr.中间的(=medium); abbr.医学的(=medical)
civilian|adj.平民的; n.罗马法专家；平民
appendix|n.附录；附属物；阑尾
commonwealth|n.联合体；联邦
yell|v.大叫; n.大喊
historic|adj.有历史意义的；历史的
hose|n.水管；橡皮软管；(复数)长统袜；男士紧身裤; vt.用水管冲洗；痛打
underlying|adj.潜在的；隐含的；在下面的；基本的；优先的; 动词underlie的现在分词
MJ|n.玛帝脂接缝
avail|v.有利；有助于; n.益处
affirm|vt.证实；断言；肯定
hen|n.母鸡；雌禽
infectious|adj.传染的；有感染力的
FAI|abbr.首件检验（=FirstArticleInspection）
metallic|adj.金属的；金属般的
monster|n.怪物；恶人；巨物; adj.巨大的；庞大的
cumulative|adj.累积的；渐增的；（红利、利息等）累计的
gleam|v.闪烁；隐约地闪现; n.微光；闪光；闪现
Eibl|艾布尔
negotiate|vi.谈判；协商；交涉; vt.谈判达成；成功越过；议价出售
vain|adj.自负的；徒劳的；无效的；虚荣的
oval|adj.卵形的；椭圆形的; n.椭圆；椭圆形跑道
embassy|n.大使馆；大使全体人员
authorize|vt.批准；委托；授权
studio|n.画室；工作室；播音室；制片厂；摄影场
commonplace|adj.平凡的；陈腐的; n.常事；老生常谈；普通的东西
trench|n.沟；沟渠；战壕; v.挖沟；侵占
disperse|v.分散；散开
dual|adj.双重的；成双的; n.双数
USI|[计]通用软件接口
conspicuous|adj.显著的；显眼的；显而易见的
yacht|n.游艇；快艇; vi.驾快艇
til|n.胡麻；芝麻
irritate|v.激怒；使疼痛或发炎
contemplate|vt.注视；沉思；打算
bizarre|adj.奇异的；怪诞的
retort|v.反驳；回嘴；反击; n.反驳；顶嘴
RIT|abbr.渐慢（=ritardando）
graze|v.放牧；（牛、羊等）吃草; v.轻擦；擦伤; n.放牧; n.擦伤
NZ|abbr.新西兰(=NewZealand)
despise|vt.轻视
adjacent|adj.邻近的；毗连的；接近的
knob|n.旋钮；把手；瘤；节；圆丘
Viti|维蒂
melody|n.旋律；曲子；曲调；美妙的音乐
descent|n.下降；下坡；家世；血统；侵袭；衰落；继承
baffle|v.困惑；难倒；阻碍；受挫; n.挡板；隔音板；反射板；困惑
domain|n.领地；领域；范围
abundance|n.丰富；充裕
characterize|vt.表示...的典型；赋予...特色
buzz|vi.发出嗡嗡声；充满；匆忙; vt.使嗡嗡叫；低飞掠过；打电话; n.嗡嗡声；电话
consolidate|v.合并；统一；巩固
precipitate|vt.促成；使...沉淀；猛摔; n.沉淀物；冷凝物; adj.仓促的；迅猛的；感情用事的
prey|n.牺牲者；被掠食者，猎物; vi.掠夺；捕食；使...苦恼
circulation|n.流通；循环；发行量；消息传播
notify|v.通知；报告；通告
fantastic|adj.极好的；巨大的；奇异的；难以置信的；幻想的
integral|adj.完整的；构成整体所必需的; n.[数]积分；完整
literacy|n.识字；读写能力；文化，教养
quartz|n.石英
ska|n.斯卡(牙买加的一种流行音乐)
entail|vt.使必需；带来；限定继承; n.限定继承权
insight|n.洞察力；见识；深刻的理解
tuition|n.学费；教诲；教学
plaster|n.石膏；灰泥；膏药; v.涂以灰泥；敷以膏药；使...平
cruise|n.巡航；漫游；游艇; v.慢速行驶；乘船游览；游弋；巡游
cooperative|adj.合作的；协作的; n.合作社
disclose|vt.揭露；使某物显露；公开
pet|n.宠物；受宠的人; adj.宠爱的; v.爱抚；亲抚
heir|n.继承人
sparkle|n.闪耀；火花; v.闪耀；冒火花
discriminate|vt.区分；区别对待; vi.辨别；差别对待
weary|adj.疲倦的；厌烦的; v.疲倦；厌烦；生厌
overwhelm|vt.打击；压倒；使感动；淹没；打败
ventilate|vt.使...空气流通；通风
donate|v.捐赠；捐献
exposition|n.博览会；展览会；说明
tease|n.揶揄者；戏弄; v.欺负；嘲弄
collaboration|n.合作；通敌
membership|n.成员资格；会员全体；从属关系
priest|n.教士；神父；牧师；僧侣；泰斗
outbreak|n.爆发；暴动
agreeable|adj.愉快的；和蔼可亲的；欣然同意的；一致的
incorporate|v.合并；组成公司; adj.合并的；公司组织的
consumer|n.消费者；用户；消费品
mem|n.希伯莱字母表的第十三个字母; abbr.(=member)成员; abbr.(=memoir)回忆录；传记; abbr.(=memorial)纪念物
edit|vt.剪辑；编辑；校订
wedge|n.楔子；楔形物; vt.楔住；嵌；挤进
Kaut|考特
embark|v.乘船；装载；着手；从事
ign|n.发火器(点火器；触发器；引燃电极；传火药)
elderly|adj.年老的；年长的
shrewd|adj.精明的；敏锐的；狡猾的
consequent|adj.作为结果的；随之发生的；合乎逻辑的; n.推论；结论；[数]后项
mortal|adj.致命的；终有一死的；不共戴天的；极度的; n.凡人
DIPl|n.输卵管直接人工授精
upgrade|vt.升级；提高；改善; adv.向上地; n.升级；上坡
hatch|n.孵化；舱口，舱口盖; v.孵；孵出；策划
erosion|n.腐蚀；侵蚀；减少，流失
exile|n.放逐；流放；被放逐者; vt.放逐；流放
quiver|v.颤抖；振动; n.颤抖；箭袋；箭袋内的箭
haul|v.拖；拉；拖运; v.（使船）改变方向; n.拖；拉；搬运
whirl|v.使...旋转；回旋；迅速移动；头晕目眩; n.回旋；旋转；一个接一个的活动；混乱；尝试
envisage|vt.面对；想像
disable|v.使...失去能力
pendulum|n.摆锤；钟摆；摇摆不定
garment|n.衣服; vt.给...披上衣服；覆上...
exotic|adj.外来的；异国的；奇异的；脱衣舞的
emb|abbr.乘船；着手(=embarkation)
TEL|abbr.电话（=telephone)
virus|n.病毒；病原体
TL|abbr.[化]元素铊（thallium）的符号
expenditure|n.开支；消耗
casualty|n.事故；伤亡者；伤亡人数；急诊室
contradict|vt.反驳；与...矛盾
TWA|n.二（=two）; abbr.暂时工作区（=transientworkingarea）
lei|n.（夏威夷人戴在颈上的）花环
petition|n.请愿书；祈求；申请; vi.请愿；祈求; vt.向...请愿，请求
gallery|n.美术馆；画廊；顶层楼座；走廊
verbal|adj.口头的；用言语的；用文字的；逐字的；动词的; n.动名词
volunteer|n.志愿者；(自行生长的)植物; v.(自愿)做
LM|n.地上移动式无线电设备
invariably|adv.不变地；总是；一贯地
BTL|(=bilateraltuballigation)双侧管的结扎法,两侧输卵管结扎
NDI|n.非损毁性检查(非破坏性试验)
terrific|adj.可怕的；极好的；非常的；危险的
Miet|米耶
abrupt|adj.突然的；唐突的；意外的；陡峭的
nonetheless|adv.尽管如此(仍然)
tile|n.瓷砖；瓦片; v.盖瓦；铺瓷砖
amplify|v.扩大；详述；增强
alien|n.外侨；外国人；外星人; adj.外国的；陌生的；相异的
IG|abbr.惯性制导(inertialguidance); abbr.总检查员(=inspectorgeneral)
feast|n.宴会；酒席；节会; v.享乐；款宴；请客
surgeon|n.外科医生
ritual|n.仪式；典礼；宗教仪式；固定程序; adj.仪式的；老规矩的；惯常的
stimulus|n.刺激；刺激品；激励
Klai|克莱
disposition|n.性情；倾向；安排；处置；控制；[计算机]配置情况
synthesis|n.合成；综合；综合分析
precede|vt.在...之前；先于; vi.在前面；领先
Niz|尼斯
enthusiastic|adj.热心的；热情的；热烈的
shutter|n.百叶窗；遮门；快门; v.装以遮门；关上窗板；停业
expire|vi.终止；期满；失效；呼气；断气
profitable|adj.有益的；有利可图的
LT|abbr.海军少校；陆军中尉（=Lieutenant）; abbr.长吨（=longton）
withhold|v.抑制；阻挡；扣留；保留
PI|n.圆周率
prestige|n.[U]威望；声望; adj.有威信的；名贵的
Dik|n.迪克(在乍得；东经17&#186;31'北纬9&#186;58')
aviation|n.航空；飞机制造业
necessitate|v.使...成为必需；迫使
ascribe|v.归因于；归于
ban|v.禁止；剥夺权利; n.禁令；禁止
safeguard|n.保卫者；保护措施; vt.保卫；保护
Zinc|n.锌; vt.在...上镀锌
implicit|adj.含蓄的；绝对的；无疑问的；固有的；无保留的；暗示的
thirst|vi.渴望；渴求；口渴; n.口渴；渴望
conviction|n.坚信；定罪；信服
dazzle|v.使眼花；使赞许; n.光辉
deviate|v.偏离；脱离; n.叛离者；偏差；不正常的人或物; adj.离经叛道的
turnover|n.营业额；流动；成交量；翻覆；半圆卷饼; adj.可翻转的
equator|n.赤道
reclaim|v.收回；回收；纠正；开垦
snack|n.小吃；点心; vi.吃点心
intersection|n.交集；十字路口；交叉点
ecology|n.生态学；生态
parameter|n.参量；参数；决定因素；界限
doctrine|n.学说；教义；主义；（政府政策的）正式声明
Krep|克雷普
transit|n.运输；经过；转变；[天]中天；凌日；经纬仪; vt.穿越；旋转; vi.越过
edible|adj.可食用的; n.食品；食物
Ksi|n.每平方寸的千磅数
testimony|n.证明；证据
curb|n.路边；克制；勒马绳; vt.抑制；勒住；牵(狗)到合适地方大小便
Rien|连
cosmic|adj.宇宙的；广大无边的；无限的
dentist|n.牙科医生
eject|v.喷射；放逐；驱逐
vid|abbr.视频；图像=video
pedal|n.踏板；乐器的脚踏键; v.用脚踏动；踩踏板
caution|n.警告；慎重；戒备；吸引人眼球的人或物; vt.警告；劝告
permissible|adj.可允许的；容许的
Mediterranean|adj.地中海的; n.地中海
mes|pref.表示“在中间；中等的”; =meso-.
theme|n.主题；题目；主旋律
statistics|n.统计学；统计；统计数字
intact|adj.完好无缺的；原封不动的；未经触碰的
TR|n.abbr
slaughter|n.残杀；屠杀；大量杀戮; v.残杀；屠杀
FR|abbr.故障率（=failurerate）; abbr.故障记录（=faillurerecord）; abbr.故障报告（=failurereport）
rejoice|v.（使）高兴；（使）欢喜
eccentric|adj.古怪的；反常的；不同圆心的; n.怪人；[物]偏心轮
milit|adj.军事的(陆军的); n.军队
MIK|=Methyl-IsobutylKetone甲基异丁酮
bud|n.芽；花蕾; vi.发芽；萌芽; vt.使发芽
bureaucracy|n.官僚制度；官僚主义；官僚
invalid|adj.无效的；病弱的; n.病人；残疾者; vt.退役；遣送回家
promising|adj.有希望的；有前途的
mourn|v.哀悼；忧伤；服丧
superiority|n.优越性；优势
Taiz|塔伊兹[也门西南部城市]
practicable|adj.可实行的；适用的；可通行的
reap|vt.收割；收获；获得; vi.收割
to|prep.对于；为了；(表示方向)到；向；(表示间接关系)给; adv.（表示方向）去；（门）关上
perfume|n.香水；香气; vt.洒香水于；使香气弥漫
assurance|n.保证，担保；确信；自信；保险
