located|adj.处于；位于
history|n.历史；历史学；对过去事情的记载；过去的事
teenage|adj.青少年的（13至19岁的）；十几岁的
attend|v.出席；参加；照料；注意；专心于
machinery|n.机械；(总称)机器
severe|adj.严厉的；严重的；剧烈的；严格的；严峻的
steam|n.蒸汽；水汽；蒸汽动力；轮船; v.蒸；冒热气；行驶；发怒
tick|v.滴答作响；给…标记号；运作；空转; n.滴答声；一会儿；勾号；壁虱；蜱虫；枕套；褥套；赊欠
created|adj.创造的; v.创造；创设；制造; vbl.创造；创作；设立
banister|n.栏杆的支柱；楼梯的扶栏; =bannister.
engineering|n.工程学；工程
precise|adj.精确的；恰好的；准确的；严格的
factory|n.工厂；制造厂
works|n.工厂；修建；机器部件；全套物品
usually|adv.通常；经常
schoolwork|n.学业；课业
fighter|n.战士；好战者；战斗机
controller|n.控制者；管理者；审计官；控制器
talks|会谈
network|n.网点；网络；网状系统；广播公司
farmers|农民
pilot|n.飞行员；领航员；试播节目；排障器；[机]导向器; v.驾驶；领航；向导；试点; adj.试验性的；引导的
headset|n.头戴式耳机
forbidden|adj.被禁止的
soil|n.土地；土壤；污物，粪便; v.弄污
extend|v.延伸；延长；伸展；扩展；提供；使竭尽全力
rocky|adj.岩石的；像岩石的；坚硬的；麻木的；困难重重的；摇晃的，不稳定的
stretch|v.伸展；延伸；张开；夸大; n.伸展；张开；弹性；一段时间；刑期; adj.可伸缩的
opened|v.开启(公开；开证); adj.开的
prehistoric|adj.史前的；陈腐的; =prehistorical.
cellphone|n.手机；便携无线电话
racer|n.比赛者；比赛用汽车；黑蛇
stem|n.柄；茎；干；船首; vi.起源于; vt.抽去...的梗；给...装柄；逆...而行；阻止，遏制
flicker|n.闪烁；闪光；颤动; v.闪动；闪烁；摇动
acres|n.土地；耕地；地产
gear|n.传动装置；齿轮；排挡；工具；装备; v.调整；使适应于；以齿轮连起
invention|n.发明；虚构；发明物
aye|n.赞成者；赞成票; adv.是；永远; =ay.
related|adj.相关的；有亲属关系的；属于同一种类的（或组别的）
prairie|n.大草原
career|n.生涯；职业；事业; vi.猛冲；飞跑
drone|n.雄蜂；游手好闲者；无人驾驶飞机; n.嗡嗡声；单调的声音; vi.嗡嗡叫；混日子; vt.单调低沉地说
easier|adj.容易些的，更简单的；更轻松的
comes|[天]伴星;[动]伴引血管
expressly|adv.清楚地；特意地；专门地
browse|v.浏览；随意观看；吃草; n.嫩叶；浏览
sticky|adj.粘的；闷热的；困难的；令人不满意的
simplest|adj.简单的；单纯的
contest|n.竞赛；比赛; vt.驳斥；争取; vi.奋斗
orbit|n.势力范围；眼眶；轨迹; vt.绕轨道而行；进入轨道; vi.盘旋
