voyage|n.航行，航海; 航天; v.旅行; （尤指）航海旅行
beneath|prep.在...下面; 在...背后; 比不上
effect|n.影响; 效果; 所有物; 特效; v.使发生，引起
murder|n.谋杀; 困难的事; v.谋杀; 毁坏; 打垮
prejudice|n.偏见; v.使有成见; 损害
process|n.过程; 变化过程; 做事方法; v.加工; 处理; 冲印; 审核; 列队行进
rare|adj.稀少的，罕见的; 珍贵的; 半熟的; 极好的
understand|v.明白，理解; 了解; 得知; 默认; 领会; 懂（某种语言）
clap|v.拍手，鼓掌; 急速放置; 轻拍; n.鼓掌，拍手（声）; 霹雳声
secure|v.争取到，实现; 使固定，拴牢; 保卫; 抵押; adj.安心的; 稳定的，安全的; 坚固的; 锁牢的
altogether|adv.总共; 总而言之; （用以强调）完全，全部
behave|v.表现; 举止得体; 作出反应
belong|v.属于; 应在（某处）; 适合，适应
disturb|v.打扰，打断; 使焦虑; 搅乱
divide|v.（使）分开; 分配; 除以; 分隔; （使）产生分歧; n.明显差异; 分界线，分水岭
impress|v.使敬佩; 给...深刻印象; 使铭记; 使...意识到; 给...留下...印象
percentage|n.百分比; 提成
possibility|n.可能性; 机会; 潜力
race|n.赛跑; 竞争; 人种; 民族; v.参加比赛; 使比赛; 快速移动; 剧烈跳动
surrounding|adj.周围的，附近的
survival|n.生存; 残存物
teenager|n.青少年
tell|vt.告诉，说; 辨别; 吩咐; 讲述; vt.&amp; vi.分辨，辨别; 告诉，吩咐; 泄漏; 保证; vi.泄密，告发; （颜色、声音等）显示; 识别
treasure|n.财宝，珍宝; 得力助手; v.珍藏，珍视，珍爱
annoy|v.使生气; 惹恼
extraordinary|adj.非凡的; 非常奇特的; 特别的
journey|n.旅行; v.旅行
persuade|v.劝说; 使信服
shock|n.震惊，打击; 令人震惊的事; 冲击（力）; 休克; 触电; 剧烈震动; 减震器; 浓密的一堆（头发）; v.使震惊/气愤/厌恶; 打击; adj.令人震惊的
situation|n.情况; 地理位置; 职业
analysis|n.分析（报告）; 精神分析疗法
custom|n.风俗; 个人习惯; 惠顾; adj.定做的
dial|n.钟面，表盘; 调节器; 拨号盘; v.拨（电话号码）
embarrass|v.使尴尬; 给...出难题
expect|v.预期; 盼望; 料想; 指望; 怀孕
smoke|v.吸烟; 熏制; n.烟
identify|vt.识别，认出; 确定; 使参与; 把...看成一样; vi.确定; 认同
simple|adj.简单的; 单纯的; 朴素的
advance|v.（为了进攻、威胁等）前进; （知识、技术等）发展，进步; 预支; 提前; 促进，推动; 提出（理论等）; （价格等）上涨; n.前进; 进步，进展; 预付款; 追求; （价格等）上涨，提高; adj.先行的; 预先的
begin|v.开始，以...开头; 启动，创办; 起初是; 开始说
burst|v.（使）爆裂，爆炸; 冲，闯; 突然出现; 充满; n.爆裂，爆炸; 裂口; 情感爆发
companion|n.同伴; 陪伴; 陪护; 成对的物品之一; 指南
consult|v.咨询; 商量; 查阅
culture|v.培植; n.文化; 文明; 种植; 养殖; 培育培养物
direct|adj.笔直的，径直的; 直接的; 最近的; 正好的; 亲自的; 坦率的; 嫡系的; v.把...指向，指示; 管理，监督; 针对; 为...指路; 领导; 执导(电影等); ; adv.直接地; 亲自地
bent|adj.弯曲的; 折断的; 驼背的; 不正派的; n.才能; 爱好; v.弯腰; （使）弯曲; 屈从; 拐弯; 篡改，歪曲（bend的过去式）
nationality|n.国籍; （构成国家一部分的）民族
symptom|n.症状; 征兆
approve|v.赞成，同意; 批准，通过
concern|n.担心; 令人担心的事; 关心（的事）; 分内之事; 公司; v.影响; 涉及; 使担忧; 关心; 对...感兴趣; 认为...重要
consistent|adj.一致的; 连贯的; 始终如一的
guarantee|v.担保; 提供（产品）保修单; 确保; 承诺对...负法律责任; n.保证; 保修单; 起保证的事物; 担保金
polite|adj.有礼貌的; 应酬的; 上流的
popular|adj.受喜爱的; 讨人喜欢的; 通俗的; 普遍的; 民众的
practical|adj.实际的; 务实的; 可行的; 有用的; 明智的; 心灵手巧的; 实际上的; n.实验课
regardless|adv.不顾后果地; 不管怎样，无论如何; 不惜费用地
resign|v.辞职; 放弃; 屈从; 勉强接受
vehicle|n.车辆，交通工具; 手段，工具
wipe|v.擦（干净）; 消除，抹去; n.擦; （一次性）湿巾
polite|adj.有礼貌的; 应酬的; 上流的
approve|v.赞成，同意; 批准，通过
academic|adj.学术的，学业的，教学的; 学院的，学校的; 成绩优秀的; n.大学教师; 高校科研人员
apologize|v.道歉，认错
build|v.建造; 创立; 发展; 逐渐增强; n.体形; 身材
connect|v.(使)连接/接通; 把...联系起来; 联运; (使)换乘; 产生共鸣
experience|n.经验; 经历; 往事; v.经历; 感受
express|v.表达，表示; 不言自明; 挤出; 快递; adj.明确的; 特快的; 用快递寄送的; adv.用快递寄出某物; n.特快列车; 长途汽车; 快递服务
instruction|n.指示; 教学; 用法说明; 计算机指令; adj.说明用法的
behaviour|n.行为; 态度; 行为方式; 运动方式; 性能
order|n.次序; 条理; 治安; 命令; 订货; 点菜; 付款指令; 秩序; 阶层; （生物）目; 修会; 授勋的人; 勋章; 社团; 汇票; v.命令; 订货; 点菜; 组织
personally|adv.在个人看来; 亲自; 当面地; 个别地; 私人地; 无礼地
quite|adv.很，相当; 非常; 的确; 确实如此
suggest|v.建议; 推荐; 表明; 暗示
