brow|n.前额；眉毛；山脊；表情
nectar|n.花蜜；甜美的饮料；众神饮用的酒
godling|n.小神；地方神灵
sway|v.摇动；摇摆；支配；影响；说服，使相信; n.摇摆；支配；影响
curse|n.诅咒；咒骂；祸端; vt.诅咒；咒骂；使受罪; vi.诅咒；咒骂
fiercely|adv.猛烈地；厉害地
splash|n.溅泼（声）；溅泼的量；溅污的斑点；骚动；少许; v.溅（湿）；报道
vaporize|v.（使）蒸发; =vaporise（英）
sweat|n.汗水; n.焦急；繁重工作；(凝结在物体表面的)水珠; v.(使)出汗
dodge|v.避开；躲避; n.躲避；诡计
warriors|武士
la|n.A音的唱名；第六音; int.啊呀；呀
embrace|v.拥抱；包含；包围；接受；信奉; n.拥抱
linen|n.亚麻布；亚麻线；亚麻制品; adj.亚麻布制的；亚麻的
robbery|n.抢劫
snaky|adj.似蛇的；弯曲的；阴险的
clicking|n.微小静电干扰声
rhea|n.美洲鸵；三趾鸵鸟；【希腊神话】瑞亚（众神之母）
bellow|vi.吼叫; vt.大声喝道; n.吼叫声；风箱，鼓风机，鼓风匣子
uproot|vt.连根拔起；迁离；根除
crown|n.王冠；王权；花冠；顶点；齿冠；克朗（丹麦、瑞典、捷克等国的货币单位）; vt.加冕；使...成王；居...之顶；镶齿冠；使圆满；打…的头部
courageous|adj.勇敢的；有勇气的，有胆量的
chute|n.斜槽；泻物架；瀑布；降落伞; v.用斜槽进料
qb|n.速断(高速断路器)
cursing|n.咒骂；诅咒
tournament|n.锦标赛；比赛；比武
archaeological|adj.考古学的；考古学上的
snuggle|v.依偎；挨近
inhabit|v.居住于；占据；栖息
nearest|adj.最近的
unhook|v.从取下；解开
grace|n.优美；优雅；恩惠; vt.使优美；使荣耀
aegis|n.保护；庇护；资助；宙斯盾
uprooting|倒根,挖除伐根
mortality|n.死亡率；死亡数目；必死性
ferry|n.渡船；渡口; vt.摆渡；运输; vi.摆渡
firmly|adv.牢牢地；坚定地
desperation|n.绝望；铤而走险
withstand|vt.对抗；经得起；承受
esophagus|n.食道
grateful|adj.感激的；令人愉快的
tight|adj.紧的；紧身的；密集的；拮据的; adv.紧紧地；牢固地；迅速地
moisture|n.水分；潮气；湿度
cunning|adj.狡猾的；有眼光的；精巧的；可爱的; n.【C】狡诈；灵巧
sputter|vt.喷溅；语无伦次地说; vi.喷溅；生气激动地说；发出劈啪声; n.劈啪声；飞溅；兴奋地说话
waterfall|n.瀑布
barrage|n.弹幕；掩护炮火; n.拦河坝; vt.以密集火力进攻
harden|v.(使)变硬；(使)坚强
gong|n.锣；奖章
townspeople|n.市民；镇民
hoist|v.升起；升高；举起; n.起重机；升高
historian|n.历史学家；编史者
xxiv|n.二十四; adj.二十四的
edition|n.版；版本
slay|vt.杀害；残杀；使大笑
scoreless|adj.没得分的
sooner|n.抢先占地的人; adv.比预期早; Sooner.; 美国俄克拉荷马州的别名.
fertility|n.【C】肥沃；(人)繁殖力；(思想等的)丰富
flit|v.轻快地飞；掠过；搬家(尤指为躲债); n.掠过；搬家
fiery|adj.火的；炽热的；激烈的；暴躁的；辛辣的
slam|v.砰地关上；猛放；猛烈攻击; n.砰然声；猛烈抨击; n.满贯
smooth|adj.光滑的；平稳的；流畅的；圆滑的；可口的；安祥的；均匀的; v.使光滑；消除；安慰；理顺(羽毛)
popper|n.服药成瘾者；弄出砰然；爆米花之容器；玻璃瓶
ultra|adj.超；过激的；极端的; n.过激论者；急进论者
sideline|n.(球场)边线；副业；附带出售的商品; v.使退出比赛；把…排挤在核心之外
scarce|adj.缺乏的；不足的；稀少的；罕见的; adv.勉强
vine|n.藤；蔓；攀爬植物
slumber|n.睡眠；微睡；休止状态; v.睡觉；打盹；静止；休眠
shabby|adj.破旧的；寒酸的；低劣的，无耻的；卑劣的
proved|v.证明(证明是；检验；勘探；证明；试印)
unharmed|adj.没有受伤的；无恙的
assist|vt.帮助；协助; vi.帮助；出席; n.帮助；协助；助攻；协助的器械
cloak|n.斗蓬；宽大外衣；掩盖物; v.遮掩；隐匿
titanic|adj.巨大的；[化]钛的; n.[T-]泰坦尼克号（船名）
stomp|vt.跺（脚）；重踏; n.跺脚舞；顿足爵士舞乐曲
palaces|宫城
condo|n.[口]分户出售公寓大厦; =condominium.
goodwill|n.善意；亲切；友好；商誉；信誉
catapult|n.弹弩；发射机; v.发射
superfast|超高速的
silvery|adj.含银的；银色光泽的；银铃般的
chimera|n.神话怪物；妄想；嵌合体; Chimera.; [希神]奇美拉（喷火女怪）.
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
pitiful|adj.慈悲的；可怜的；凄惨的
thoughtful|adj.深思的；体贴的
disgrace|n.耻辱; v.耻辱；丢脸
tickle|vt.使发痒；逗乐；使快乐; vi.觉得痒; n.痒；抓痒
collapsed|adj.倒塌的
memorize|v.记住；记录；记下
gnash|v.咬(牙切齿)
bet|v.打赌；确信无疑; n.赌注；确信
dung|n.动物的粪便; v.上粪
aqua|n.水；浅绿色
housefly|n.家蝇
lining|n.衬里；内层
accompany|vt.陪伴；伴随...发生；补充；给...伴奏; vi.伴奏
pretended|adj.假的；虚伪的
dee|n.D字；D字形物
syrup|n.糖浆；甜而黏稠的汁液
wanna|想要（仅能用于口语；相当于“wantto”或者“wanta”）
glide|v.滑动；滑翔；溜走; n.滑动；滑过；滑音
parade|n.游行；检阅；游行地; vi.参加游行；阅兵；散步；炫耀; vt.夸耀；使参加游行；检阅；绕行
waggle|v.摇动；摇摆；摆; n.摇动；摇摆
terror|n.恐怖；惊骇；令人惧怕或讨厌的人或事物
oceans|n.大洋
wicker|n.枝条；柳条；柳条制品
tor|n.岩山；突岩
pooch|n.狗; vi.膨胀；凸起
beer|n.啤酒
finest|adj.好的；出色的
earliest|n.最早; adj.最早的
dekameter|n.十米
pickpocket|n.扒手
spawn|n.卵；产物；后代；结果; vt.产卵；种菌丝于；产生；造成; vi.产卵；大量生产
flip|vt.掷；轻击；弹; vi.翻转; n.（跳水或体操动作中的）空翻；轻弹；浏览; adj.无礼的；冒失的；轻率的
crashing|adj.绝对的；彻底的；非凡的
frantically|adv.狂暴地；疯狂似地
sneer|n.冷笑；嘲笑; v.嘲笑；冷笑
miserable|adj.痛苦的；悲惨的；贫乏的；狼狈的
reunion|n.团聚；联合
butt|n.烟蒂；屁股；枪托; n.笑柄；靶垛; n.大酒桶; n.抵撞; v.插嘴；顶撞
strengths|强项
