raccoon|n.浣熊；浣熊的毛皮
feathery|adj.生有羽毛的；柔软如羽毛的
fon|n.丰族(西非达荷美；尤指阿波美地区的一种黑人民族)；丰族语
shallow|adj.浅的；薄的; n.浅滩；浅处; v.变浅
cast|v.掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测; n.演员阵容；投掷；[医]固定用敷料
rebuild|v.重建；重新组装；恢复
worker|n.工人；工作者
reproduction|n.再现；复制；生殖；幼树
accidentally|adv.偶然地；意外地；附带地
tub|n.桶；浴盆；行进缓慢的旧船; v.装入桶；洗澡
seemingly|adv.表面上；似乎；看起来
volcanic|adj.火山的；猛烈的
gradually|adv.逐渐地
greatly|adv.很；非常；大大地
spade|n.铲子；铁锹; n.黑桃; v.铲
carnivore|n.食肉动物；食虫植物
instinctual|adj.本能的
bundle|n.捆；束；包；大笔钱; v.捆；把...扎成一捆；匆忙地走
ail|v.使...苦恼；苦恼；生病; n.小病
bedding|n.寝具（人或动物）
arc|n.弧；弧形物; vi.形成电弧；按弧形轨迹行进
circumference|n.圆周；周围；周长
igloo|n.（爱斯基摩人用冰雪凝块砌成的）拱形圆顶小屋；冰屋
ledge|n.架状突出物；壁架；暗礁；岩脊
pinecone|n.松球；松果
fire-resistant|adj.(=fire-retardnat)耐火的；防火的
magnetism|n.磁性；吸引力；磁学
limestone|n.石灰石
recall|n.回忆；取消；召回; vt.召回；恢复；回想起；唤起；与...相似
jee|int.哎呀(表示惊奇、兴奋)
maze|n.迷宫；曲径；迷惑; vt.使迷惑
whistle|n.口哨；汽笛；警笛; v.吹口哨；鸣汽笛；呼啸；吹口哨召唤
borer|n.穿孔者；钻孔器；船蛆；凿船虫
of-|用于offer前
maple|n.【C】枫树；槭树; n.【U】枫树干
n-|[机]正
cleanup|n.清除；大扫除；暴利; adj.（棒球）第四棒的
take-off|n.起飞
axles|多轴
distinct|adj.明显的；清晰的；不同的；独特的
hemlock|n.铁杉；毒芹；从毒芹提炼的毒药；毒汁
velocity|n.速度；迅速；速率
shelter|n.避难所；庇护；庇护所; v.保护；隐匿；庇护
minimize|v.将...减到最少；贬低
dump|vt.倾倒；抛弃；倾销；抛售；倾卸；[计]转储; vi.倾倒；突然落下; n.垃圾场；军需供应站
hem|n.褶边; vt.缝边；包围；约束
solute|n.溶解物
seagrass|n.海草
binoculars|n.双眼望远镜
relieve|v.救济；减轻；解除；偷
someplace|adv.在某处
croak|v.嗄嗄叫；发牢骚；死; n.呱呱声；哇哇声
open-circuit|adj.开路的
shipping|n.船运；发货；运输；乘船
pad|n.便签纸；衬垫；发射台；公寓；脚印；肉趾; n.低沉声音；缓慢行走的马; v.填塞；夸大; v.轻轻走
reuse|vt.重新使用; n.再使用
turbine|n.涡轮
blossom|n.花；开花；全盛期; vi.开花；成长
trout|n.鳟鱼；鳟鱼肉
irregular|adj.不规则的；不整齐的；不合法的；不合规矩的; n.不合格品；非正规军
smiley|adj.微笑的; n.[计]笑容符
emptiness|n.空虚；空旷；空地
incandescent|adj.光亮的；炽热的；白热化的；暴怒的
aquifer|n.含水土层(含水量足以成为井水或泉水)
motion|n.移动；动作；打手势；示意；提议；大便; v.示意；运动；向...打手势
depths|pl.深处
four-wheel|adj.四轮的
sturdy|adj.强健的；坚固的；坚决的
gravel|n.碎石; v.铺碎石；使困惑
enclosed|adj.被附上的; v.附上; vbl.附上
chemically|adv.用化学；以化学方法
proved|v.证明(证明是；检验；勘探；证明；试印)
toddlers|儿童短衫
tion|suf.表示“行为”；“状态”等
fertilize|v.施肥；使肥沃；使丰富；[生]使受精；使受粉
tat|vi.梭织; vt.用梭织法编织; n.转移活化基因
coal-burning|adj.燃煤的
tal|n.轻打
screwdrivers|n.螺刀；螺丝批；螺丝起子
dandelion|n.蒲公英
blink|v.眨眼；闪烁；拒绝承认或面对；用闪光灯传送信号; n.眨眼；闪光；一瞬间
hardboiled|adj.强硬的(无情的；切实的)
coupon|n.息票；参赛表；票券；礼券；(购物)优惠券
sheet|n.被单；纸；(薄)片；一片; n.[船]帆脚索; v.铺盖；使成片; adj.片状的
bagel|n.百吉饼；硬面包圈
viceroy|n.总督；副王峡蝶
liq|液体
ridge|n.脊；山脊；山脉；隆起部; v.（使）成山脊
faucet|n.水龙头
igniter|n.点火器；触发器；引燃装置
waterfall|n.瀑布
triangular|adj.三角形的；以三角形为底的；三方的；(感情上)三角关系的
lens|n.镜头；镜片；透镜；(眼球的)水晶体; v.给…摄影；给…拍照
beak|n.鸟嘴；鸟嘴状物体；鹰钩鼻; n.地方治安官；校长
responsibly|adv.负责地；可靠地
coverings|n.覆盖物
harvard|n.哈佛大学(美国)
ork|[美口]=orchestra
germinate|v.发芽；开始生长
watersheds|分水岭
overtime|n.加班时间(加班加点费)；(比赛)延长时间; adv.在规定时间之外(超出时间地)
technician|n.技术员；技师
pizza|n.比萨饼
automatically|adv.自动地；机械地
insulator|n.绝缘体；绝热器
sparrow|n.麻雀
compass|n.圆规；指南针；范围; vt.达到；围绕；图谋
