nap|n.小睡；绒毛；纳普牌; vi.打盹；疏忽
thoughtful|adj.深思的；体贴的
tread|n.步法；踏面；胎面花纹；鞋底; v.踩；行走；践踏；(鸟类)交配
rowing|n.划船，赛艇运动
thereafter|adv.其后；从那时以后
nonstop|adj.直达的；不断的；不间断的; adv.直达地；不间断地; n.直达车；直达行驶
tug|n.用力拉；拖船; v.用力拉
mortality|n.死亡率；死亡数目；必死性
shortage|n.不足；缺少，短缺
invincible|adj.不可征服的；不能战胜的
uncover|vt.揭开；揭露
boar|n.野猪；公猪
tone|n.语气；音调；调子；色调；风气; v.使更健壮；定调；调色；装腔作势地说
eerie|adj.怪诞的；可怕的；奇异的；害怕的
technically|adv.技术上；学术上；严密地
yo|int.唷(水手拉绳时一道发出的叫声)
immortal|adj.不朽的；永世的; n.不朽的人物；神
maple|n.【C】枫树；槭树; n.【U】枫树干
biographical|adj.传记的
mythical|adj.神话的；虚构的；杜撰出来的
spitting|n.吐出(逆火；点燃导火线)
intensive|adj.密集的；彻底的；精细的；强调的; n.(语法)强调成份
unmarried|adj.未婚的；独身的; n.未婚者
whistle|n.口哨；汽笛；警笛; v.吹口哨；鸣汽笛；呼啸；吹口哨召唤
swoop|v.抓取；猛扑；突然袭击; n.俯冲；攫取；突然袭击
fog|n.雾；朦胧；迷惑; v.以雾笼罩；使模糊；迷惑
stomp|vt.跺（脚）；重踏; n.跺脚舞；顿足爵士舞乐曲
mere|adj.仅仅的；纯粹的
screeching|发动机啸声
thee|pron.[古]你；汝；你自己
unbelievable|adj.难以置信的
stroll|n.闲逛；漫步; v.闲逛；漫步
eternally|adv.不朽地；永久地
mellow|adj.成熟的；醇的；熟练的; v.（使）变熟，（使）柔和
devil|n.魔鬼；淘气鬼；坏人；家伙；棘手的事; vt.困扰；添加辣味调料；给...做助手
stable|adj.稳定的；安定的；可靠的; n.马棚；马厩；一批人; v.使（马）入厩；入马棚
stall|n.栅栏；小隔间；货摊；座位; v.把...关进畜舍里；失速；熄火；拖延；（使）动弹不得
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
scram|n.急停；急离；紧急刹车; v.快走开
squeaky|adj.吱吱响的；发轧声的；短促尖声的
hint|n.暗示; v.暗示；示意
postal|adj.邮政的; n.明信片
shepherd|n.牧羊者；牧师；指导者; v.牧羊；照看；引领
boast|v.自夸；吹牛；以...为荣; n.自夸；引以为荣的事物
timber|n.木材；木料
goodwill|n.善意；亲切；友好；商誉；信誉
lid|n.盖子；眼睑; vt.给...装盖子
rhythmic|adj.有节奏的；有韵律的
thud|n.重击声；砰的一声; v.发出砰的一声
tornado|n.龙卷风；飓风；旋风
bravely|adv.勇敢地
outfit|n.配备；用具；机构; vt.配备；供应; vi.得到装备
nameless|adj.无名的；匿名的；不可名状的
detour|n.绕路；便道; v.绕路而行
girdle|n.腰带；围绕物; vt.以腰带束缚；在...周围绕
scatter|vt.散播；撒；驱散; vi.分散；消散; n.散布；零星少量
sunglasses|n.墨镜；太阳镜
stench|n.臭气；恶臭
victorious|adj.胜利的；得胜的
trickle|vi.滴流；慢慢移动; n.细流；徐徐地流
proudly|adv.傲慢地；自大地；得意洋洋地
provoke|vt.激怒；惹起；驱使
granny|n.奶奶
apiece|adv.每人；每个；各
pup|n.小狗；小海豹；小伙子
stitch|n.一针；疼痛；碎布条; v.缝合
smooth|adj.光滑的；平稳的；流畅的；圆滑的；可口的；安祥的；均匀的; v.使光滑；消除；安慰；理顺(羽毛)
bronze|n.青铜；青铜色；青铜制品；铜牌; adj.青铜制的；青铜色的; vt.使成青铜色
weary|adj.疲倦的；厌烦的; v.疲倦；厌烦；生厌
shabby|adj.破旧的；寒酸的；低劣的，无耻的；卑劣的
legendary|adj.传说的；传奇的；著名的
locate|vt.找出；把...设置在；使坐落于; vi.住下来
holler|v.叫喊；发牢骚; n.叫喊；怨言
spice|n.调味品；香料；情趣; v.用香料调味；给…增添趣味
afterlife|n.来世；后来的岁月
professors|大学教授
hurl|v.用力投掷；愤慨地说出；丢下
betcha|int.当然；真的；的确！; =betyou.
lair|n.(野兽的)巢穴；(人的)藏身处
rattlesnake|n.响尾蛇
routine|n.例行公事；常规；无聊; adj.常规的；例行的；乏味的
nephew|n.外甥；侄子
threaten|v.威胁；恐吓；似将发生
reunion|n.团聚；联合
boot|n.靴子；猛踢；解雇；[英]汽车行李箱; vt.踢；穿靴子；逐出；启动(计算机)
ness|n.岬；海角
exhausted|adj.用完的；精疲力竭的
bravery|n.勇敢；华丽(的衣服)
hardworking|adj.努力工作的；勤奋的
moan|n.呻吟声；抱怨声; vt.抱怨；呻吟; vi.呻吟；抱怨
boxing|n.拳击；盒式包装；制箱材料
non|adv.[拉]非；不是
la|n.A音的唱名；第六音; int.啊呀；呀
slippery|adj.滑的；狡猾的；不可靠的
fiend|n.魔鬼；邪神
tickle|vt.使发痒；逗乐；使快乐; vi.觉得痒; n.痒；抓痒
sorts|n.种类; 分类.
summon|vt.召唤；召集；振奋
fairy|n.仙女；小精灵; adj.优雅的；幻想中的；虚构的
hooded|adj.戴头巾的；有兜帽的；有罩盖的；[动]有冠顶的
