racket|n.球拍; n.喧闹；敲诈；行业；职业; v.喧闹；花天酒地
circus|n.马戏团；马戏表演；竞技场；广场
amused|adj.愉快的；顽皮的；被逗乐的；觉得好笑的
rowing|n.划船，赛艇运动
quietly|adv.安静地；悄悄地；平静地
thereafter|adv.其后；从那时以后
compartment|n.间隔；个别室；卧车包房; vt.划分
conquer|vt.征服；克服；战胜; vi.得胜
craggy|adj.多峭壁的；棱角分明的
churn|n.搅乳器; v.搅拌；搅动；翻腾；〈口〉粗制滥造
bordering|n.边缘(设立疆界；边界标志物)
cocoon|n.茧；茧状物; v.包围；包裹
biographical|adj.传记的
poh|int.轻视之声; vt.使疲倦
overthrow|v.推翻；打倒；颠覆；[体]高投; n.推翻；瓦解；颠覆；[体]高投
chant|n.圣歌；赞美诗；旋律；喊叫; v.吟唱；诵扬；叫喊
rally|n.集会；（价值等）回升；回合; vi.重整旗鼓；恢复精神；(人)集合起来; vt.嘲弄；重新召集；激励
clan|n.氏族；宗族；党派
impatient|adj.不耐烦的；急躁的
premium|n.额外费用；奖金；保险费; n.(商)溢价; adj.高价的；优质的
spawn|n.卵；产物；后代；结果; vt.产卵；种菌丝于；产生；造成; vi.产卵；大量生产
screeching|发动机啸声
composed|adj.镇静的；沉着的；由…组成的
sneaky|adj.鬼祟的；卑鄙的
conserve|n.蜜饯；果酱; v.保存；保持；节省；用糖保存
cracking|n.分裂；分解; adj.很快的；很好的；很美的; adv.很快地；很好地；很美地
charm|n.魅力；吸引力；迷人；美貌; v.（使）着迷；施魔法
continual|adj.不断的；频繁的；连续的
peppy|adj.精神充沛的；活泼的
mornings|n.每天上午；在任何上午
clockwise|adj.顺时针方向的; adv.顺时针方向地
practiced|adj.熟练的；老练的；练成的
spelling|n.拼法；拼写
chipmunk|n.[动]花栗鼠
hoist|v.升起；升高；举起; n.起重机；升高
punishment|n.惩罚
postal|adj.邮政的; n.明信片
freely|adv.自由地；免费地；直率地；大量地
tornado|n.龙卷风；飓风；旋风
plead|v.辩护；恳求；提出借口；认罪
classroom|n.教室；课堂
outfit|n.配备；用具；机构; vt.配备；供应; vi.得到装备
delicate|adj.微妙的；精美的；纤细的；脆弱的；敏锐的；美味的
click|n.咔嗒声；[计]点击; v.（使）发出咔嗒声；点击
cope|vi.应付；对抗；妥善处理; vt.笼罩；盖上斗篷; n.长袍；斗篷状物
scatter|vt.散播；撒；驱散; vi.分散；消散; n.散布；零星少量
plaything|n.玩具；玩物；被玩弄的人
cellar|n.地窖；地下室; vt.把...藏入地窑
provoke|vt.激怒；惹起；驱使
rage|n.狂怒；大怒；狂暴；肆虐；风行; v.大怒；怒斥；激烈进行；肆虐
edition|n.版；版本
outsmart|v.比...更聪明；智胜
bundle|n.捆；束；包；大笔钱; v.捆；把...扎成一捆；匆忙地走
ceiling|n.天花板；上限
peep|n.瞥见；偷看；初现; n.吱吱叫; v.窥视；慢慢露出; v.吱吱叫
cha|n.茶
cannonball|n.炮弹；抱膝跳水；高速列车；炮弹式发球; v.以极快速度移动；抱膝跳水
cuff|n.袖口；手铐; n.巴掌; v.为...上袖口；带手铐; v.轻拍；掴
log|n.原木；圆木；(航海、飞行)日志；(船)计程仪; v.伐木；记入(日志)
overlord|n.霸王；大君主；最高君主
locate|vt.找出；把...设置在；使坐落于; vi.住下来
spice|n.调味品；香料；情趣; v.用香料调味；给…增添趣味
professors|大学教授
vicious|adj.恶毒的；恶意的；剧烈的；堕落的
perfume|n.香水；香气; vt.洒香水于；使香气弥漫
ah|int.啊；哈; =aah.
puddle|n.水坑；地上积水；胶泥; v.搅浊；在泥污中打滚；排尿
chill|v.(使)变冷；(使)扫兴；[冶]冷淬; n.寒冷；扫兴；寒心；着凉; adj.冷淡的；寒冷的
rump|n.[鸟]尾部；[兽]臀部；余党
collapsed|adj.倒塌的
clench|v.紧握；紧咬；牢牢地抓住；确定; n.牢牢抓住；钉紧
rattlesnake|n.响尾蛇
grateful|adj.感激的；令人愉快的
peg|n.钉；支柱；借口; vt.钉木桩；扔; vi.努力工作；匆忙走
canal|n.运河；沟渠；气管；食管; vt.建运河；疏导
potion|n.一服，一剂；（药物、毒物或有魔力的）饮料
ante|n.(纸牌游戏中发牌钱下的)赌注；(需预付的)款项; v.下赌注；付款; pref.表示“前”
cautiously|adv.慎重地；谨慎的
scenery|n.风景；背景；布景
sniff|vi.嗅；嗤之以鼻；找出; vt.嗅到；吸入；嗤之以鼻地说; n.嗅；吸气；气味
participants|adj.有份的；n
steadily|adv.稳定地；稳固地；逐步地
charitable|adj.仁慈的；(为)慈善事业的；宽恕的
bravery|n.勇敢；华丽(的衣服)
privacy|n.隐居；隐私；秘密；私生活
unpredictable|adj.不可预知的
compliant|adj.适用的；顺从的
pyramid|n.金字塔；棱锥体；[证券]金字塔式交易法; v.急速增加；以金字塔的模型构建
burial|n.埋葬；葬礼；坟墓
boxing|n.拳击；盒式包装；制箱材料
la|n.A音的唱名；第六音; int.啊呀；呀
automatically|adv.自动地；机械地
slippery|adj.滑的；狡猾的；不可靠的
tin|n.锡；罐头；听头; adj.锡制的; vt.镀锡于
cower|v.畏缩；退缩；抖缩
tickle|vt.使发痒；逗乐；使快乐; vi.觉得痒; n.痒；抓痒
sediment|n.沉淀物
pendragon|n.古代不列巅或威尔斯的王侯；首领；旨长
cigar|n.雪茄烟
ravenous|adj.贪婪的；极饿的
