travelers|旅游者
grand|adj.重大的；豪华的；宏伟的；壮丽的; n.大钢琴；一千美元
sneak|vt.偷偷摸摸做; vi.偷偷地走；偷偷地做; n.鬼鬼祟祟的人；潜行；溜; adj.出其不意的；暗中进行的
sickle|n.镰刀
newborn|adj.新生的; n.新生儿
flute|n.长笛；凹槽; vi.吹长笛；发出笛声; vt.刻凹槽
competitors|竞争对手
reflective|adj.反射的；反映的；沉思的
sternly|adv.严格地；严肃地；坚定地
teamwork|n.合作；协同工作
stygian|adj.地狱的；阴暗的；幽暗的；冥河的
athletic|adj.运动的；活跃的；健壮的
sleeper|n.睡眠者；枕木；卧铺；爆冷门；耳环
maple|n.【C】枫树；槭树; n.【U】枫树干
limp|n.跛行; adj.柔软的；无力的；软弱的; vi.跛行；蹒跚
spill|v.溢出；洒；使...流出；泄漏; n.溢出；流；木片；小杆
mythical|adj.神话的；虚构的；杜撰出来的
spitting|n.吐出(逆火；点燃导火线)
chant|n.圣歌；赞美诗；旋律；喊叫; v.吟唱；诵扬；叫喊
whistle|n.口哨；汽笛；警笛; v.吹口哨；鸣汽笛；呼啸；吹口哨召唤
spikes|pl.钉鞋
torrent|n.激流；山洪；(谩骂、质问等的)连发，爆发
shrine|n.圣地；神龛；庙; v.将...置于神龛内；把...奉为神圣
splashing|喷洒,泼洒
thump|v.重击；怦怦跳；猛击；用拳头打; n.重击声；重打
shiver|v.颤动；发抖; v.打碎; n.冷颤；哆嗦; n.碎块
disrupt|vt.干扰；打断；妨碍；使分裂；使破裂
stroll|n.闲逛；漫步; v.闲逛；漫步
poodle|n.狮子狗
eternally|adv.不朽地；永久地
supervisor|n.监督人；主管人；管理人；督学；检查员；导师
continual|adj.不断的；频繁的；连续的
statue|n.雕像；塑像
stall|n.栅栏；小隔间；货摊；座位; v.把...关进畜舍里；失速；熄火；拖延；（使）动弹不得
vulture|n.秃鹰；兀鹰；贪婪的人
swan|n.天鹅; vi.闲荡；游荡
stadium|n.体育场；运动场；[生]期
togetherness|n.相聚；在一起；和睦
immature|adj.不成熟的
villagers|n.乡下人
shepherd|n.牧羊者；牧师；指导者; v.牧羊；照看；引领
speeding|adj.高速行驶的; n.超速行驶
smelly|adj.难闻的；臭的
tremendous|adj.巨大的；惊人的
self|n.自己；本性；自我; pron.我自己；你自己；他或她自己; adj.始终如一的；同一类型的；性质不变的; v.近亲繁殖；自花授粉
stir|vt.激起；惹起；搅和; vi.活动；引起；挪动; n.骚乱；感动(激动；愤怒或震动)；搅拌
freely|adv.自由地；免费地；直率地；大量地
sorceress|n.女魔法师；女巫
bravely|adv.勇敢地
nameless|adj.无名的；匿名的；不可名状的
tuck|v.打摺；卷起；收拢；藏起；大吃; n.缝摺；船底后端；食品
hairy|adj.多毛的；长毛的；令人恐怖的；难对付的
reptile|n.爬行动物；卑鄙的人; adj.爬虫类的
thinker|n.思想者；思考者
skim|vt.撇去；略读；掠过；滑过; vi.掠过；表面凝结；瞒报; n.浮沫；略读；脱脂物
gardener|n.园丁；花匠
throne|n.王位；君主
bland|adj.温和的；不油腻的；引不起兴趣的；平淡无奇的
deadline|n.最后期限；(鉴于边上的)警戒线；截止时间
generator|n.发电机；发生器
spectator|n.观众；旁观者
trapdoor|n.地板门；活板门；活盖
log|n.原木；圆木；(航海、飞行)日志；(船)计程仪; v.伐木；记入(日志)
smooth|adj.光滑的；平稳的；流畅的；圆滑的；可口的；安祥的；均匀的; v.使光滑；消除；安慰；理顺(羽毛)
bronze|n.青铜；青铜色；青铜制品；铜牌; adj.青铜制的；青铜色的; vt.使成青铜色
driveway|n.(住宅前的)车道
enjoyment|n.享受；令人愉快的事
rainy|adj.多雨的；下雨的
wiggle|v.扭动；摆动; n.扭动；蠕动；奶油青豆烧鱼
justices|公平
surgery|n.外科手术；外科；诊所；手术室
shiner|n.发光物；发光体；银色小鱼；黑眼眶
trauma|n.创伤；外伤
splashdown|n.在海中降落
interior|adj.内地的；国内的；内部的; n.内部；内在
spiro|n.螺
tetanus|n.破伤风
tremble|n.战悚；颤抖; v.发抖；忧虑；震颤
sticker|n.贴纸；粘附物；固执的人；尖刺
collapsed|adj.倒塌的
nephew|n.外甥；侄子
drain|v.排出；排干；喝光；耗尽; n.下水道；消耗
threaten|v.威胁；恐吓；似将发生
ness|n.岬；海角
stinky|adj.恶臭的
sludge|n.泥泞；淤泥；泥状雪
steadily|adv.稳定地；稳固地；逐步地
shore|n.岸；滨
sleeve|n.套管；袖子
cabin|n.船舱；机舱；小木屋; vt.抑制; vi.住在小屋
goose|n.鹅；鹅肉；雌鹅；笨蛋；长柄熨斗
textbooks|教材
slapping|adj.出奇地快；巨大的；极好的; adv.极快地；非常地
spectacle|n.景象；场面；奇观；壮观；公开展示；表相，假相; n.（复）眼镜
thou|pron.[古]你；尔；汝
oral|adj.口头的；口部的；口语的; n.口试
summon|vt.召唤；召集；振奋
sometime|adj.以前的; adv.改天；来日；某时
strainers|过滤器
stratosphere|n.平流层；高层次；最高阶段
