scoreboard|n.记分板
criminals|罪犯
platform|n.月台；讲台；平台；站台；(政党的)政纲
stingy|adj.吝啬的；小气的
emergency|n.突发事件；紧急状态; adj.应急的；紧急的；备用的
rye|n.黑麦；黑麦威士忌酒；吉卜赛男人
donkey|n.驴；愚蠢的人
crimes|犯罪
indoor|adj.户内的；室内的
wire|n.金属丝；电线；电报; vt.发电报；装电线；(通过电线)接通；用金属丝把...连一起；电汇
bait|n.饵；引诱; v.以饵引诱；逗弄；中途休息
rotten|adj.腐烂的；腐朽的；极坏的；讨厌的; adv.非常
mankind|n.人类；男人
gladly|adv.高兴地；乐意地
collectors|集合管
goalkeeper|n.守门员; =goaltender(美).
declaration|n.宣言；宣布；申报
grandparents|n.外祖父母；祖父母
rubber|n.橡胶；橡皮；橡胶制品; adj.橡胶的
trader|n.商人；商船
redouble|v.加倍；再折叠；重复
impatient|adj.不耐烦的；急躁的
similarity|n.相似；类似
cocoa|n.可可粉；可可饮料；可可色
desperation|n.绝望；铤而走险
romp|v.嬉闹玩笑；欢快地迅速奔跑；轻易地取得胜利; n.好玩的游戏；欢闹；顽皮嬉闹的人；轻易取得的胜利
rightfully|adv.正直地；正当地
sweat|n.汗水; n.焦急；繁重工作；(凝结在物体表面的)水珠; v.(使)出汗
waterways|n.排水沟
secretly|adv.秘密地；背地里
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
weave|v.编织；组合；编造；迂回前进; n.编法；织法；编织
realm|n.领域；王国
sturdy|adj.强健的；坚固的；坚决的
rejoice|v.（使）高兴；（使）欢喜
slime|n.烂泥；黏液; v.涂上黏泥
closet|n.壁橱；衣帽间；密室；厕所; adj.隐藏的；不公开的；空谈的; vt.把...关在房间里
newsroom|n.编辑部；报章杂志阅览室；报纸贩卖部
patrol|n.巡逻；巡查; v.巡逻；巡查
hoist|v.升起；升高；举起; n.起重机；升高
blizzard|n.暴风雪；大量; n.暴雪（美国游戏软件制作公司）
scattered|adj.分散的；稀疏的
breed|v.繁殖；养育；引起，产生；教养; n.品种；血统
squire|n.护卫；侍从；乡绅；大地主; v.侍从；护卫
merry|adj.愉快的；欢乐的；微醉的
savory|adj.美味可口的；香辣的；令人愉快的；体面的; n.香薄荷; =savoury(英).
classroom|n.教室；课堂
roars|n.怒吼
dumb|adj.哑的；愚蠢的；不能说话的; vt.使沉默
ripples|皱纹,纹波,涟漪
scoot|v.急走; n.急走；迅速跑开
delicate|adj.微妙的；精美的；纤细的；脆弱的；敏锐的；美味的
revolve|v.旋转；考虑；围绕
heroic|adj.英雄的；英勇的；巨大的
slimy|adj.黏滑的；卑劣的
floppy|adj.松软的；懒散的; n.软盘(=floppydisk)
stumble|v.绊倒；蹒跚；犯错误；无意中发现; n.绊倒；错误
sailors|海员
monitor|v.监视；监督；监听; n.班长；监视器；监听员；[计算机]显示器
pad|n.便签纸；衬垫；发射台；公寓；脚印；肉趾; n.低沉声音；缓慢行走的马; v.填塞；夸大; v.轻轻走
odor|n.气味；名声；气息
ref|n.裁判员
salsa|n.沙司(墨西哥食物中辣调味汁); n.萨尔萨舞曲
flip|vt.掷；轻击；弹; vi.翻转; n.（跳水或体操动作中的）空翻；轻弹；浏览; adj.无礼的；冒失的；轻率的
accurately|adv.准确地；精确地
flexible|adj.柔韧的；灵活的；易弯曲的；可变通的
regroup|v.重新组合；重新编制；重新部署
auto|n.汽车; pref.自动的; v.乘汽车
recall|n.回忆；取消；召回; vt.召回；恢复；回想起；唤起；与...相似
grab|v.抓住；攫取; n.抓取物；抓
sandal|n.凉鞋; n.檀香木
faithful|adj.忠诚的；忠实的；忠贞的
newly|adv.新近地；重新地
pledge|vt.发誓；保证；以...抵押；向...祝酒; n.保证；抵押；誓言；抵押品
independence|n.独立；自立
scurry|v.小步疾走；急赶; n.快跑声；疾走
rump|n.[鸟]尾部；[兽]臀部；余党
rulers|尺子
grateful|adj.感激的；令人愉快的
canal|n.运河；沟渠；气管；食管; vt.建运河；疏导
scoop|n.铲子；勺；舀取；穴；独家新闻; vt.挖空；舀取；抢先报道（获得）
rightly|adv.正当地；公义地；正确地
olive|n.橄榄；橄榄树；橄榄色; adj.黄褐色的；橄榄色的
eyed|adj.眼的（常用于合成词）
knuckle|n.指关节；膝关节；肘形接头；铰链连接; v.以指节压；屈从；开始努力工作
pyramid|n.金字塔；棱锥体；[证券]金字塔式交易法; v.急速增加；以金字塔的模型构建
stormy|adj.暴风雨的；激烈的；粗暴的
scrawny|adj.瘦的；骨瘦如柴的
peer|n.同辈；同等的人；贵族; vi.凝视；窥视
retired|adj.退休的；退役的
lavender|n.熏衣草；淡紫色; vt.用薰衣草薰香
tide|n.趋势；潮流；潮汐；潮水; v.渡过；（使）随潮漂流
automatically|adv.自动地；机械地
tin|n.锡；罐头；听头; adj.锡制的; vt.镀锡于
explosion|n.爆炸；爆炸声；激增；爆发
burner|n.燃烧器；火炉
sediment|n.沉淀物
reminder|n.提醒物；提示；催单
troop|n.群；组；军队；大量; vi.群集；结队；成群前行
romantic|adj.浪漫的；不切实际的; n.浪漫的人
