receiver|n.听筒；接收器；收款员；接受者；破产管理官
harden|v.(使)变硬；(使)坚强
gunpowder|n.火药
bow|n.弓；鞠躬礼；蝴蝶结；船头; v.鞠躬；致敬；压弯
polish|n.光泽；上光剂；优雅；精良; v.擦亮；磨光；推敲；完善; Polish.; adj.波兰的；波兰人的；波兰语的; n.波兰语
unfortunately|adv.不幸地；遗憾地
mermaid|n.美人鱼
fig|n.[植]无花果；无花果树；无价值的东西；少许; n.服装
seldom|adv.很少；难得
sterling|adj.英币的；纯银制的；纯正的；优秀的; n.英国货币；标准纯银；银制品
grooming|n.修饰；美容；（动物）梳理毛发
tarantula|n.狼蛛；多毛毒蜘蛛
course|n.课程；讲座；过程；路线；一道(菜); v.跑过，穿过；追赶；快跑
dictation|n.听写；口述；命令
instance|n.例子；场合；情况；要求；诉讼程序; vt.举例说明
actresses|女性优伶
wriggle|n.蠕动；蜿蜒; v.蠕动；扭动；蜿蜒前进；设法摆脱
ostrich|n.驼鸟；驼鸟般的人
carve|v.雕刻；切割
bossy|adj.专横的；爱发号施令的; n.母牛或者小牛
bleed|v.流血；渗色；榨取；放掉（水或气体）；给...抽血
furry|adj.毛皮的；盖着毛皮的；似毛皮的；有舌苔的；沙哑的
sign|n.手势；招牌；符号；迹象；正负号; v.签；签名；做手势；做标记
plenty|n.丰富；大量；充足; adj.充足的；相当多的; adv.非常；充分
replace|vt.取代；替换；放回原处；偿还
Paris|n.巴黎；重楼（百合科植物）；帕里斯（姓氏）
beggar|n.乞丐；穷人；【英】家伙; vt.使贫穷；使不足；使不能
blog|n.博客；网络随笔；日志
reliable|adj.可靠的；可信的
funnel|n.漏斗；漏斗状物；烟囱; vt.使成漏斗状；使经过漏斗; vi.形成漏斗状；经过漏斗
professional|adj.职业的；专业的；专门的; n.专业人员
illness|n.病；疾病
jumbo|n.喷气式飞机; adj.特大的
satisfy|v.使满意；满足；使信服；清偿
chopsticks|n.筷子（名词chopstick的复数形式）
raggedy|adj.有些破的；有些参差不齐的；有些刺耳的
smash|v.打碎；粉碎；猛撞; n.破碎；撞击；轰动的演出；[网球]高压扣球; adj.极为成功的
observers|观测器
lorry|n.卡车
doorstep|n.门阶
current|n.趋势；(水、气、电)流; adj.现在的；流通的
progressive|adj.先进的；前进的；渐进的；革新的(音乐上的）; n.进步分子；革新主义者
judo|n.柔道
tune|n.曲调；调子；和谐；协调；数量; vt.为...调音；调整; vi.调音；调整频率
rifle|n.步枪; v.洗劫；抢劫
abroad|adv.到国外；广为流传; adj.在国外；海外(一般作表语)
radical|adj.激进的；彻底的；基本的; n.激进分子
reception|n.接待；反应；接待处；欢迎；接收；招待会
revenge|n.报仇；报复；报复心；雪耻机会; vt.报复；报仇
recent|adj.近来的；新近的
critics|评论家们
sturgeon|n.鲟鱼
nobleman|n.贵族
honeycomb|n.蜂窝；蜂窝状物; v.使布满小孔；成蜂窝状
vicar|n.(教区或教堂)牧师；代理人
luggage|n.行李
carelessly|adv.粗心大意地；疏忽地
since|conj.因为；既然；自从; prep.自从; adv.此后
cigarettes|卷烟
virtuous|adj.有品德的；有德行的；贞洁的
accomplishment|n.成就；完成
march|n.行军；行进；游行示威；稳步前进；进行曲; v.行进；前进；进发；使同行；游行示威; March; n.三月
outcome|n.结果；后果
latch|n.门闩；碰锁；弹簧锁; v.上闩；缠着；明白
thought|n.思想；想法；意向；思念；观念；打算；关心；顾虑; v.想，思考，考虑（动词think的过去式和过去分词）
commentator|n.评论员；解说员；注释者
bush|n.灌木丛；矮树; v.丛生；(以灌木)标记、保护、支撑; Bush.; n.布什(姓氏)
coefficient|n.系数
relationship|n.关系；联系；亲属关系
restored|adj.恢复的
recite|vt.背诵；朗诵；叙述；列举; vi.背诵；回答问题
overcome|vt.战胜；克服；使受不了；(感情等)压倒; vi.获胜；赢
nearest|adj.最近的
cuckoo|n.杜鹃；杜鹃的叫声; v.像杜鹃一样咕咕叫; adj.愚蠢的；疯狂的
upstream|adj.上游的；逆流而上的; adv.向上游；逆流地
compulsory|adj.强制的；势在必行的；义务的
copper|n.铜；铜币；警察；紫铜色；有紫铜色翅膀的小蝴蝶; vt.镀铜
occur|vi.发生；存在；出现；想到
wasps|胡蜂
quilt|n.被状物；被子; v.缝被；缝制；用垫料填塞
sprinkle|v.洒；撒；下稀疏小雨; n.少量散布的屑状物
gymnast|n.体操运动员
musical|adj.音乐的；喜欢音乐的；悦耳的; n.音乐片
fleece|n.羊毛；一次剪得的羊毛；羊毛状物; v.欺诈
estimation|n.判断；估计；尊重
preserve|v.保护；保存；保持; n.禁猎区；蜜饯
confirm|v.证实；批准；确定
woolen|n.毛制品; adj.羊毛的；羊毛制的；毛织的
court|n.法院；庭院；宫廷；球场；奉承; v.献殷勤；追求；招致；设法获得
enabled|adj.可激活的；已启用的
mattress|n.床垫
limit|n.限度；限制；界限; vt.限制；限定
cling|vi.紧贴；附着；依恋；坚持; n.紧抓；紧贴
telescope|n.望远镜; v.缩短；压缩；套叠
eggshell|n.蛋壳；蛋壳漆(干后平滑无光); adj.薄而易碎的；略有光泽的；淡黄褐的
meantime|adv.与此同时; n.同时；其间
sooner|n.抢先占地的人; adv.比预期早; Sooner.; 美国俄克拉荷马州的别名.
abnormal|adj.反常的；不正常的；变态的; n.不正常的人
roar|v.吼叫；咆哮; n.吼声；咆哮；轰鸣；喧闹
misleading|adj.令人误解的；引入歧途的; 动词mislead的现在分词.
