wagon|n.四轮马车；货车; v.用四轮马车运
drags|n.铸锭列车；锭模列车
frightened|adj.受惊的
atmosphere|n.大气；空气；气氛；气压
cling|vi.紧贴；附着；依恋；坚持; n.紧抓；紧贴
musical|adj.音乐的；喜欢音乐的；悦耳的; n.音乐片
dash|v.猛冲；猛掷；泼溅；匆忙完成; n.破折号；短跑；猛冲；冲
nicely|adv.精确地；漂亮地；恰好地
landowner|n.地主；土地所有者
sadly|adv.悲哀地；遗憾的是；极为
pea|n.豌豆
approximately|adv.大约；近似地
triumphantly|adv.胜利地；得意洋洋地
construction|n.建设；结构；建筑物；建造；构造；解释
skiing|n.滑雪；滑雪术
unspoiled|adj.未损坏的；未宠坏的
stud|n.大头钉；饰钉；立柱；板墙筋；壁骨；种马；耳环；年轻男子; vt.镶嵌；点缀
tune|n.曲调；调子；和谐；协调；数量; vt.为...调音；调整; vi.调音；调整频率
untie|v.解开；松开
visibility|n.能见度；可见性
groom|n.新郎；马夫；王室侍从者; v.打扮；梳理毛发；培养；准备（滑雪）赛道
stash|vt.隐藏；储藏; n.隐藏地点；隐藏物
doorknob|n.球形门把手
uphill|adv.上坡地；向上地; adj.上坡的；向上的；费力的; n.上坡
barriers|障碍
sharpen|vt.使尖锐；磨快；加剧; vi.变尖锐
yield|v.生产；获利；屈服；弯下去; n.投资收益；生产量
brass|n.黄铜(制品)；铜管（乐器）；厚脸皮; adj.黄铜的
weaken|v.使...弱，削弱；变弱；弄淡
technical|adj.技术的；专业的；工艺的
dairy|n.牛奶场；乳品店；乳制品；地方小店; adj.牛奶的；乳制品的
cuckoo|n.杜鹃；杜鹃的叫声; v.像杜鹃一样咕咕叫; adj.愚蠢的；疯狂的
bossy|adj.专横的；爱发号施令的; n.母牛或者小牛
hesitate|vi.犹豫；不情愿；口吃
turnout|n.到场人数；产出；衣着；投票人数；出动；扫除
upwind|adv.逆风的; adj.逆风的
trait|n.特征；特点；少许；一笔
greed|n.贪心；贪婪；贪吃
creepy|adj.(使人)毛骨悚然的；怪异的
ancient|adj.古老的；古代的; n.古人
twist|v.缠绕；捻；搓；拧；扭曲; n.拧；捻；扭曲；盘旋；弯曲处
energetic|adj.精力旺盛的；有力的；能量的
wasps|胡蜂
measure|n.措施；量度；尺寸；程度；办法; v.测量；比较；给予；权衡
quarrel|n.吵架；争论；怨言; vi.吵架；争论；挑剔
sprinkle|v.洒；撒；下稀疏小雨; n.少量散布的屑状物
tribal|adj.部落的
fiery|adj.火的；炽热的；激烈的；暴躁的；辛辣的
commentator|n.评论员；解说员；注释者
ugliness|n.丑陋
violently|adv.猛烈地；强烈地；暴力地
toddler|n.初学走路的孩子
lantern|n.灯笼；[建]天窗；屋顶气窗
mush|n.浓粥；糊状物；感伤的话; v.使成糊状；驾驶（狗撬等）; int.走!前进！
anchor|n.锚；锚状物；依靠；新闻节目主播；压阵队员; v.抛锚；停泊；用锚系住；担任（广播电视新闻节目）的主持人
grooming|n.修饰；美容；（动物）梳理毛发
creamy|adj.含乳脂的；乳脂状的；奶油色的
miserable|adj.痛苦的；悲惨的；贫乏的；狼狈的
accomplishment|n.成就；完成
barn|n.谷仓；牲口棚；车库；大而空荡的农屋
cracker|n.薄脆饼干；发出爆裂声的东西；爆竹；裂化设备；黑客；迷人的女子；自夸的人；穷苦白人; (复)crackers：n.胡桃钳; Cracker; n.佛罗里达州和乔治亚州当地居民的别名
unique|adj.独特的；独一无二的；稀罕的
doorstep|n.门阶
motorcycles|摩托车
upraised|adj.举起的
handle|v.处理；对待；操作；触；买卖; n.把手；柄
fuel|n.燃料；刺激因素; vt.供以燃料; vi.加燃料
define|v.规定；限定；定义；解释
curse|n.诅咒；咒骂；祸端; vt.诅咒；咒骂；使受罪; vi.诅咒；咒骂
vase|n.花瓶
betray|vt.背叛；出卖；泄露；显露
handful|n.一把；少数；难控制的人；棘手之事
unaware|adj.没有发觉的；不知道的
ignite|vi.着火；燃烧; vt.点燃；使...燃烧；引发
gunpowder|n.火药
hamburgers|n.麦当劳公司的股份(证券；纽约B364证券交易市场行业用语)
formations|群系
underworld|n.黑社会；下层社会；阴间；地球
downstream|adv.朝下游方向; adj.顺流的
transition|n.转变；过渡
sharp|adj.锋利的；突然的；灵敏的；明显的；辛辣的；【音】升音阶的; adv.准时地；突然地；偏高地
unbeatable|adj.难以战胜的；竞争不过的；无敌的；无与伦比的
truly|adv.真实地；真诚地；正确地
carve|v.雕刻；切割
label|n.标记；标签；称号；唱片公司; vt.贴标签于；把...归类
charge|n.责任；电荷；指控；费用；照顾; vi.要价；充电；向前冲，冲锋；记在账上; vt.控诉；赊帐；给…充电；委以重任；归罪于；装填（炸药等）
ribbon|n.缎带；带状物；色带; vt.用丝带装饰；撕碎
wreck|v.使…失事；使…遇难；破坏; n.遇难；残骸；破坏；（船）失事下沉
spread|v.传播；展开；散布；铺开；伸展；涂撒; n.范围；传播；差额；幅度；盛宴
velvet|n.天鹅绒；意外之财; adj.天鹅绒的
wag|v.(狗)摇摆(尾巴)；(狗尾巴)摇摆；摇(头或手表示不赞成)；逃学；饶舌；离别; n.摇摆；诙谐幽默的人；逃学
admire|vt.钦佩；赞美；羡慕；欣赏
sequence|n.顺序；连续；次序；一系列; vt.按顺序排好
yen|n.日元; n.上瘾; vi.对...上瘾
vial|n.小瓶；药水瓶; v.把...放入小瓶中
unrelated|adj.不相关的；无亲属关系的
salute|v.行礼；致意；问候; n.致敬；敬礼；欢迎
banner|n.横幅；旗帜；大标题; adj.杰出的；特别好的; vt.用横幅装饰；以大标题报道
mermaid|n.美人鱼
gulf|n.海湾；鸿沟; vt.吞没
