navy|n.海军；船队；海军蓝
downhill|adv.向山下；走下坡路地; adj.下坡的；向下的
grunt|v.咕哝；（猪等）打呼噜; n.咕哝；呼噜声
underneath|adv.在下面; n.下部；底部; prep.在...下面
raw|adj.未加工的；生的；原始的；湿冷的; n.触到某人的痛处
camping|n.野营；露营
cruise|n.巡航；漫游；游艇; v.慢速行驶；乘船游览；游弋；巡游
neat|adj.整洁的；简洁的；利索的; adv.整洁地；利索地
cast|v.掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测; n.演员阵容；投掷；[医]固定用敷料
lad|n.少年；小伙子；伙伴
aggressively|adv.侵略地；攻击地；有干劲地
cowboy|n.牛仔
universal|adj.普遍的；全世界的；宇宙的；全体的；通用的; n.通用原理，普遍原则
campfire|n.营火；篝火；篝火晚会
shove|v.推挤；撞；乱塞；乱放; n.推；挤
proof|n.证明；证据；校样; adj.防...的；耐...的; vt.检验；给...做防护措施
daddy|n.爸爸
reel|v.卷；绕; v.眩晕；旋转；蹒跚; n.卷筒；线轴
cargo|n.货物；船货
loyalty|n.忠诚；忠心；忠贞
seasonal|adj.季节的；依照季节的；周期性的
fame|n.名声；名望; vt.使出名
spectacular|adj.壮观的；令人惊叹的; n.壮观；豪华节目
millennium|n.一千年；太平盛世
lane|n.小路；小巷；行车道；跑道；航道
puck|n.冰球；橡胶圆盘；小淘气
whiz|n.飕飕声；飕飕掠过；专家；奇才；能手; v.（使）飕飕作响; =whizz
sneeze|n.喷嚏; vi.打喷嚏
jury|n.陪审团；评委会; adj.临时用的; vt.挑选
warriors|武士
originally|adv.原本；起初；独创地
peasants|农民
daytime|n.白天；日间
slay|vt.杀害；残杀；使大笑
cattle|n.牛；家畜；畜牲
tile|n.瓷砖；瓦片; v.盖瓦；铺瓷砖
haul|v.拖；拉；拖运; v.（使船）改变方向; n.拖；拉；搬运
karate|n.空手道(日本的一种徒手武术)
settlers|移民
fort|n.堡垒；要塞
opener|n.开启工具；开端；揭幕赛；(板球的)首位击球员
barrel|n.桶；枪管；一桶的量；炮管；大量；笔管；汽油桶; vi.快速移动; vt.把...装桶
snowball|n.雪球；打雪仗；滚雪球式的募捐法; v.向...丢雪球；使生长或快速的增长
wrist|n.手腕；腕部
stab|v.刺；戳；刺伤; n.刺；戳；刺痛；尝试
constantly|adv.不断地；经常地
stepmother|n.继母；后母
saint|n.圣人；圣徒; vt.把...封为圣人
sideways|adv.向旁边；斜着地；向侧面地; adj.旁边的；斜着；向侧面的
cranky|adj.怪癖的；不稳的
trophy|n.奖品；战利品; adj.显示身份的；有威望的
happiness|n.幸福；快乐；适当
caution|n.警告；慎重；戒备；吸引人眼球的人或物; vt.警告；劝告
supernatural|adj.超自然的；神奇的
practicing|adj.开业的；在工作的
excitement|n.激动；兴奋
cone|n.圆锥体；锥形物；球果; vt.变成锥形
cartoon|n.卡通；漫画；草图; vt.为...画漫画
unkind|adj.不和善的；无情的；不厚道的
speck|n.斑点；灰尘；污点；少量; v.用斑点标记
bold|adj.大胆的；陡峭的；醒目的；粗体的；无礼的
overdue|adj.过期的；未兑的；迟到的
coastal|adj.沿海的；海岸的；沿岸的
nail|n.钉子；指甲；爪; vt.钉；抓住；使固定
angrily|adv.气愤地
allergic|adj.过敏的；反感的
stove|n.炉子；窑；【主英】温室
forming|n.形成(成形法；模锻); v.形成
interviewer|n.采访者；接见者；（面试时的）主考官
carton|n.纸板箱；硬纸盒; vt.把...装入纸板箱; vi.制作纸盒
inclined|adj.倾向于...的
unequal|adj.不相等的；不平等的；不胜任的
sculpture|n.雕塑；雕刻; v.雕刻；雕塑；刻蚀；当雕刻师
replay|n.重赛；重演；重播; v.重新比赛；重放
ragged|adj.衣衫褴褛的；粗糙的；刺耳的；（外形）不规则的；不完美的
celebrity|n.名人；名誉；社会名流
gorilla|n.大猩猩；残暴的人
removal|n.移动；搬迁；除去；开除
haircuts|(纸面)微裂痕,毛痕,粘丝,贴丝
insult|n.侮辱；辱骂；冒犯; vt.侮辱；辱骂；凌辱
edible|adj.可食用的; n.食品；食物
palm|n.手掌；棕榈; vt.把...藏于掌中；诓骗某人
recruit|v.吸收(新成员)；征兵；招聘; n.新成员；新兵
vent|n.排气口；火山口；发泄；表达; v.发泄；表达；排放
fluff|n.软毛；绒毛；无价值物；失误; v.（使）变柔软；搞糟；忘词
patriotic|adj.爱国的
cannon|n.大炮；机关炮; v.开炮；相撞
greatly|adv.很；非常；大大地
hay|n.干草；一小笔钱；床
moisture|n.水分；潮气；湿度
penalty|n.处罚；惩罚；不利；罚球
slam|v.砰地关上；猛放；猛烈攻击; n.砰然声；猛烈抨击; n.满贯
ghost|n.幽灵；鬼魂; n.[计]美国赛门铁克公司旗下的硬盘备份还原工具
plentiful|adj.丰富的；多的；充裕的
tighten|vt.使紧；勒紧；固定; vi.变紧
shallow|adj.浅的；薄的; n.浅滩；浅处; v.变浅
convention|n.大会；协定；惯例；公约
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
impatience|n.不耐烦；急迫
critter|n.生物；家畜；人
