snowball|n.雪球；打雪仗；滚雪球式的募捐法; v.向...丢雪球；使生长或快速的增长
bow|n.弓；鞠躬礼；蝴蝶结；船头; v.鞠躬；致敬；压弯
cattle|n.牛；家畜；畜牲
December|n.十二月
stepmother|n.继母；后母
|
jug|n.水壶；罐；监牢; vt.罐焖；把……关进监狱
seldom|adv.很少；难得
convention|n.大会；协定；惯例；公约
course|n.课程；讲座；过程；路线；一道(菜); v.跑过，穿过；追赶；快跑
instance|n.例子；场合；情况；要求；诉讼程序; vt.举例说明
roar|v.吼叫；咆哮; n.吼声；咆哮；轰鸣；喧闹
actresses|女性优伶
conjunction|n.结合；关联；连词；(事件等的)同时发生
freak|n.怪人；狂热爱好者；怪事；反复无常; adj.奇异的；不正常的; vt.使强烈反应(震惊；畏惧); vi.在药物影响下变得异乎寻常
furry|adj.毛皮的；盖着毛皮的；似毛皮的；有舌苔的；沙哑的
sign|n.手势；招牌；符号；迹象；正负号; v.签；签名；做手势；做标记
Paris|n.巴黎；重楼（百合科植物）；帕里斯（姓氏）
truthful|adj.诚实的；真实的
armor|n.盔甲；装甲
July|n.七月
pound|n.磅；英镑; n.（汽车）扣押所；宠物收留所; vt.捣碎；敲打；连续猛击; vi.咚咚地走；怦怦地响
needle|n.针; vt.用针缝；激怒；嘲弄; vi.缝纫
illness|n.病；疾病
saint|n.圣人；圣徒; vt.把...封为圣人
satisfy|v.使满意；满足；使信服；清偿
chopsticks|n.筷子（名词chopstick的复数形式）
raggedy|adj.有些破的；有些参差不齐的；有些刺耳的
beyond|prep.超出；远于；除...之外；超出…之外; adv.在更远处；另外; n.远处；来世
slay|vt.杀害；残杀；使大笑
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
current|n.趋势；(水、气、电)流; adj.现在的；流通的
lever|n.杠杆；控制杆；手段; v.撬开；使用杠杆
progressive|adj.先进的；前进的；渐进的；革新的(音乐上的）; n.进步分子；革新主义者
rifle|n.步枪; v.洗劫；抢劫
abroad|adv.到国外；广为流传; adj.在国外；海外(一般作表语)
radical|adj.激进的；彻底的；基本的; n.激进分子
June|n.六月; n.琼(女子名)
parasite|n.寄生虫；寄生生物；食客
fluff|n.软毛；绒毛；无价值物；失误; v.（使）变柔软；搞糟；忘词
celebrity|n.名人；名誉；社会名流
stream|n.(小)河；水流；(人；车；气)流；组; v.流动；流出；飘动；将(学生)按能力分组
thankful|adj.感谢的；感激的
recent|adj.近来的；新近的
elementary|adj.基本的；初级的；元素的
barrel|n.桶；枪管；一桶的量；炮管；大量；笔管；汽油桶; vi.快速移动; vt.把...装桶
counter|n.柜台；筹码；计数器；反驳; adj.相反的; adv.与…相反地; v.反对；反击
honeycomb|n.蜂窝；蜂窝状物; v.使布满小孔；成蜂窝状
warriors|武士
Brazil|n.巴西
darn|v.织补; n.补钉; int.该死（damn的委婉语）
luggage|n.行李
grassy|adj.长满草的；草绿色的；像草的
theater|n.剧场；电影院；戏院; adj.战区的
cigarettes|卷烟
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
markers|标记
opportunity|n.机会；时机
march|n.行军；行进；游行示威；稳步前进；进行曲; v.行进；前进；进发；使同行；游行示威; March; n.三月
thought|n.思想；想法；意向；思念；观念；打算；关心；顾虑; v.想，思考，考虑（动词think的过去式和过去分词）
chimney|n.烟囱
bush|n.灌木丛；矮树; v.丛生；(以灌木)标记、保护、支撑; Bush.; n.布什(姓氏)
coefficient|n.系数
relationship|n.关系；联系；亲属关系
predator|n.食肉动物；掠夺者；（动物的）捕食性天敌
rapid|adj.短时间发生的；急速的；迅速的；快的；险峻的; n.急流；湍滩
whiz|n.飕飕声；飕飕掠过；专家；奇才；能手; v.（使）飕飕作响; =whizz
uncles|n.叔伯
recite|vt.背诵；朗诵；叙述；列举; vi.背诵；回答问题
proof|n.证明；证据；校样; adj.防...的；耐...的; vt.检验；给...做防护措施
propeller|n.螺旋桨；推进器; =propellor.
slim|adj.苗条的；微小的；细长的; v.减肥；缩减
nearest|adj.最近的
bowler|n.玩滚球的人；投球手；圆礼帽
copper|n.铜；铜币；警察；紫铜色；有紫铜色翅膀的小蝴蝶; vt.镀铜
occur|vi.发生；存在；出现；想到
van|n.箱形客货两用车；(铁路的)有盖货车；[军]先锋；先导；翼; v.(用货车)运
sushi|n.寿司(一种日本食品)
corpse|n.尸体
major|adj.较多的；主要的；严重的；(音乐)大调的; n.成年人；主修（科目）；陆军少校；举足轻重者; v.主修
jury|n.陪审团；评委会; adj.临时用的; vt.挑选
may|aux.可以，能够；可能，也许；祝，愿；会，能; n.[大写]五月
fleece|n.羊毛；一次剪得的羊毛；羊毛状物; v.欺诈
confirm|v.证实；批准；确定
cannon|n.大炮；机关炮; v.开炮；相撞
fort|n.堡垒；要塞
court|n.法院；庭院；宫廷；球场；奉承; v.献殷勤；追求；招致；设法获得
mattress|n.床垫
entertainment|n.娱乐
telescope|n.望远镜; v.缩短；压缩；套叠
glasses|n.眼镜；双筒镜; 名词glass的复数形式.
caution|n.警告；慎重；戒备；吸引人眼球的人或物; vt.警告；劝告
spirit|n.精神；心灵；幽灵；精灵; (复)spirits：精力；情绪；烈酒.; v.使精神振作；偷偷带走
meantime|adv.与此同时; n.同时；其间
sooner|n.抢先占地的人; adv.比预期早; Sooner.; 美国俄克拉荷马州的别名.
November|n.十一月
orphan|n.孤儿; adj.孤儿的; vt.成孤儿
superior|n.上级；高手；上标; adj.高傲的；上层的；上好的；出众的
nighttime|n.夜间; adj.夜间的
misleading|adj.令人误解的；引入歧途的; 动词mislead的现在分词.
