hay|n.干草；一小笔钱；床
campfire|n.营火；篝火；篝火晚会
plentiful|adj.丰富的；多的；充裕的
cone|n.圆锥体；锥形物；球果; vt.变成锥形
December|n.十二月
|
allergic|adj.过敏的；反感的
kennel|n.狗舍；养狗场；排水道; v.置于狗舍；宿于狗舍
sideways|adv.向旁边；斜着地；向侧面地; adj.旁边的；斜着；向侧面的
cast|v.掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测; n.演员阵容；投掷；[医]固定用敷料
millennium|n.一千年；太平盛世
conjunction|n.结合；关联；连词；(事件等的)同时发生
bold|adj.大胆的；陡峭的；醒目的；粗体的；无礼的
wrist|n.手腕；腕部
sneeze|n.喷嚏; vi.打喷嚏
July|n.七月
removal|n.移动；搬迁；除去；开除
ghost|n.幽灵；鬼魂; n.[计]美国赛门铁克公司旗下的硬盘备份还原工具
cruise|n.巡航；漫游；游艇; v.慢速行驶；乘船游览；游弋；巡游
pound|n.磅；英镑; n.（汽车）扣押所；宠物收留所; vt.捣碎；敲打；连续猛击; vi.咚咚地走；怦怦地响
foreigner|n.外国人；外人
tighten|vt.使紧；勒紧；固定; vi.变紧
visitor|n.参观者；访问者；访客
embassy|n.大使馆；大使全体人员
whimper|n.呜咽；啜泣；怨声; v.呜咽；啜泣；抽噎地哭；抱怨
nail|n.钉子；指甲；爪; vt.钉；抓住；使固定
cartoon|n.卡通；漫画；草图; vt.为...画漫画
beyond|prep.超出；远于；除...之外；超出…之外; adv.在更远处；另外; n.远处；来世
originally|adv.原本；起初；独创地
shove|v.推挤；撞；乱塞；乱放; n.推；挤
grunt|v.咕哝；（猪等）打呼噜; n.咕哝；呼噜声
ragged|adj.衣衫褴褛的；粗糙的；刺耳的；（外形）不规则的；不完美的
puck|n.冰球；橡胶圆盘；小淘气
practicing|adj.开业的；在工作的
slam|v.砰地关上；猛放；猛烈攻击; n.砰然声；猛烈抨击; n.满贯
inclined|adj.倾向于...的
camping|n.野营；露营
trophy|n.奖品；战利品; adj.显示身份的；有威望的
spectacular|adj.壮观的；令人惊叹的; n.壮观；豪华节目
impatience|n.不耐烦；急迫
June|n.六月; n.琼(女子名)
lane|n.小路；小巷；行车道；跑道；航道
stab|v.刺；戳；刺伤; n.刺；戳；刺痛；尝试
neat|adj.整洁的；简洁的；利索的; adv.整洁地；利索地
unkind|adj.不和善的；无情的；不厚道的
downhill|adv.向山下；走下坡路地; adj.下坡的；向下的
stream|n.(小)河；水流；(人；车；气)流；组; v.流动；流出；飘动；将(学生)按能力分组
archery|n.箭术
constantly|adv.不断地；经常地
angrily|adv.气愤地
elementary|adj.基本的；初级的；元素的
butcher|n.屠夫；刽子手；肉商；小贩; vt.屠宰；滥杀；将某事弄得一团糟
daddy|n.爸爸
forming|n.形成(成形法；模锻); v.形成
karate|n.空手道(日本的一种徒手武术)
Brazil|n.巴西
haul|v.拖；拉；拖运; v.（使船）改变方向; n.拖；拉；搬运
universal|adj.普遍的；全世界的；宇宙的；全体的；通用的; n.通用原理，普遍原则
sociable|adj.好交际的；社交的
farewell|int.再会；别了; n.告别; adj.告别的
enormous|adj.巨大的；庞大的
coastal|adj.沿海的；海岸的；沿岸的
patriotic|adj.爱国的
aggressively|adv.侵略地；攻击地；有干劲地
tile|n.瓷砖；瓦片; v.盖瓦；铺瓷砖
opportunity|n.机会；时机
gorilla|n.大猩猩；残暴的人
peasants|农民
reel|v.卷；绕; v.眩晕；旋转；蹒跚; n.卷筒；线轴
underneath|adv.在下面; n.下部；底部; prep.在...下面
cowboy|n.牛仔
tracer|n.追踪者(器)；示踪物；曳光弹；[化]示踪剂
penalty|n.处罚；惩罚；不利；罚球
supernatural|adj.超自然的；神奇的
sculpture|n.雕塑；雕刻; v.雕刻；雕塑；刻蚀；当雕刻师
rapid|adj.短时间发生的；急速的；迅速的；快的；险峻的; n.急流；湍滩
vent|n.排气口；火山口；发泄；表达; v.发泄；表达；排放
greatly|adv.很；非常；大大地
accustomed|adj.习惯了的；通常的
haircuts|(纸面)微裂痕,毛痕,粘丝,贴丝
speck|n.斑点；灰尘；污点；少量; v.用斑点标记
raw|adj.未加工的；生的；原始的；湿冷的; n.触到某人的痛处
frightful|adj.可怕的；吓人的
carton|n.纸板箱；硬纸盒; vt.把...装入纸板箱; vi.制作纸盒
cargo|n.货物；船货
stove|n.炉子；窑；【主英】温室
sushi|n.寿司(一种日本食品)
major|adj.较多的；主要的；严重的；(音乐)大调的; n.成年人；主修（科目）；陆军少校；举足轻重者; v.主修
cranky|adj.怪癖的；不稳的
may|aux.可以，能够；可能，也许；祝，愿；会，能; n.[大写]五月
loyalty|n.忠诚；忠心；忠贞
acquire|vt.获得；学到；取得
settlers|移民
entertainment|n.娱乐
happiness|n.幸福；快乐；适当
glasses|n.眼镜；双筒镜; 名词glass的复数形式.
spirit|n.精神；心灵；幽灵；精灵; (复)spirits：精力；情绪；烈酒.; v.使精神振作；偷偷带走
blurt|vt.冲口说出；突然说出
recruit|v.吸收(新成员)；征兵；招聘; n.新成员；新兵
November|n.十一月
