journey|n.旅程；旅行；行程; v.旅行
confine|vt.限制；禁闭; n.范围；界限；约束；限制
receiver|n.听筒；接收器；收款员；接受者；破产管理官
unload|vt.卸下；卸货；摆脱...之负担；(大量)倾销；退出（弹药；胶片等）; vi.卸下货物；摆脱负担
symptom|n.症状；征兆
crawfish|n.小龙虾
bent|bend的过去式和过去分词.; adj.下定决心的；弯曲的; n.嗜好
hairless|adj.无毛的
lead|v.引导；领先；带领；过...(的生活)；导致; n.领头位置；主角；榜样；引言；铅
rare|adj.罕见的；珍贵的；煎得嫩的
lunchroom|n.速简餐厅
chest|n.胸部；胸腔；箱子；金库
bulldozer|n.推土机；欺凌者
terrify|v.使害怕；使恐怖；威胁
disturb|v.扰乱；妨碍；使...不安；打破...的平静；打乱...的治安
statement|n.陈述；声明；【计】语句
ostrich|n.驼鸟；驼鸟般的人
stockings|n.长袜
effect|n.效应；结果；影响；印象；效果；要旨; v.使产生；引起
attempt|v.企图；尝试; n.企图；试图
beggar|n.乞丐；穷人；【英】家伙; vt.使贫穷；使不足；使不能
doghouse|n.狗舍
blog|n.博客；网络随笔；日志
companion|n.同伴；志趣相投的人；成对物品之一；参考书; v.陪伴
jumbo|n.喷气式飞机; adj.特大的
rat|n.变节者；鼠；卑鄙的人; v.捕鼠；背叛；偷窃
whimper|n.呜咽；啜泣；怨声; v.呜咽；啜泣；抽噎地哭；抱怨
analysis|n.分析；解析
prance|v.腾跃；欢跃；昂首阔步; n.(马)后足立地腾跃；昂首阔步
sympathetically|adv.同情地；表示好感地
chairman|n.主席；会长；董事长; v.担任...的主席(议长)
culture|n.栽培；文化；教养; vt.培养，栽培
extraordinary|adj.非凡的；特别的；特派的
clicker|n.发咔哒声者（如电脑鼠标或遥控器等）；鞋匠工头；排字工头；站店外招徕顾客者
perform|v.执行；履行；表演；运转；举行
display|n.显示；陈列；炫耀; vt.显示；表现；夸示
pipe|n.管子；烟斗；管乐器; vt.以管输送；装管道；吹奏；尖声说；(为衣服等)滚边; vi.吹奏管乐；尖叫
judo|n.柔道
porcupine|n.豪猪；箭猪
pork|n.猪肉
unimaginative|adj.（艺术品）缺乏想象力的；无趣的
habit|n.习惯；习性
guarantee|n.保证；保证书；担保；担保人；抵押品; vt.保证；担保
lanterns|灯具
force|n.武力；暴力；力量；影响力；力量大的人或（事物）；权力；（为某目的组织起来的）一群人；军队；部队；武装力量；警察部门；力；风力; v.迫使；强迫；强制；使发生；强装（欢笑）；人工催长
occasion|n.场合；时机；理由；机会；盛大场面; vt.引起；致使
perhaps|adv.也许；可能
border|n.边界；边境；边缘; vt.与...接壤；加边于; vi.近似；毗邻
lunchtime|n.午餐时间
archery|n.箭术
critics|评论家们
excursion|n.远足；短途旅行；【物】偏移，漂移，偏离；偏差，偏振
sturgeon|n.鲟鱼
nobleman|n.贵族
pastry|n.面粉糕饼；馅饼皮
refrigerator|n.冰箱
courtyard|n.庭院；院子
apologize|vi.道歉；赔罪
sociable|adj.好交际的；社交的
method|n.方法；条理; n.类函数；类成员函数（计算机）
microwave|n.微波；微波炉; vt.用微波炉加热
farewell|int.再会；别了; n.告别; adj.告别的
consistent|adj.始终如一的；持续的；一致的
practical|adj.明智的；实际的；实用的；事实上的; n.实践考试
secure|adj.安全的；牢靠的；稳妥的; vt.使安全；获得；固定
gust|n.突然一阵; n.风味; vi.猛吹
vehicle|n.车辆；交通工具；传播媒介；手段；工具
porridge|n.粥；麦片粥
employer|n.雇主
hostess|n.女主人；空姐；女主持
latch|n.门闩；碰锁；弹簧锁; v.上闩；缠着；明白
academic|adj.学院的；学术的；理论的; n.大学教师，大学生；学者，学究
away|adv.离开；远离；在远处；一直；朝另一个方向；消失; adj.不在的；遥远的；[棒]出局的；客场的
tale|n.故事；叙述；传说; v.谈论，讲述，搬弄是非；
restored|adj.恢复的
accustomed|adj.习惯了的；通常的
ham|n.火腿；（动物）后腿; v.表演过火；演技夸张
process|n.工序；过程; v.加工；处理；起诉；列队前进
envelope|n.信封；壳层；封袋
shell|n.壳；炮弹；[计]外壳程序; v.脱落；去壳；拾贝壳；炮轰
singular|adj.单数的；奇特的；非凡的; n.单数
ventilation|n.通风；通风设备；充气；公开讨论
madam|n.夫人；女士；太太
quilt|n.被状物；被子; v.缝被；缝制；用垫料填塞
identify|vt.鉴定；识别，辨认出，认出；认明；把…看成一样; vi.认同；感同身受
concern|n.关心；关心的事；忧虑，担心; vt.涉及；影响；关心；（使）担心; n.公司；企业
airfield|n.飞机场
gymnast|n.体操运动员
diver|n.跳水者；潜水员
woolen|n.毛制品; adj.羊毛的；羊毛制的；毛织的
creative|adj.创造的，创造性的；创作的；产生的，引起…的（后接of）
weak|adj.弱的；虚弱的；无力的；差的；淡薄的
liberty|n.自由；自由权；冒失
exhibition|n.展览；展示
critically|adv.批评性地；爱挑剔地；重要地；危急地
acquire|vt.获得；学到；取得
enabled|adj.可激活的；已启用的
condition|n.条件；情况; v.训练；决定；以...为条件；护理（头发）
burst|n.爆发；破裂；阵; v.爆裂；迸发；冲；闯
sagebrush|n.山艾(美国西北荒漠产的一种灰绿色灌木)
