confine|vt.限制；禁闭; n.范围；界限；约束；限制
feather|n.羽毛；翎毛；种类; vt.用羽毛装饰; vi.长出羽毛
receiver|n.听筒；接收器；收款员；接受者；破产管理官
unload|vt.卸下；卸货；摆脱...之负担；(大量)倾销；退出（弹药；胶片等）; vi.卸下货物；摆脱负担
crawfish|n.小龙虾
bye|int.再见
realistic|adj.现实的；现实主义的
hairless|adj.无毛的
explosive|adj.爆炸(性)的；引发争论的；大声的; n.炸药
lunchroom|n.速简餐厅
bulldozer|n.推土机；欺凌者
terrify|v.使害怕；使恐怖；威胁
hurriedly|adv.匆忙地
seller|n.卖方；售货者；畅销品
ostrich|n.驼鸟；驼鸟般的人
boredom|n.无聊；厌烦；厌倦；令人厌烦的事物
stockings|n.长袜
whoosh|v.飞快地移动; n.嗖的一声；冲出(表示飞快的移动)
ink|n.墨水；墨汁
beggar|n.乞丐；穷人；【英】家伙; vt.使贫穷；使不足；使不能
sort|n.种类；某一种人; v.整理；分类；处理；安排妥当
doghouse|n.狗舍
blog|n.博客；网络随笔；日志
talented|adj.有才能的；有天赋的
jumbo|n.喷气式飞机; adj.特大的
rope|n.绳索；一串；绞刑; v.捆绑；说服（口）
whimper|n.呜咽；啜泣；怨声; v.呜咽；啜泣；抽噎地哭；抱怨
glare|n.闪耀光；刺眼; v.发眩光；瞪视
prance|v.腾跃；欢跃；昂首阔步; n.(马)后足立地腾跃；昂首阔步
sympathetically|adv.同情地；表示好感地
motion|n.移动；动作；打手势；示意；提议；大便; v.示意；运动；向...打手势
monsoon|n.季风；雨季
engaged|adj.忙碌的；使用中的；订婚了的
clicker|n.发咔哒声者（如电脑鼠标或遥控器等）；鞋匠工头；排字工头；站店外招徕顾客者
pipe|n.管子；烟斗；管乐器; vt.以管输送；装管道；吹奏；尖声说；(为衣服等)滚边; vi.吹奏管乐；尖叫
lesion|n.损害；损伤；障碍
judo|n.柔道
fend|v.照料；挡开；[英口]供养
porcupine|n.豪猪；箭猪
unimaginative|adj.（艺术品）缺乏想象力的；无趣的
general|adj.普遍的；全面的；一般性的；大致的；笼统的；常规的；总的；首席的; n.将军；一般
parade|n.游行；检阅；游行地; vi.参加游行；阅兵；散步；炫耀; vt.夸耀；使参加游行；检阅；绕行
habit|n.习惯；习性
pirate|n.海盗；盗版者; v.盗版；抢劫；剽窃
lanterns|灯具
sprouted|adj.萌芽的；发了芽的
occasion|n.场合；时机；理由；机会；盛大场面; vt.引起；致使
border|n.边界；边境；边缘; vt.与...接壤；加边于; vi.近似；毗邻
lunchtime|n.午餐时间
archery|n.箭术
rig|n.装备；帆具；服装；钻井架；钻塔; v.装配；装扮；临时赶造；操纵
critics|评论家们
church|n.礼拜仪式；教堂；基督教徒; adj.教堂的; v.把...带到教堂接受某种宗教仪式
excursion|n.远足；短途旅行；【物】偏移，漂移，偏离；偏差，偏振
sturgeon|n.鲟鱼
nobleman|n.贵族
pastry|n.面粉糕饼；馅饼皮
dugout|n.防空洞；独木舟；[棒、足]球员休息处；替补席
eruption|n.爆发；喷发；出疹；长牙
courtyard|n.庭院；院子
bacon|n.培根；咸肉；熏肉
sociable|adj.好交际的；社交的
prize|n.奖品；奖金；奖赏; vt.珍视；估价; adj.奖品的；得奖的；一流的
stick|n.手杖；枝；杆; vt.刺入；插于；竖起; vi.钉住；坚持，遵守；粘贴；生效，起作用
gate|n.大门；登机门；出入口；门票收入；道路；方式; v.惩罚(禁止学生离校)；解雇; suf.常表示政治丑闻
farewell|int.再会；别了; n.告别; adj.告别的
chase|vt.追捕；追求；镂刻，雕刻；试图赢得; vi.奔跑；追赶; n.追捕；争取；狩猎
fever|n.狂热；发烧；发热; v.（使）发烧；（使）狂热
master|n.主人；硕士；专家; vt.控制；精通; adj.主要的；主人的；精通的
oceans|n.大洋
gust|n.突然一阵; n.风味; vi.猛吹
considerably|adv.非常地；相当地；颇
forlorn|adj.孤独的；凄凉的；渺茫的
nectar|n.花蜜；甜美的饮料；众神饮用的酒
employer|n.雇主
hostess|n.女主人；空姐；女主持
latch|n.门闩；碰锁；弹簧锁; v.上闩；缠着；明白
helper|n.助手；帮手
department|n.部门；系；科；处；局; n.知识范围
governor|n.统治者；管理者；理事；州长；总督；调节器
restored|adj.恢复的
accustomed|adj.习惯了的；通常的
ventilation|n.通风；通风设备；充气；公开讨论
quilt|n.被状物；被子; v.缝被；缝制；用垫料填塞
airfield|n.飞机场
twin|adj.孪生的；紧密联系的; n.双胞胎之一
gymnast|n.体操运动员
spooky|adj.幽灵一般的；有鬼一样的；令人毛骨悚然的
ajar|adj.微开的；半开的; adv.微开地；半开地
diver|n.跳水者；潜水员
woolen|n.毛制品; adj.羊毛的；羊毛制的；毛织的
myths|神话
liberty|n.自由；自由权；冒失
critically|adv.批评性地；爱挑剔地；重要地；危急地
acquire|vt.获得；学到；取得
enabled|adj.可激活的；已启用的
schoolyard|n.校园；运动场
permission|n.许可；允许；同意
infant|n.婴儿；幼儿; adj.婴儿的；初期的；幼稚的
sagebrush|n.山艾(美国西北荒漠产的一种灰绿色灌木)
