boomerang|n.自食其果的行为；回飞镖; v.自食其果
coast|n.海岸；海滨
snuggle|v.依偎；挨近
unlucky|adj.倒霉的；不幸的；不吉利的
prohibit|vt.禁止；妨碍
distinguish|vt.区别；辨认；使显著
glimpse|n.一瞥；一闪；略微；隐约感觉; v.瞥见
matador|n.斗牛士
suppose|vt.假设；假定；认为；想；应该；让(虚拟语气); vi.推测
delight|n.高兴；快乐; v.(使)高兴；(使)欣喜
tulips|郁金香
swallow|n.燕子；吞咽；一次吞咽的量; v.忍受；吞下；咽下；轻信；不流露感情；收回
businessman|n.商人
vibration|n.震动；颤动
dust|n.灰尘；尘土；粉尘; vt.去掉...的灰尘；撒粉末于; vi.除尘
splendid|adj.极好的；辉煌的；壮观的；杰出的
artiste|n.艺人；表演艺术家
harvest|n.收成；收获；收割；成果；后果; v.收获；收割
wheeze|v.喘息；呼哧呼哧地响; n.喘息声
worthless|adj.无价值的；无用的；可鄙的
participate|vi.参加；参与; vt.分享
narrow|adj.有限的；狭窄的；精密的；度量小的; n.海峡；隘路；狭窄部份; v.变窄
reputation|n.好名声；声誉，名声，名气
invasion|n.侵略；侵入
intend|vt.想要；打算；意指
officially|adv.官方地；正式地；公务上；职务上
actress|n.女演员
painter|n.画家；油漆匠
sympathetic|adj.同情的；共鸣的；赞同的; n.交感神经
accidentally|adv.偶然地；意外地；附带地
holder|n.持有者；支持物
tyre|n.轮胎; =tire（美）.; Tyre：提尔(古代腓尼基的有名港口；现属黎巴嫩).
fireman|n.消防队员；司炉工
playgrounds|游戏场地
bulletin|n.公报；期刊；新闻快报；公示; vt.发表；用公告通知
truant|n.懒惰鬼；旷课者; adj.偷懒的；旷课的；游荡的; v.偷懒；旷课
sender|n.寄件人；发报机；送话器
handball|n.手球；墙手球运动
demand|n.要求；需求; v.要求；查问；需要
immense|adj.巨大的；广大的；非常好的
caller|n.打电话的人；来访者；呼叫者
gratitude|n.感激；感谢；感恩
postcard|n.明信片; adj.如画的
enthusiast|n.热心人；热衷者
damage|n.损害；损失；毁坏; vt.损害；毁坏
ratty|adj.糟糕的；破烂的；卑鄙的；像老鼠的；鼠多的; adj.恼怒的
burners|炉
amusement|n.乐趣，娱乐；消遣
envy|v.羡慕；妒忌; n.羡慕；(妒忌的)对象
remote|adj.遥远的；偏僻的；远程的；(感情等)距离很大; n.远程操作
turnaround|n.周转时间；好转；转身；回车场；（轮船、飞机的）终点装卸时间
sculptor|n.雕刻家
czar|n.沙皇；独揽大权者
tiptoe|n.脚尖; v.用脚尖走; adv.用脚尖
peculiar|adj.奇怪的；特殊的；独特的；古怪的; n.特权
withdraw|vt.撤回；取回；撤退；提款; vi.撤退；退缩；走开
recommend|vt.推荐；建议；劝告；使受欢迎；使可取
horsepower|n.马力(功率单位)
cure|n.治疗；治愈；疗法；对策; v.治愈；治疗；纠正
afternoons|adv.每天下午
rival|n.竞争者；对手；同伴; adj.竞争的; v.竞争；与...相匹敌
tiny|adj.极小的；微小的
satisfaction|n.满意；赔偿；乐事；妥善处理；确信
reluctant|adj.不情愿的；勉强的
undisturbed|adj.未受干扰的；安静的；镇定的
cod|n.鳕鱼; v.哄骗；愚弄
bomber|n.轰炸机；投弹手
passive|adj.被动的；消极的; n.被动性
survivor|n.幸存者
examiner|n.主考者；审查员
limelight|n.众人注目的中心；聚光灯；以灰光灯照射的舞台; v.使受到注目
grasshopper|n.蚱蜢；蝗虫；轻型飞机；蚱蜢鸡尾酒
graze|v.放牧；（牛、羊等）吃草; v.轻擦；擦伤; n.放牧; n.擦伤
glance|v.扫视；匆匆一看；一瞥；反光；闪烁；掠过; n.一瞥；扫视
bedside|adj.床边的；病床边的; n.床边
fanatical|adj.狂热的；入迷的
successfully|adv.成功地，圆满地
anchorman|n.新闻节目主播；接力赛中的最后一棒
precious|adj.宝贵的；珍贵的；矫揉造作的; adv.极其; n.宝贝，心爱的人
crashing|adj.绝对的；彻底的；非凡的
snowstorm|n.暴风雪；雪暴
speedboat|n.快艇
tricycle|n.三轮车
polecat|n.臭猫；臭鼬类动物
concert|n.音乐会；一致；和谐; vt.协定；协同安排; vi.合作
liftoff|n.（火箭等）发射；起飞
woollen|n.毛织品; adj.羊毛制的
crime|n.犯罪；恶行
majority|n.大多数；多数；多数党；多数派
occasionally|adv.偶尔地
welsh|v.不付赌金而溜掉；逃避责任; Welsh:; n.威尔士人; adj.威尔士人的；威尔士语的
thick|adj.厚的；浓密的；粗的；愚笨的
mournful|adj.悲恸的；悲哀的；令人惋惜的
mental|adj.思想的；心理的；精神的；脑力的; n.精神病患者
ex|prep.【商】在...交货，在…前免费；从，自，根据；【经】不，无，不包括; n.已离婚的丈夫（或妻子），过去的情人；字母X；X形物; adj.以前的，旧时的
conscience|n.良心；是非之心；顾忌
oldies|n.老人
grandson|n.孙子；外孙
erect|vt.使竖立；建立；建造; adj.直立的；竖立的；笔直的
entitle|vt.取名为；使有权利
