goodwill|n.善意；亲切；友好；商誉；信誉
bestow|v.授予；给予；使用；放置
aviator|n.飞行员
squeaky|adj.吱吱响的；发轧声的；短促尖声的
adrift|adv.漂流地；漫无目的地; adj.漂泊的；漫无目的的；松开的
await|v.等候；期待；将降临于
bloodstained|adj.染着血的；犯杀人罪的
afterlife|n.来世；后来的岁月
amazement|n.惊愕；惊异
brigade|n.旅；队；组; vt.组队；编组
builder|n.建设者；建筑工人；促进剂；增洁剂
willow|n.柳树；柳木制品
swoop|v.抓取；猛扑；突然袭击; n.俯冲；攫取；突然袭击
devil|n.魔鬼；淘气鬼；坏人；家伙；棘手的事; vt.困扰；添加辣味调料；给...做助手
rhythmic|adj.有节奏的；有韵律的
legendary|adj.传说的；传奇的；著名的
warmly|adv.亲切地；温暖地；热烈地
badminton|n.羽毛球
announcer|n.广播员；告知者
moan|n.呻吟声；抱怨声; vt.抱怨；呻吟; vi.呻吟；抱怨
binding|n.镶边；（书籍的）封皮；（滑雪板的）皮靴固定装置; adj.必须遵守的；有法律约束力的
dining|n.就餐
cannonball|n.炮弹；抱膝跳水；高速列车；炮弹式发球; v.以极快速度移动；抱膝跳水
badger|n.獾；獾皮(毛); Badger:獾州人(对威斯康星州人的昵称).; v.纠缠；一再烦扰；吵着要
aw|int.表示抗议、怀疑、厌恶等的感叹语
mortality|n.死亡率；死亡数目；必死性
beloved|adj.心爱的; n.爱人
ahoy|int.喂（用来呼叫船或人）
ankle|n.踝；踝关节
armful|n.一抱之量
weary|adj.疲倦的；厌烦的; v.疲倦；厌烦；生厌
bleat|n.羊的鸣声；哀鸣; v.发出羊叫声；哀鸣；哭诉
bundle|n.捆；束；包；大笔钱; v.捆；把...扎成一捆；匆忙地走
foresee|v.预见；预知
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
holler|v.叫喊；发牢骚; n.叫喊；怨言
avenge|vt.为...报复；报仇
immortal|adj.不朽的；永世的; n.不朽的人物；神
burial|n.埋葬；葬礼；坟墓
arc|n.弧；弧形物; vi.形成电弧；按弧形轨迹行进
aphrodite|n.北美豹蝶; Aphrodite.; n.阿佛洛狄忒（爱与美之女神）
hurl|v.用力投掷；愤慨地说出；丢下
scram|n.急停；急离；紧急刹车; v.快走开
beautifully|adv.美丽地；完美地；出色地；很好
blacksmithing|n.锻造，手工锻造
cattle|n.牛；家畜；畜牲
behold|vt.看到；注视；领悟; vi.看；看啊(多用于祈使句；引起人的注意)
eternity|n.永远；来世；不朽；漫长的时间
luckily|adv.幸运地；幸亏地
enormous|adj.巨大的；庞大的
thud|n.重击声；砰的一声; v.发出砰的一声
detached|adj.超然的；分离的；独立的
architect|n.建筑师; n.【喻】缔造者；创造者
betcha|int.当然；真的；的确！; =betyou.
yo|int.唷(水手拉绳时一道发出的叫声)
arrow|n.箭；箭头
administrator|n.管理人；行政官
brewski|n.啤酒；一瓶啤酒
buddy|n.伙伴；兄弟；好朋友; vi.结交
blade|n.刀刃；刀锋；桨叶；叶片
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
pluck|v.摘；猛拉；拔；拨弹（乐器）; n.猛拉；勇气；动物内脏
cautiously|adv.慎重地；谨慎的
stable|adj.稳定的；安定的；可靠的; n.马棚；马厩；一批人; v.使（马）入厩；入马棚
tread|n.步法；踏面；胎面花纹；鞋底; v.踩；行走；践踏；(鸟类)交配
awaken|v.醒；意识到；唤醒；激起；使意识到；使唤醒
girdle|n.腰带；围绕物; vt.以腰带束缚；在...周围绕
baboon|n.狒狒
bang|n.巨响；重击；刘海; v.重击；大声敲；剪成刘海；突然巨响; adv.正好地；准确地
bog|n.沼泽; v.使...陷于泥沼；陷于困境
exhausted|adj.用完的；精疲力竭的
unmarried|adj.未婚的；独身的; n.未婚者
barque|n.三桅船；轻舟
granny|n.奶奶
ambrosia|n.神的食物；特别美味的食物
