footed|adj.有脚的；...脚的
destruction|n.破坏；毁灭
gasp|v.喘气；喘息；渴望; n.喘气
gross|adj.总的；粗鲁的；公然的；荒唐的；令人讨厌的; n.总量；总额; vt.总共赚得; adv.总共地
thoughtful|adj.深思的；体贴的
poker|n.扑克; n.戳(或捅)的人；拨火棍
bordering|n.边缘(设立疆界；边界标志物)
unpredictable|adj.不可预知的
gnaw|v.咬；折磨；侵蚀
happier|adj.更快乐的；更幸福的
hairy|adj.多毛的；长毛的；令人恐怖的；难对付的
thumb|n.拇指; v.翻阅；示意要求搭车
tug|n.用力拉；拖船; v.用力拉
pup|n.小狗；小海豹；小伙子
triumphant|adj.胜利的；得意洋洋的
positively|adv.极其；绝对地；十分肯定的；坚定的
non|adv.[拉]非；不是
faraway|adj.遥远的；远方的；(神情)恍惚的；出神的
gleam|v.闪烁；隐约地闪现; n.微光；闪光；闪现
nights|adv.每晚；在夜晚
goatskin|n.山羊皮
fisherman|n.渔夫；渔船
fog|n.雾；朦胧；迷惑; v.以雾笼罩；使模糊；迷惑
giggle|v.咯咯地笑; n.咯咯笑；趣事
jaw|n.颚；颌；下巴；钳口；说教; v.喋喋不休；教训
furious|adj.狂怒的；猛烈的
cranky|adj.怪癖的；不稳的
frontal|adj.前的；正面的；额的; n.额饰；祭坛前面的罩巾；建筑物的正面；三角门楣
sneaky|adj.鬼祟的；卑鄙的
sorts|n.种类; 分类.
nap|n.小睡；绒毛；纳普牌; vi.打盹；疏忽
harpy|n.残酷贪婪的人；恶妇人; Harpy.; n.[希神]哈耳皮埃(鸟身女妖)
hem|n.褶边; vt.缝边；包围；约束
eerie|adj.怪诞的；可怕的；奇异的；害怕的
helplessly|adv.无能为力地；无助地
gravel|n.碎石; v.铺碎石；使困惑
gruesome|adj.可怕的；令人毛骨悚然的；阴森的
harmony|n.和谐；协调；调和；和声
spawn|n.卵；产物；后代；结果; vt.产卵；种菌丝于；产生；造成; vi.产卵；大量生产
grin|v.露齿而笑；(以咧嘴笑来)表示; n.露齿笑；咧嘴笑
ah|int.啊；哈; =aah.
sniff|vi.嗅；嗤之以鼻；找出; vt.嗅到；吸入；嗤之以鼻地说; n.嗅；吸气；气味
vicious|adj.恶毒的；恶意的；剧烈的；堕落的
goalie|n.(足球等运动的)守门员; =goalkeeper
fragment|n.碎片；片段; v.使破碎；分裂
hardworking|adj.努力工作的；勤奋的
harrumph|n.哼声；鼻息; v.发哼声
eagerly|adv.渴望地
flail|v.挥动；用连迦打；敲打; n.连迦
wink|n.眨眼；使眼色；瞬间; v.眨眼；使眼色；闪烁
proudly|adv.傲慢地；自大地；得意洋洋地
gunman|n.持枪者；枪手；持枪歹徒；职业杀手
scenery|n.风景；背景；布景
gigantic|adj.巨大的
jealousy|n.妒忌
headquarters|n.总部；司令部；指挥部
gymnastics|n.体操
gut|n.内脏；肠子；羊肠线；胆量；勇气; vt.取出内脏；摧毁（内部）; adj.本能的；（问题等）根本的
jealous|adj.妒忌的；羡慕的；嫉妒的
amused|adj.愉快的；顽皮的；被逗乐的；觉得好笑的
technically|adv.技术上；学术上；严密地
freshly|adv.新近；刚才
dwell|vi.居住；存在；冥想；详细阐述
stomp|vt.跺（脚）；重踏; n.跺脚舞；顿足爵士舞乐曲
edition|n.版；版本
foul|adj.恶臭的；邪恶的；污秽的；恶劣的；犯规的; n.犯规; v.弄脏；妨碍；犯规
robbery|n.抢劫
fling|vt.投；粗暴地推向...；猛冲；激动地说；全身心投入; n.投掷；一时的行乐；漫不经心的一段(尝试或感情); vi.急冲；(动物)猛跳
smoothly|adv.平滑地；流畅地
enlighten|v.启发；开导；教导
combination|n.结合；结合到一起的事物或人；密码
stitch|n.一针；疼痛；碎布条; v.缝合
glint|n.闪烁; v.闪耀；闪闪发光
furiously|adv.狂怒地；有力地；猛烈地
hint|n.暗示; v.暗示；示意
