shaker|n.摇动者；摇动器；搅拌器; Shaker：adj.；夏克尔风格的
shore|n.岸；滨
grateful|adj.感激的；令人愉快的
spectacle|n.景象；场面；奇观；壮观；公开展示；表相，假相; n.（复）眼镜
serpent|n.蛇；蛇一般的人；狡猾的人
bull|n.公牛；股市看涨的人；警察; n.荒谬的话; n.教皇诏书; adj.公牛的；鲁莽的
unlock|v.开锁；开启；揭开；显露
hoarse|adj.沙哑的；嘶哑的；刺耳的
sneak|vt.偷偷摸摸做; vi.偷偷地走；偷偷地做; n.鬼鬼祟祟的人；潜行；溜; adj.出其不意的；暗中进行的
pasture|n.牧场；草原; vi.吃草; vt.放牧
fasten|vt.拴紧；使固定；系；强加于; vi.固定；系紧；抓紧
rewrite|n.重写；改写; vt.改写；重写; vi.修改
speeding|adj.高速行驶的; n.超速行驶
officially|adv.官方地；正式地；公务上；职务上
shrine|n.圣地；神龛；庙; v.将...置于神龛内；把...奉为神圣
afternoons|adv.每天下午
prophecy|n.预言; =prophesy.
torch|n.手电筒；火炬；火把；纵火犯; v.纵火
warriors|武士
doggie|n.小狗；狗；汪汪; adj.狗的；像狗一样的; =doggy.
soul|n.灵魂；心灵；精神
spikes|pl.钉鞋
peacefully|adv.平静地；和平地
mortal|adj.致命的；终有一死的；不共戴天的；极度的; n.凡人
goner|n.完蛋的人；无可救药者
ferry|n.渡船；渡口; vt.摆渡；运输; vi.摆渡
rake|n.耙子；耙状物; n.放荡的人; n.斜度；倾角; v.用耙子聚；收集；搜索; v.使倾斜
heartless|adj.无情的；残酷的
flip|vt.掷；轻击；弹; vi.翻转; n.（跳水或体操动作中的）空翻；轻弹；浏览; adj.无礼的；冒失的；轻率的
bravery|n.勇敢；华丽(的衣服)
aerobics|n.有氧运动；健美操
nearest|adj.最近的
aboard|adv.在船上；在火车上；在飞机上; prep.上船；上飞机；上车
foolish|adj.愚蠢的；荒谬的；可笑的
slapping|adj.出奇地快；巨大的；极好的; adv.极快地；非常地
sludge|n.泥泞；淤泥；泥状雪
skim|vt.撇去；略读；掠过；滑过; vi.掠过；表面凝结；瞒报; n.浮沫；略读；脱脂物
terribly|adv.可怕地；非常地；很
threes|n.祝你走运
sometime|adj.以前的; adv.改天；来日；某时
soak|vt.使浸透；吸入；浸洗；使喝醉；敲竹杠; vi.浸泡；渗透；渗入；酗酒; n.浸；湿透；酒鬼
dreary|adj.沉闷的；令人沮丧的；情绪低落的
hoax|v.欺骗；哄骗；愚弄; n.愚弄人；恶作剧
hospitality|n.款待；殷勤；好客；酒店管理
sorceress|n.女魔法师；女巫
slimy|adj.黏滑的；卑劣的
sickle|n.镰刀
wicked|adj.坏的；邪恶的；缺德的; adv.极端地；非常地; vt.吸收
accompany|vt.陪伴；伴随...发生；补充；给...伴奏; vi.伴奏
thoughtfully|adv.深思地；考虑周到地；细心地
peck|v.啄；连续敲击；轻吻; n.啄痕；啄食；轻吻; n.配克；大量
sway|v.摇动；摇摆；支配；影响；说服，使相信; n.摇摆；支配；影响
glide|v.滑动；滑翔；溜走; n.滑动；滑过；滑音
blond|adj.金发的; n.金发的人
spiro|n.螺
finest|adj.好的；出色的
gorgeous|adj.华丽的；灿烂的；极好的
splashdown|n.在海中降落
stink|n.臭味；臭气; vi.发臭味；招人讨厌
eternal|adj.永久的；永恒的; n.永恒的事
carpenter|n.木匠; v.做木工活
moisture|n.水分；潮气；湿度
smelly|adj.难闻的；臭的
spectator|n.观众；旁观者
splashing|喷洒,泼洒
ash|n.灰；灰烬; n.白蜡树；白蜡木; (复)ashes：骨灰；废墟；苍白.
snug|adj.温暖舒适的；合身的；安全的; v.使整洁干净；舒适地依靠；紧贴; n.酒吧里的私房
daddy|n.爸爸
banish|vt.驱逐；流放；消除
invasion|n.侵略；侵入
puppy|n.小狗；自负的小伙子
drool|v.流口水；垂涎；胡说; n.口水；胡话
digest|n.摘要; vt.消化；理解; vi.消化
sleeve|n.套管；袖子
tickle|vt.使发痒；逗乐；使快乐; vi.觉得痒; n.痒；抓痒
