groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
famine|n.饥荒；极度缺乏
rituals|仪式
peacefully|adv.平静地；和平地
brass|n.黄铜(制品)；铜管（乐器）；厚脸皮; adj.黄铜的
learners|学习者
unlock|v.开锁；开启；揭开；显露
fasten|vt.拴紧；使固定；系；强加于; vi.固定；系紧；抓紧
motion|n.移动；动作；打手势；示意；提议；大便; v.示意；运动；向...打手势
bull|n.公牛；股市看涨的人；警察; n.荒谬的话; n.教皇诏书; adj.公牛的；鲁莽的
memorize|v.记住；记录；记下
terribly|adv.可怕地；非常地；很
kindness|n.仁慈；好意；友好的行为
banish|vt.驱逐；流放；消除
reincarnation|n.转世；再生
sweat|n.汗水; n.焦急；繁重工作；(凝结在物体表面的)水珠; v.(使)出汗
oath|n.誓言；誓约；咒骂语
tails|n.(硬币的)反面
donkey|n.驴；愚蠢的人
grand|adj.重大的；豪华的；宏伟的；壮丽的; n.大钢琴；一千美元
fingertips|指尖
foolish|adj.愚蠢的；荒谬的；可笑的
bearing|n.轴承；举止；忍受；支撑物；影响
bravery|n.勇敢；华丽(的衣服)
soul|n.灵魂；心灵；精神
hoax|v.欺骗；哄骗；愚弄; n.愚弄人；恶作剧
dung|n.动物的粪便; v.上粪
spear|n.矛；标枪; v.刺穿
keeper|n.看守人；饲养员；管理者
ash|n.灰；灰烬; n.白蜡树；白蜡木; (复)ashes：骨灰；废墟；苍白.
stink|n.臭味；臭气; vi.发臭味；招人讨厌
heartless|adj.无情的；残酷的
soak|vt.使浸透；吸入；浸洗；使喝醉；敲竹杠; vi.浸泡；渗透；渗入；酗酒; n.浸；湿透；酒鬼
eternal|adj.永久的；永恒的; n.永恒的事
drown|vi.淹死; vt.淹死；淹没
ultra|adj.超；过激的；极端的; n.过激论者；急进论者
chute|n.斜槽；泻物架；瀑布；降落伞; v.用斜槽进料
postcard|n.明信片; adj.如画的
fin|n.鳍；鱼翅；鳍状物；散热片；五元纸币
magnificent|adj.壮丽的；宏伟的；极好的
brow|n.前额；眉毛；山脊；表情
lug|n.柄；突出部；螺帽; n.(英）耳朵; 笨蛋; vt.拖；拉；用力拖动
threes|n.祝你走运
terror|n.恐怖；惊骇；令人惧怕或讨厌的人或事物
goner|n.完蛋的人；无可救药者
grateful|adj.感激的；令人愉快的
aboard|adv.在船上；在火车上；在飞机上; prep.上船；上飞机；上车
sway|v.摇动；摇摆；支配；影响；说服，使相信; n.摇摆；支配；影响
peck|v.啄；连续敲击；轻吻; n.啄痕；啄食；轻吻; n.配克；大量
carpenter|n.木匠; v.做木工活
pan|n.平底锅；盘子；盘状物；淘盘；脸；严厉批评; v.严厉批评；（用淘盘）淘金
liar|n.说谎者；骗子
rewrite|n.重写；改写; vt.改写；重写; vi.修改
riddle|n.谜；谜语; vt.解谜；出谜题；充满；打洞；筛选; vi.出谜题
milky|adj.乳状的；乳白色的
serpent|n.蛇；蛇一般的人；狡猾的人
flourish|v.茂盛；繁荣；挥舞；活跃; n.挥舞；花样；炫耀；华丽词藻
archaeological|adj.考古学的；考古学上的
crashing|adj.绝对的；彻底的；非凡的
fiery|adj.火的；炽热的；激烈的；暴躁的；辛辣的
booming|adj.兴旺的；繁荣的；轰隆作响的
afternoons|adv.每天下午
condo|n.[口]分户出售公寓大厦; =condominium.
myths|神话
drool|v.流口水；垂涎；胡说; n.口水；胡话
mortal|adj.致命的；终有一死的；不共戴天的；极度的; n.凡人
torch|n.手电筒；火炬；火把；纵火犯; v.纵火
household|n.家庭；户; adj.家庭的；家喻户晓的
invasion|n.侵略；侵入
clip|vt.夹住; v.剪短; v.疾驰；猛击; n.夹子；弹夹；回形针；钳; n.修剪；(羊毛的)剪下量；(被剪下的)东西
accompany|vt.陪伴；伴随...发生；补充；给...伴奏; vi.伴奏
compound|n.化合物；复合词；复合物; n.院子(用围墙圈起来的场地）; adj.化合的；【语】（词语等）复合的；【植】复合的；【动】群体的; vt.混合；调合；使严重；私了；【经】以复利计算; vi.妥协
gorgeous|adj.华丽的；灿烂的；极好的
daddy|n.爸爸
shaker|n.摇动者；摇动器；搅拌器; Shaker：adj.；夏克尔风格的
