seller|n.卖方；售货者；畅销品
motion|n.移动；动作；打手势；示意；提议；大便; v.示意；运动；向...打手势
yew|n.紫杉；紫杉木
slave|n.奴隶；像奴隶般受制的人；【机】从动装置; v.做苦工；做奴隶；拼命干
soap|n.肥皂；肥皂剧; vt.用肥皂洗；阿谀奉承
ash|n.灰；灰烬; n.白蜡树；白蜡木; (复)ashes：骨灰；废墟；苍白.
explanation|n.解释；说明
satisfy|v.使满意；满足；使信服；清偿
court|n.法院；庭院；宫廷；球场；奉承; v.献殷勤；追求；招致；设法获得
biscuit|n.饼干；淡褐色
bow|n.弓；鞠躬礼；蝴蝶结；船头; v.鞠躬；致敬；压弯
relationship|n.关系；联系；亲属关系
boredom|n.无聊；厌烦；厌倦；令人厌烦的事物
thought|n.思想；想法；意向；思念；观念；打算；关心；顾虑; v.想，思考，考虑（动词think的过去式和过去分词）
explosive|adj.爆炸(性)的；引发争论的；大声的; n.炸药
personality|n.个性；名人；特色
march|n.行军；行进；游行示威；稳步前进；进行曲; v.行进；前进；进发；使同行；游行示威; March; n.三月
upside|n.上部上涨；优势；潜力; prop.上面；上方
bacon|n.培根；咸肉；熏肉
tent|n.帐篷; v.住帐篷；宿营
ketchup|n.蕃茄酱; =catchup.
attractive|adj.有吸引力的；有魅力的
governor|n.统治者；管理者；理事；州长；总督；调节器
recess|n.休息；幽深处；凹缝；壁龛；放假; v.放入壁龛；作凹处；休息
sign|n.手势；招牌；符号；迹象；正负号; v.签；签名；做手势；做标记
course|n.课程；讲座；过程；路线；一道(菜); v.跑过，穿过；追赶；快跑
parade|n.游行；检阅；游行地; vi.参加游行；阅兵；散步；炫耀; vt.夸耀；使参加游行；检阅；绕行
confirm|v.证实；批准；确定
joyful|adj.愉快的；高兴的
pointer|n.指针；教鞭；（能指出猎物位置的）猎犬；暗示；主意; Pointer:指极星.
eruption|n.爆发；喷发；出疹；长牙
sundown|n.日落时分
estimation|n.判断；估计；尊重
semi|n.半挂车；半挂车货车；半决赛; pref.表示“一半的；部分的；不完全的”
abroad|adv.到国外；广为流传; adj.在国外；海外(一般作表语)
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
chin|n.颏；下巴; v.聊天；作引体向上
samurai|n.(日本的)武士
oceans|n.大洋
physically|adv.身体上地；实际上
occur|vi.发生；存在；出现；想到
pirate|n.海盗；盗版者; v.盗版；抢劫；剽窃
bush|n.灌木丛；矮树; v.丛生；(以灌木)标记、保护、支撑; Bush.; n.布什(姓氏)
dictation|n.听写；口述；命令
hut|n.小屋；棚屋; v.在棚屋中隐蔽
feather|n.羽毛；翎毛；种类; vt.用羽毛装饰; vi.长出羽毛
limit|n.限度；限制；界限; vt.限制；限定
recent|adj.近来的；新近的
replace|vt.取代；替换；放回原处；偿还
chopsticks|n.筷子（名词chopstick的复数形式）
stark|adj.严酷的；荒凉的；光秃秃的；鲜明的; adv.完全；实在；简直
pretended|adj.假的；虚伪的
furry|adj.毛皮的；盖着毛皮的；似毛皮的；有舌苔的；沙哑的
replacement|n.更换；接替者
palaces|宫城
since|conj.因为；既然；自从; prep.自从; adv.此后
neighborhoods|生活社区
xi|n.希腊语中的第十四个字母
undergo|vt.经历；经受；遭受
aboard|adv.在船上；在火车上；在飞机上; prep.上船；上飞机；上车
bargain|n.交易；便宜货；契约; v.讨价还价；议价；(谈价钱后)卖
bye|int.再见
stink|n.臭味；臭气; vi.发臭味；招人讨厌
glare|n.闪耀光；刺眼; v.发眩光；瞪视
policeman|n.（男）警察
flock|n.一群；兽群；大堆；群众；羊群; v.聚集；成群而行
instance|n.例子；场合；情况；要求；诉讼程序; vt.举例说明
allegiance|n.忠诚；效忠
spooky|adj.幽灵一般的；有鬼一样的；令人毛骨悚然的
coefficient|n.系数
ink|n.墨水；墨汁
overcome|vt.战胜；克服；使受不了；(感情等)压倒; vi.获胜；赢
Paris|n.巴黎；重楼（百合科植物）；帕里斯（姓氏）
bleed|v.流血；渗色；榨取；放掉（水或气体）；给...抽血
situations|现状
professional|adj.职业的；专业的；专门的; n.专业人员
engaged|adj.忙碌的；使用中的；订婚了的
plenty|n.丰富；大量；充足; adj.充足的；相当多的; adv.非常；充分
rivalry|n.敌对；竞争；对抗
wretched|adj.可怜的；不幸的；悲惨的；质量差的；恶劣的；卑鄙的
disobey|v.违反；不服从
edgy|adj.急躁的；尖利的；刀口锐利的
compulsory|adj.强制的；势在必行的；义务的
heartbroken|adj.悲伤的
allergy|n.过敏症；反感；厌恶
recite|vt.背诵；朗诵；叙述；列举; vi.背诵；回答问题
claw|n.爪；钳；螯；爪状物; v.抓；撕
satin|n.缎子; adj.缎子的
enforce|vt.强迫；强制；实施；执行；加强
sailor|n.海员；水手；扁平的硬边草帽
misleading|adj.令人误解的；引入歧途的; 动词mislead的现在分词.
bet|v.打赌；确信无疑; n.赌注；确信
seldom|adv.很少；难得
sew|v.缝合；缝纫
slap|n.侮辱；掴；拍击声; vt.侮辱；拍击；惩罚；申斥; adv.直接地；正面地；突然地
infant|n.婴儿；幼儿; adj.婴儿的；初期的；幼稚的
current|n.趋势；(水、气、电)流; adj.现在的；流通的
reliable|adj.可靠的；可信的
illness|n.病；疾病
luggage|n.行李
