travel|v.旅行；去某地；传播；快速移动；[体]走步; n.旅行；移动
train|n.列车；火车；行列；一系列; vt.训练；培训；瞄准; vi.进行锻炼，接收训练；练习
training|n.训练；培养; 动词train的现在分词形式.
tour|n.旅游；观光；巡回; v.周游；旅行；巡回
total|adj.总的；全体的；完全的; n.总数；合计; v.共计；总计
top|n.顶部；顶；上面；极点；陀螺; adj.最高的；顶端的; vt.形成顶部；达到…的顶端；处于…的最前头; vi.总结；超越；高耸；结束
together|adv.共同；一起；协调；一致；连续地; adj.有能力的；镇定的
throw|v.扔；投；掷；抛; n.抛；投掷
though|conj.虽然；尽管；然而；可是; adv.（用在句末补充说明使语气减弱）不过
thought|n.思想；想法；意向；思念；观念；打算；关心；顾虑; v.想，思考，考虑（动词think的过去式和过去分词）
think|v.认为；想；记起；考虑; n.想
thinking|n.思考；思想; adj.好思考的；有理性的; 动词think的现在分词.
there|adv.在那里；到那里；从那里; pron.表示存在（与be连用）; n.那个地方；那一点
then|adv.那么；然后；当时；而且; adj.当时的; n.当时
than|conj.比；除…外（用于other等之后）；与其…（用于rather等之后）；一…就（用于nosooner等之后）; prep.比
test|n.考验；试验；测试; vt.试验；测试；接受测验
tell|v.告诉；吩咐；讲述；表达；辨别；判断；泄露；告发；产生效果
teach|vt.教；教导；教授；教训; vi.给予指导
taste|n.味觉；味道；尝试；品味；爱好; v.品尝；有...味道的；体验
target|n.目标；对象；靶; vt.把...作为目标；瞄准
talk|v.交谈；商讨；演讲；阐述；劝服; n.谈话；会谈；讨论；讲话；空谈
take|v.拿；取；执行；需要；接受；理解；修(课程)；花费；吃（喝）；认为；搭乘; n.拿取；取得物
swim|v.游泳; n.游泳
being|n.存在；人；生物；本质
helpers|辅助工
co-founder|n.共同创办人；共同创始人
aerial|adj.空中的；空气的；航空的；空想的; n.天线
technology|n.技术；工艺；工艺学
overview|n.概观(况)；总结
journal|n.日志；日记；期刊
sentinel|n.哨兵；传送器；[计]标记符号; v.放哨；设岗哨
wis|vi.知道
steer|v.操纵；驾驶；掌舵；引导
helpers|辅助工
weed|n.杂草；野草; n.衣服；丧服; vi.除草；清除；淘汰
killer|n.杀人者；凶手；致命物；消灭…者；棘手的事；迷人的人；精彩的事物
corn|n.谷物；玉米；伤感平庸作品; v.形成(颗粒状)；腌；(用谷物)喂
federal|adj.联邦制的；联邦政府的；同盟的; n.联邦主义者；同盟盟友
aviation|n.航空；飞机制造业
administration|n.实施；管理；行政；行政部门；任期
writing|n.写作；著述；笔迹；作品
cannot|无法；不能，不可以；禁止
agricultural|adj.农业的
crash|v.撞击；坠毁；发出巨响；崩溃；破产；宿夜; n.轰隆声；猛撞；崩溃；暴跌；垮台；粗布; adj.速成的
landmark|n.陆标；地界标；里程碑；划时代的事
cooperative|adj.合作的；协作的; n.合作社
crop|n.农作物；收成；庄稼；(一)批; v.修剪；啃吃；收获；出现
scout|n.童子军；侦察员；守卫; vt.侦察；物色
handmade|adj.手工制作的
cows|奶牛
technology|n.技术；工艺；工艺学
foster|vt.领养；培养；促进；鼓励；抱有（希望等）; adj.收养的
mask|n.伪装；面罩；面具；[计算机]掩码; v.掩饰；戴面具；遮盖
activists|积极分子
temperatures|温度
youngest|adj.年纪最小的; n.年纪最小的人
activist|n.活动分子；积极分子；激进分子
action|n.行为；活动；措施；效用；交战；情节；事件；姿态；起诉；机能
classmates|同班同学
site|n.地点；位置；现场; vt.使...位于
greenhouse|n.温室；暖房
gases|n.气体
strike|n.罢工；打击；殴打; v.打；撞；罢工；划燃
excited|adj.感到兴奋的；激动的
vote|n.选举权；投票；选举；投票结果; v.表决；选举；投票
reproduce|v.再生；复制；生殖
students|学生
protest|n.抗议；反对; v.抗议；反对；申明；断言
