curve|n.曲线；弯曲；弯曲物；弧线
don|n.先生（西班牙用语）；(牛津、剑桥大学的)指导教师; v.穿上
repellant|adj.击退的；讨人嫌的；相斥的; n.讨厌的人；驱虫剂；抗耐剂; =repellent.
participant|n.参与者
migration|n.移民；移往；移动
basket|n.篮；篓；筐；[篮]球篮；投篮得分
cross-country|adj.越野的；横过田野的; n.越野运动
exaggerate|vt.夸张；夸大；对...言过其实; vi.夸张；夸大其词
messenger|n.报信者；先兆
feast|n.宴会；酒席；节会; v.享乐；款宴；请客
rummer|n.大酒杯
statehood|n.州的状态或地位；国家地位
mid-|表示“中,中部”之义
paste|n.面团；浆糊；糊状物；糊; vt.裱糊；粘贴
towel|n.毛巾；手巾; v.用毛巾擦
celebration|n.典礼；宗教仪式；庆祝，祝贺
sacrifice|n.牺牲；祭品；供奉; vt.牺牲；亏本出售；供奉; vi.献祭；(棒球)作牺牲一击
diversity|n.多样性；差异
long-term|adj.长期的
blessing|n.祝福；祷告；幸事
iconic|adj.图像的；肖像的；图标的
optional|adj.任选的
sonny|n.小弟弟；宝贝（用作对小男孩或年轻人的称呼）
redraw|v.重新划（边界线）；重新安排或计划
lunar|adj.月亮的；阴历的；银的
railways|铁路
actively|adv.积极地；活跃地；勤奋的
prophet|n.预言者；先知
coral|n.珊瑚; adj.珊瑚的；珊瑚色的
substance|n.实质；物质；财产；内容；重要性
recipes|配方
cuisine|n.烹饪；佳肴
upcoming|adj.即将来临的；预定将要
pearl|n.珍珠; v.(用珍珠)装饰；呈珍珠状; adj.珍珠般的
flowery|adj.多花的；似花的；辞藻华丽的
venomous|adj.恶意的；有毒的
almond|n.杏仁；扁桃；巴旦木，巴旦杏
bureau|n.局；办事处；(带抽屉的）写字台
mower|n.割草机；割草人
smallest|adj.最小的
repel|vt.排斥；抵制；击退；使反感; vi.排斥；反感
favor|n.偏爱；好意；特权；赞成; vt.偏爱；给予；支持；关心；利于；长得像
emerge|vi.浮现；(由某种状态)脱出；(事实)显现出来
dim|adj.暗淡的；模糊的；笨的; v.使暗淡；使失去光泽; n.车头近光灯；停车灯
mint|n.薄荷；造币厂；巨额; vt.铸造(硬币)；伪造; adj.完美无缺的
cicada|n.蝉；知了
herb|n.药草；香草
nymph|n.女神；美丽的少女；蛹
sunset|n.日落；衰落时期（尤指人的晚年）
intense|adj.强大的；紧张的；强烈的；激烈的；深刻的
females|女性
atlas|n.地图集; Atlas:擎天神；背负重物的人.
soggy|adj.湿而软的；潮湿的；湿透的；乏味的
hajj|n.[伊斯兰教]麦加朝圣
pepper|n.胡椒粉；辣椒; vt.加胡椒粉于；不断打击
itchy|adj.痒的
bug|n.臭虫；窃听器；[计]漏洞; v.窃听；打扰；失去(镇定)
environmentally|adv.在环境方面地
lawn|n.草坪；草地
narrowly|adv.勉强地；狭窄地；严密地
metamorphosis|n.变质；变形；转变；[生、医]变态
ii|n.二; adj.表示二的
vow|n.誓约; v.发誓
tropical|adj.热带的；炎热的；热带植物的
seed|n.种子; vi.播种；(植物)结实; vt.播种
bees|蜜蜂
literally|adv.逐字地；按照字面上地；不夸张地；正确地；简直
sally|n.俏皮话；突围; v.冲出；突围；出发旅行
northeast|n.东北; adj.东北的；向东北的；来自东北的; adv.向东北；来自东北
batch|n.一批；一炉；一次所制之量; v.分批处理
appreciates|欣赏
re|prep.关于; pref.再，重新; n.长音阶的第二音
colleges|高校
ominous|adj.不祥的；预兆的
numerals|数码
diseases|病害
jersey|n.毛线衫；毛织运动衫; Jersey:泽西岛；泽西乳牛.
sweeten|v.(使)变甜；使愉悦；净化
kiwi|n.几维鸟(新西兰国岛)；猕猴桃; Kiwi; n.新西兰人
annoying|adj.恼人的；讨厌的
spark|vi.闪烁；冒火花；热情回应; vt.激发；引起；向...求爱; n.火星；朝气；情人；俗丽的年轻人
backyard|n.后院；后庭; adj.后院的
inspire|vt.鼓舞；激发；产生；赋予...灵感; vi.吸入
brood|n.一窝；一伙；一家孩子；一组事物; v.孵；沉思；笼罩
congressional|adj.议会的；国会的；会议的
participation|n.参加；参与
partnership|n.合伙人身份；合股；合伙经营
wrap|v.包；裹；覆盖；隐藏; n.围巾；披肩；包装材料
leafy|adj.叶茂盛的；多叶的；叶状的
anniversary|n.周年纪念；周年纪念日
badly|adv.差的；严重地；恶劣地；极度地
actor|n.演员；行动者
tribune|n.(古罗马的)护民官；民众领袖; Tribune.; n.(英国)《论坛报》
li|n.里(长度单位)
democrat|n.民主主义者; Democrat.; n.美国民主党派的成员
mandarin|n.中国官话；国语；满清官吏
stereotype|n.模式化观念；典型；老一套；铅版; v.对…形成模式化的看法；使用铅版
westernize|v.使...西洋化；使...欧化
fungi|n.菌类；蘑菇；霉菌
gerrymander|vt.为己党利益擅改选区; n.不公正划分选区
manual|adj.手工的；体力的; n.指南；手册；键盘
makeup|n.化妆品；组成；体格；性格；补充；补考；[印]排版
hatch|n.孵化；舱口，舱口盖; v.孵；孵出；策划
defy|vt.藐视；挑衅；反抗
strongly|adv.强有力地；坚强地；激烈地；气味浓地
exclusion|n.排除；除外；逐出
periodical|n.期刊; adj.定期的
yearbook|n.年鉴
preservation|n.保存；维护；防腐
profound|adj.深奥的；渊博的；极度的；意义深远的
mount|v.登上；爬上；装上；上升; n.底板；爬上；支架；乘用马; n.山；峰
muscle|n.肌肉; v.硬挤；变硬实
redistricting|[美]重划学区
republican|n.拥护共和政体的人; adj.共和政体的; Republican:共和党人.; Republican:共和党的.
equator|n.赤道
sayings|n.语录
buzz|vi.发出嗡嗡声；充满；匆忙; vt.使嗡嗡叫；低飞掠过；打电话; n.嗡嗡声；电话
midterm|adj.期中的; n.期中考试
reopen|v.重开；再开
consequences|影响效果
twitter|vi.吱吱叫；啁啾；唧唧喳喳地说话；在Twitter上发微博; vt.激动或紧张地说; n.啁啾声；激动或兴奋而紧张；在Twitter上发的微博; Twitter.; n.推特（著名社交网络和微博客服务的网站）
tipped|镶齿的
earn|vt.赚得；赢得；获得
shogunate|n.将军职位；将军政治；幕府时代
bond|n.债券；结合；协定；联系；情谊；黏合剂; vt.使结合；为...作保; vi.连结；粘合
infrastructure|n.基础；基础设施
loudly|adv.大声地；高声地；花俏地
microorganisms|微生物
upright|adj.直立的；垂直的；正直的; adv.垂直地; n.垂直；竖立；竖钢琴
incredible|adj.难以置信的；惊人的
internment|n.拘禁
gently|adv.轻轻地；温柔地，文雅地，有礼貌地；和缓地；高贵地
associate|vt.联想；联合; n.伙伴；同事；同伴; adj.副的；共事的；有联系的; n.准学士学位获得者; vi.交往
springtime|n.春季；青春期；初期
noble|adj.高贵的；宏伟的；高尚的; n.贵族
heritage|n.遗产；继承物
