tetra|n.脂鲤（南美产的热带鱼）; pref.四；四原；四基
spandrel|n.【建】三角拱腹; =spandril
sonny|n.小弟弟；宝贝（用作对小男孩或年轻人的称呼）
cheers|int.干杯；再见；谢谢
ice-skating|n.溜冰
rub|v.擦；摩擦；搓；惹恼; n.困难；障碍；擦
barrier|n.栅栏；障碍物；屏障
puffy|adj.浮肿的；膨胀的；肥满的
fireworks|n.烟火
gown|n.长袍；长外衣
parachute|n.降落伞；缓降物；[动]翅膜; v.跳伞；用降落伞空投
hermit|n.隐士；遁世者
pouch|n.小袋；小包；囊状袋; vt.装...入袋中；用袋运输; vi.用袋送信件
hi|int.嗨(引人注意时的喊声；打招呼)
ice-skate|v.溜冰；滑冰
monsters|怪物
grip|n.紧握；手提包；了解；手柄; vt.吸引；紧抓
vice|n.缺点；恶习；邪恶；罪行；生理缺陷; adj.副的；代理的; prep.代替; pref.代理的；副的; n.老虎钳
bedtime|n.就寝时间
departments|政府部门
blue-green|蓝绿色
tangles|缠结
masses|n.平民；群众
en|n.半方；N字; prep.作为；一起；在...中
phonograph|n.留声机；电唱机
ope|v.开放；自由进出（动词open的古体）; =open.
lo|int.瞧!；看！
straw|n.稻草；吸管；麦杆；不值钱的东西; adj.用稻草做的；麦杆色的；无价值的；像稻草人的；非正式民意测验所发现的
observatory|n.天文台；气象台；了望台
pod|n.豆荚；分离舱; n.(海豹或鲸等的)一群; v.剥掉(豆荚)
backpack|n.双肩背包; v.挑运；背包徒步旅行
religions|宗教
pinata|皮纳塔；n.彩罐
flour|n.面粉；粉末; v.研成粉末；撒上粉
gravestone|n.墓碑
walrus|n.海象
informer|n.告发者；告密者
paste|n.面团；浆糊；糊状物；糊; vt.裱糊；粘贴
desserts|甜品
wholesome|adj.有益健康的；合乎卫生的
murmur|v.低语；发出连续轻柔的声音；低声抱怨; n.低语；连续轻柔的声音；低声的抱怨；[医]心区杂音
superfine|adj.过细的；微细的；极好的
grill|n.烤架；铁格子；烧烤(食物); vt.拷问；(在烤架上)烤
hampshire|n.汉普夏羊；汉普夏猪；汉普郡（英国英格兰南部沿海的郡）
in-|pref.表示“否定；与...相反”之义
den|n.兽穴；集聚地; v.穴居
beam|vi.微笑；发光; vt.播送；发射；用梁支撑; n.桁条；光线；(光线的)束；(横)梁
repellent|n.驱虫剂；防水剂; adj.令人厌恶的；排斥的；驱除的；防水的
tribe|n.部落；族；一伙人
jupe|n.上衣；胸衣；女裙
butterfly|n.蝴蝶；蝶状物；蝶泳; vt.(烹饪时把鱼肉等）切开摊平
beep|n.哔哔声; vt.产生（如号角）声音; vi.吹号；发出哔哔声
mi|n.大音阶的第三音
vibrate|vt.(使)振动；(使)摇摆; vi.回响；颤动
mount|v.登上；爬上；装上；上升; n.底板；爬上；支架；乘用马; n.山；峰
freezer|n.冰箱；冷冻室
tanker|n.油轮；加油飞机；罐车
ponytail|n.(女子的)马尾发型
babe|n.小孩；不知世故的人；女孩(=girl)
notepad|n.记事本；笔记本
