harp|n.竖琴; v.反复诉说；唠叨
dino|n.恐龙(=dinosaur)
dimmer|n.调光器；车头短焦距光
chapel|n.小礼拜堂；礼拜仪式；唱诗班；印刷厂工会；殡仪馆
sh|int.嘘(要别人不作声时用)
scare|v.受惊吓；恐吓；吓走; n.惊吓；惊恐
doorway|n.门口
proem|n.序文；绪言；开端
begone|interj.〈古〉走开
dancers|楼梯
roller|n.滚筒；滚轴；滚转机；巨浪
caption|n.说明文字; v.给（图片、照片等）加说明文字
ode|n.颂诗；赋
someday|adv.有朝一日
keyboard|n.键盘; v.用键盘输入
leap|v.跳跃；跃过；跃; n.跳跃；跃
cloth|n.布；布料；一块布
flowchart|n.流程图
colorful|adj.华美的；富有色彩的；有趣的
lord|n.君王；勋爵；统治者；[大写]上帝；主; v.使…成君主；支配；作威作福
mink|n.貂；貂皮衣
roof|n.屋顶；顶; vt.覆盖；给...覆以屋顶
extinguisher|n.灭火器；熄灭者；消除器
clay|n.黏土；泥土
winner|n.获胜者；【网球】制胜球
jee|int.哎呀(表示惊奇、兴奋)
killer|n.杀人者；凶手；致命物；消灭…者；棘手的事；迷人的人；精彩的事物
trout|n.鳟鱼；鳟鱼肉
release|n.释放；让渡；发行; vt.释放；让与；准予发表；发射
sex|n.性别；性欲；性; vt.区别...性别；引起...性欲
texture|n.质地；手感；口感；组织；结构；纹理；特点; vt.给予结构
leathery|adj.皮似的；皮质的；皮般强韧的
antelope|n.羚羊；羚羊皮革
spicy|adj.辛辣的；香的
tow|v.拖；拉；牵引; n.拖；拽；拖绳
condense|v.浓缩；凝结；缩短
decoration|n.装饰；装饰品
moss|n.苔藓；泥沼; vt.使长满苔藓
pupa|n.蛹
speedy|adj.快速的；高速的；迅速的；敏捷的；立即的
arow|成列地
seaweed|n.海草；海藻
cannot|无法；不能，不可以；禁止
squish|v.压扁；发出咯吱声; n.咯吱声；挤扁
riches|n.财富；富有
nonsense|n.废话；胡说；荒唐
cafeteria|n.自助餐厅
fucking|adj.该死的; adv.非常地
xii|n.十二; adj.十二的
tomb|n.坟墓; vt.埋葬
thermometer|n.温度计
rap|n.轻敲；拍击；责骂；厉声说出；说唱音乐；谈话；最少量; vi.轻敲；表演说唱音乐；畅谈
dozens|n.几十；许多
sharply|adv.锐利地；严厉地；厉害地；轮廓清晰、线条分明地
gill|n.鳃；菌褶；及耳(液量单位）; v.用刺网捕鱼；被缠在刺网中
poorly|adv.贫穷地；不充份地；贫乏地; adj.身体不舒服的；心情恶劣的
darling|n.亲爱的；可爱的人；可爱的物; adj.可爱的；亲爱的
paint|v.油漆；绘画; n.油漆；颜料；绘画作品
affection|n.影响；感情；喜爱；慈爱
beaver|n.海狸；獭皮(帽)；女性生殖器; n.护面甲; vi.卖力地工作
officer|n.官员；高级职员；警官；军官；办事员
punch|vt.按(键)；以拳重击；开洞；剪票; n.殴打; n.打洞器；钻孔机; n.感染力; n.（酒、水、糖等制成的)鸡尾酒
roll|n.卷；滚动；名单；压路机；颤音；圆形物，面包卷; v.摇摆；滚；绕；转动；展开
drake|n.公鸭；用作鱼饵的蜉
carvings|雕刻品
pumper|n.抽水机；泵浦消防车
daffodil|n.黄水仙花
manager|n.经理；管理者；管家
datal|adj.包含一个日期的; n.按日计算工资
r|n.字母r
respell|vt.再拼(读或写)
trumpet|n.喇叭；喇叭声；喇叭手; vt.宣扬；鼓吹；吹嘘; vi.吹喇叭；发出喇叭似的声音
robotics|n.机器人学
inscience|n.无知
dye|n.染料；染色; v.染；染色
mam|n.妈妈(=mamma)
belter|n.非常好；出色的例子;嘹亮的歌
breathing|n.呼吸
attraction|n.吸引；吸引力；有吸引力的人或事物
tut|int.啧(表示焦虑、责难的发声); v.发出啧声
darcy|n.达西(多孔介质渗透力单位)
hypothesis|n.假说；假设；前提；猜测
herald|n.使者；传令官；先驱；预兆; vt.预报；标志
backbone|n.脊骨；骨干；骨气；毅力
nonfiction|n.非小说的散文文学；写实文学
magnet|n.磁铁；有吸引力的人（物）
identical|adj.同一的；相同的
wafer|n.薄脆饼；圆片；[宗]圣饼；[电]薄片；晶片; v.封缄；切成薄片
trampoline|n.蹦床；弹床
diagram|n.图解；图表; vt.用图解法表示
leash|n.(系狗的)皮带；控制；约束; n.（打猎用语）三只；三个一组; v.用皮带控制；束缚
guns|枪炮
client|n.委托人；客户
missy|n.小姐；姑娘；少女
inn|n.客栈；小旅店
uninterested|adj.不感兴趣的
formally|adv.正式地；形式上地
knob|n.旋钮；把手；瘤；节；圆丘
owl|n.猫头鹰
cue|n.暗示；提示；信号；（台球的）球杆; vt.给...提示；把...插入演出
bookshelf|n.书架
melon|n.甜瓜
lea|n.草地；草原
evil|adj.邪恶的；有害的；讨厌的; n.邪恶；罪恶；灾祸
resource|n.资源；机敏；才略；寄托；消遣
bis|adv.重复；两次; int.再来一个；再演一次
reem|扩缝(捻缝时把缝扩大
subtitle|n.副题(书本中的)；说明或对白的字幕; vt.给...加副标题；给...加字幕
darby|n.刮尺(泥板；平墙镘)
sinai|n.西奈山（为上帝授与摩西十诫之处)）; n.西奈半岛(介于红海与地中海间的一个半岛)
canoe|n.独木舟; v.乘独木舟；用独木舟运
powder|n.粉末；粉；火药；细雪; vt.洒粉于；使变成粉；重击; vi.变成粉；涂粉
fusion|n.融合；结合；熔合；核聚变
bock|n.博克啤酒（一种烈性黑啤酒）
kestrel|n.[动]茶隼
starfish|n.海星
warning|n.警告；警报；预兆; adj.警告的；告诫的
deeply|adv.深深地；强烈地；（颜色）浓浓地；（声音）低沉地
ctz|(=ceftezole)头孢去甲唑啉,去甲唑啉头孢菌素,(=chemoreceptortriggerzone)化学感受器触发区(延髓呕吐中枢),催吐化学感受区,(=chlorothiazide)氯噻嗪,克尿塞,(=clotrimazole)克霉唑,抗真菌1号
pal|n.朋友；伙伴; vi.结为友
