nova|n.新星
evaporation|n.蒸发；消失；脱水；干燥
oils|轻质石油产品,油剂,油类
battery|n.电池；一系列；炮兵连；排炮；[律]殴打
earlier|adj.早的；初期的; adv.更早地
wider|adj.更宽的；更广阔的
formation|n.形成；队形；编队；构造；[地]地层
ending|n.结尾；结局
classmate|n.同班同学
ladybug|n.瓢虫
acorn|n.橡树果实；橡子
shelter|n.避难所；庇护；庇护所; v.保护；隐匿；庇护
liquids|液体
boom|n.繁荣；兴旺；激增；低沉声; n.帆杠；吊杆；支臂；尾桁；水栅; vi.急速增长；发出低沉声; vt.使兴旺；促进
ho|int.（表示惊讶；喜悦等）嘿；嗨；嗬; n.妓女
championships|锦标赛
overhead|n.经常开支；普通用费; adj.高架的；在头上的; adv.在头顶上；在空中；在高处; [计算机]总开销.
heavier|adj.更沉重的；更巨大的
predictions|预言
fossil|n.化石；食古不化的人；守旧的事物
mommy|n.妈咪; =mummy(美).
evaporate|v.蒸发；失去水分；消失
lip|n.嘴唇；唇状物; v.接吻；说话；拍打
hillside|n.山腰；山坡
adaptation|n.改编；改编成的作品；适应；【心】（感官）适应，适应性变化
stump|n.残株；烟蒂；讲演台; v.受窘；踏步；演说
par|n.同等；等位；常态；票面价值；[体]标准杆数; adj.票面的；平常的；标准的
autobiography|n.自传
grader|n.分类机；(中小学的)...年级学生
carnival|n.嘉年华会；狂欢节
ure|抱朴说
yell|v.大叫; n.大喊
crab|n.蟹；阴虱；爱争吵的人；[植]山楂子; v.捕蟹；使横行；批评；抱怨
newt|n.蝾螈
flipchart|翻转图
fancy|adj.华丽装饰的；复杂的；引人注目的；时髦的；昂贵的；好的; n.喜爱；幻想；想像力; vt.想象；希望；迷恋
daylight|n.日光；白昼；黎明
farther|adj.更远的；较远的; adv.更远地；进一步地
chestnut|n.栗子；栗树；栗色；栗色马；陈词滥调；七叶树；马的胼胝; adj.栗色的
oxpecker|n.[鸟]黄嘴(或红嘴)牛椋鸟
mu|n.希腊字母第12个字母
clash|n.冲突；抵触；撞击声; vt.使…发出撞击声; vi.引起冲突
emitters|灌水器
seagrass|n.海草
coastline|n.海岸线
clarify|vt.澄清；阐明；净化
footprint|n.脚印；足迹
screw|n.螺钉；螺丝；螺状物；螺旋桨；螺旋；吝啬鬼；监狱看守人；性交；工资；薪水; v.拧紧；拧；压榨；性交
reread|vt.重读；再读
salmon|n.鲑；大马哈鱼；橙红色的
jail|n.监牢；监狱；拘留所; vt.监禁；下狱
unsafe|adj.不安全的；危险的；靠不住的
migrate|vi.迁移；迁徙；转移
cumulus|n.积云；堆积
drip|n.滴；点滴；乏味的人; v.滴下；漏出
larva|n.幼虫；幼体
glasshouse|n.温室；暖房
erupt|v.爆发；喷发；发疹
inset|n.插入物；插页；插图; v.嵌入
finis|n.终结；结束
brainstorm|n.好主意；脑猝病; v.集思广益
germination|n.发芽；萌芽；共生；晶核化
horn|n.喇叭；触角；角质；号; v.强行介入
tangle|n.缠结；混乱；纠纷; vt.使缠结；使混乱；使陷入; vi.纠缠；乱作一团；吵架；争论
concepts|概念
toss|n.投掷；震荡; v.投掷；摇荡；辗转
inquiry|n.调查；询问；打听；查问; =enquiry(英).
hail|n.冰雹; vi.下冰雹; vt.招呼；喝彩；宣称；来自; n.欢呼
higher|adj.更高的；高等的
telegraph|n.电报；电报机; vt.打电报；显示
coaster|n.杯垫；小托盘；惯性运转装置；沿海航行船
interested|adj.感兴趣的；有利害关系的
statues|现状
cub|n.幼兽；年轻人
amphibian|adj.两栖类的；水陆两用的; n.两栖动物；水陆两用飞机；水陆两用车
shop|n.商店；车间; v.逛商店；购物；买东西
tal|n.轻打
sweetie|n.情人；爱人；好心人；甜的糕饼类
embarrassing|adj.令人为难的；尴尬的
tere|[医]研摩(调剂用词)
ace|n.幺点；好手；高手；发球得分; adj.一流的；卓越的; vt.发球得分；考试中取得好成绩
woolly|adj.毛茸茸的；羊毛制的；混乱不清楚的; n.羊毛制品；羊
glossary|n.词汇表；术语汇编
interactive|adj.相互作用的；交互的
