lure|vt.诱惑；吸引; n.诱惑；吸引力；饵
heave|v.用力举起；抛出；扔；恶心；（费力地）发出（叹息等）; n.举；抛；起伏
hike|n.徒步旅行；远足；涨价; vi.远足；提高
jerk|v.急动；猛拉; n.猛拉；急动；笨蛋；蠢人; adj.颠簸不稳的
lag|v.落后；减退；缓慢进行; n.落后；时间间隔
hem|n.褶边; vt.缝边；包围；约束
lousy|adj.多虱的；可鄙的；差劲的; adj.【口】大量的（通常指不好的事物）
mysteriously|adv.神秘地；故弄玄虚地
homecoming|n.归国；回家；返校节
scram|n.急停；急离；紧急刹车; v.快走开
cocoon|n.茧；茧状物; v.包围；包裹
horizon|n.地平线；眼界；范围
liberate|v.解放；使获得自由；释出；放出
harpy|n.残酷贪婪的人；恶妇人; Harpy.; n.[希神]哈耳皮埃(鸟身女妖)
helplessly|adv.无能为力地；无助地
holler|v.叫喊；发牢骚; n.叫喊；怨言
compliant|adj.适用的；顺从的
kaboom|背着网接团身后空翻
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
craggy|adj.多峭壁的；棱角分明的
necked|v.颈缩(冲槽); adj.压缩的
hideous|adj.丑陋的；可怕的；可憎的；令人惊骇的
humbly|adv.恭顺地；谦卑地
thud|n.重击声；砰的一声; v.发出砰的一声
cope|vi.应付；对抗；妥善处理; vt.笼罩；盖上斗篷; n.长袍；斗篷状物
jogging|n.慢跑
lovingly|adv.钟情地；深情地
cracking|n.分裂；分解; adj.很快的；很好的；很美的; adv.很快地；很好地；很美地
luck|n.运气；幸运；侥幸; v.侥幸成功；走运
neatly|adv.整洁地；熟练地
henceforth|adv.今后，此后
unmarried|adj.未婚的；独身的; n.未婚者
hourglass|n.时漏；砂漏；水漏
squeaky|adj.吱吱响的；发轧声的；短促尖声的
mangle|v.碾压；损坏；糟蹋；乱切; n.碾压机
lowness|n.低；下贱；粗鄙
tread|n.步法；踏面；胎面花纹；鞋底; v.踩；行走；践踏；(鸟类)交配
muse|v.沉思；冥想; n.沉思；[大写]（希腊神话）缪斯；艺术家的灵感；诗人
compartment|n.间隔；个别室；卧车包房; vt.划分
tone|n.语气；音调；调子；色调；风气; v.使更健壮；定调；调色；装腔作势地说
hood|n.头巾；兜帽；遮罩；引擎盖; vt.覆盖
huddle|n.杂乱一团；混乱；拥挤; v.推挤；乱堆；草率了事
desperation|n.绝望；铤而走险
composed|adj.镇静的；沉着的；由…组成的
horror|n.恐怖；战栗；厌恶；震惊; adj.恐怖的
hie|v.快走；赶紧；催促
lunge|n.刺；刺进；跃进; v.猛向前冲；踢；刺出
momentous|adj.重要的；重大的
dribble|vt.使...慢慢流下；运球；细流；流口水; n.少量；细流
mug|n.脸；杯；一杯的量；恶棍; v.打劫；突击学习
moonlight|n.月光; v.兼职; adj.夜间的
jaw|n.颚；颌；下巴；钳口；说教; v.喋喋不休；教训
splash|n.溅泼（声）；溅泼的量；溅污的斑点；骚动；少许; v.溅（湿）；报道
nights|adv.每晚；在夜晚
intercept|n.截取；妨碍；截距; vt.拦截；阻止
girdle|n.腰带；围绕物; vt.以腰带束缚；在...周围绕
mule|n.骡子；固执的人；走私毒品者; n.拖鞋
muddy|adj.泥泞的；浑浊的；糊涂的; v.使沾上烂泥；使...混浊；使迷惑
eagerly|adv.渴望地
wink|n.眨眼；使眼色；瞬间; v.眨眼；使眼色；闪烁
jigsaw|n.拼图游戏；缕花锯；竖锯; vt.用竖锯锯；使互相交错搭接
myth|n.神话；虚构的故事
cower|v.畏缩；退缩；抖缩
conserve|n.蜜饯；果酱; v.保存；保持；节省；用糖保存
headquarters|n.总部；司令部；指挥部
happier|adj.更快乐的；更幸福的
lifeboat|n.救生船
lease|n.租约；租契；租期; vt.出租；租得
mankind|n.人类；男人
mishap|n.不幸之事；灾祸；恶运
nonstop|adj.直达的；不断的；不间断的; adv.直达地；不间断地; n.直达车；直达行驶
jealous|adj.妒忌的；羡慕的；嫉妒的
ichor|n.[希神]灵液；[医]脓水
combination|n.结合；结合到一起的事物或人；密码
hiccup|n.打嗝；暂时性的小问题; vi.打嗝; =hiccough.
mist|n.雾；迷蒙；朦胧不清; vt.使…模糊；蒙上雾; vi.使模糊；下雾
click|n.咔嗒声；[计]点击; v.（使）发出咔嗒声；点击
needlepoint|n.针尖；针绣花边
hooded|adj.戴头巾的；有兜帽的；有罩盖的；[动]有冠顶的
reunion|n.团聚；联合
ire|n.愤怒
helpless|adj.无助的；无依靠的
mansion|n.大厦；宅邸；公寓
lees|n.沉淀物；渣滓
misfortune|n.不幸；灾祸
fling|vt.投；粗暴地推向...；猛冲；激动地说；全身心投入; n.投掷；一时的行乐；漫不经心的一段(尝试或感情); vi.急冲；(动物)猛跳
imperceptibly|adv.极微小地；逐步地
harrumph|n.哼声；鼻息; v.发哼声
immortal|adj.不朽的；永世的; n.不朽的人物；神
dwell|vi.居住；存在；冥想；详细阐述
mutter|v.咕哝；抱怨；低语; n.嘟哝；抱怨；低语
clockwise|adj.顺时针方向的; adv.顺时针方向地
conquer|vt.征服；克服；战胜; vi.得胜
medaled|adj.接受奖章的；佩带徽章的
disgust|n.厌恶；憎恶；反感; vt.使厌恶；使作呕
goodwill|n.善意；亲切；友好；商誉；信誉
weary|adj.疲倦的；厌烦的; v.疲倦；厌烦；生厌
ultimate|adj.根本的；极限的；最后的；终极的; n.终极；极品；根本
devil|n.魔鬼；淘气鬼；坏人；家伙；棘手的事; vt.困扰；添加辣味调料；给...做助手
jealousy|n.妒忌
