nap|n.小睡；绒毛；纳普牌; vi.打盹；疏忽
thoughtful|adj.深思的；体贴的
jab|v.刺；戳；猛击; n.戳；刺；猛击; 注射
scoreboard|n.记分板
travelers|旅游者
stingy|adj.吝啬的；小气的
tug|n.用力拉；拖船; v.用力拉
donkey|n.驴；愚蠢的人
crimes|犯罪
sneak|vt.偷偷摸摸做; vi.偷偷地走；偷偷地做; n.鬼鬼祟祟的人；潜行；溜; adj.出其不意的；暗中进行的
invincible|adj.不可征服的；不能战胜的
sickle|n.镰刀
boar|n.野猪；公猪
eerie|adj.怪诞的；可怕的；奇异的；害怕的
technically|adv.技术上；学术上；严密地
unfold|v.展开；开放；显露
luckily|adv.幸运地；幸亏地
sternly|adv.严格地；严肃地；坚定地
teamwork|n.合作；协同工作
stygian|adj.地狱的；阴暗的；幽暗的；冥河的
lowly|adj.地位低的；卑下的；谦卑的; adv.位置低下地；低声地；谦逊地
declaration|n.宣言；宣布；申报
librarians|图书馆员
halfway|adj.中途的；不彻底的; adv.半路地；在…中间；折中地
spikes|pl.钉鞋
shining|adj.光亮的；华丽的
graveyard|n.墓地；废弃场地
torrent|n.激流；山洪；(谩骂、质问等的)连发，爆发
correlation|n.相互关系；相关；关联
fog|n.雾；朦胧；迷惑; v.以雾笼罩；使模糊；迷惑
shrine|n.圣地；神龛；庙; v.将...置于神龛内；把...奉为神圣
splashing|喷洒,泼洒
stomp|vt.跺（脚）；重踏; n.跺脚舞；顿足爵士舞乐曲
thump|v.重击；怦怦跳；猛击；用拳头打; n.重击声；重打
shiver|v.颤动；发抖; v.打碎; n.冷颤；哆嗦; n.碎块
thee|pron.[古]你；汝；你自己
secretly|adv.秘密地；背地里
supervisor|n.监督人；主管人；管理人；督学；检查员；导师
statue|n.雕像；塑像
thaw|n.融雪; v.使融解；暖和
stadium|n.体育场；运动场；[生]期
slime|n.烂泥；黏液; v.涂上黏泥
sturdy|adj.强健的；坚固的；坚决的
hint|n.暗示; v.暗示；示意
togetherness|n.相聚；在一起；和睦
ivory|n.象牙；乳白色
boast|v.自夸；吹牛；以...为荣; n.自夸；引以为荣的事物
squire|n.护卫；侍从；乡绅；大地主; v.侍从；护卫
speeding|adj.高速行驶的; n.超速行驶
smelly|adj.难闻的；臭的
tremendous|adj.巨大的；惊人的
self|n.自己；本性；自我; pron.我自己；你自己；他或她自己; adj.始终如一的；同一类型的；性质不变的; v.近亲繁殖；自花授粉
stir|vt.激起；惹起；搅和; vi.活动；引起；挪动; n.骚乱；感动(激动；愤怒或震动)；搅拌
merry|adj.愉快的；欢乐的；微醉的
sorceress|n.女魔法师；女巫
homemade|adj.自制的；国产的
thinker|n.思想者；思考者
stumble|v.绊倒；蹒跚；犯错误；无意中发现; n.绊倒；错误
skim|vt.撇去；略读；掠过；滑过; vi.掠过；表面凝结；瞒报; n.浮沫；略读；脱脂物
throne|n.王位；君主
remedy|n.治疗法；药物；补救; vt.治疗；补救；矫正
proudly|adv.傲慢地；自大地；得意洋洋地
pup|n.小狗；小海豹；小伙子
stitch|n.一针；疼痛；碎布条; v.缝合
spectator|n.观众；旁观者
trapdoor|n.地板门；活板门；活盖
accurately|adv.准确地；精确地
flexible|adj.柔韧的；灵活的；易弯曲的；可变通的
auto|n.汽车; pref.自动的; v.乘汽车
anytime|adv.任何时候；总是，无例外地
surgery|n.外科手术；外科；诊所；手术室
shiner|n.发光物；发光体；银色小鱼；黑眼眶
trauma|n.创伤；外伤
splashdown|n.在海中降落
scurry|v.小步疾走；急赶; n.快跑声；疾走
spiro|n.螺
tetanus|n.破伤风
tremble|n.战悚；颤抖; v.发抖；忧虑；震颤
galaxy|n.银河；星系；一群杰出的人
rusty|adj.生锈的；荒废的；锈色的
sludge|n.泥泞；淤泥；泥状雪
hardworking|adj.努力工作的；勤奋的
knuckle|n.指关节；膝关节；肘形接头；铰链连接; v.以指节压；屈从；开始努力工作
shore|n.岸；滨
sleeve|n.套管；袖子
non|adv.[拉]非；不是
scrawny|adj.瘦的；骨瘦如柴的
textbooks|教材
slapping|adj.出奇地快；巨大的；极好的; adv.极快地；非常地
spectacle|n.景象；场面；奇观；壮观；公开展示；表相，假相; n.（复）眼镜
bunny|n.小兔子
thou|pron.[古]你；尔；汝
lavender|n.熏衣草；淡紫色; vt.用薰衣草薰香
tide|n.趋势；潮流；潮汐；潮水; v.渡过；（使）随潮漂流
sorts|n.种类; 分类.
sometime|adj.以前的; adv.改天；来日；某时
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
strainers|过滤器
troop|n.群；组；军队；大量; vi.群集；结队；成群前行
stratosphere|n.平流层；高层次；最高阶段
