cactus|n.仙人掌
northwest|n.西北；西北方; adj.西北的；在西北的；来自西北的; adv.向西北
grandchild|n.孙儿；孙女
referee|n.裁判员；仲裁人；鉴定人；证明人; v.裁判；仲裁
lime|n.石灰；粘鸟胶; n.酸橙；酸橙树; vt.施石灰；涂上粘性物质；沾上粘鸟胶; adj.石灰的
outbreak|n.爆发；暴动
landscape|n.风景；风景画；山水；[计]横向; v.美化景观
ecosystem|n.生态系统
segregationist|n.隔离主义者
tummy|n.肚子；胃
lunar|adj.月亮的；阴历的；银的
kindergarten|n.幼儿园
thunderstorms|雷暴
taffy|n.太妃糖；献媚; Taffy; n.威尔士佬
import|n.进口；意义；进口商品; v.进口；输入
clover|n.三叶草；苜蓿
locally|adv.在本地；地方性地；局部地
kemp|n.粗毛
nutrient|adj.营养的；滋养的; n.营养物；营养品
podiums|裙房
incredible|adj.难以置信的；惊人的
reporter|n.记者
roadway|n.车行道
disposable|adj.可任意处理的；一次性的; n.用完即可丢弃的东西
fearful|adj.担心的；可怕的；非常的
triple|adj.有三部分的；三倍的; v.（使）成三倍; n.三个一组；三倍之数；（垒）三垒打
inspire|vt.鼓舞；激发；产生；赋予...灵感; vi.吸入
boyhood|n.少年时代
archipelago|n.群岛；多岛海
drive-in|adj.免下车的; n.顾客无需下车即可得到服务的餐馆
calla|n.水芋；荷兰海芋；马蹄莲
holy|adj.神圣的；圣洁的；令人敬仰的
curly|adj.卷曲的
thirty-three|n.三十三；慢转唱片; adj.三十三的; pron.三十三
redistricting|[美]重划学区
according|adv.根据；按照; adj.相符的，一致的，相应的；和谐的，调和的
reflection|n.倒影；反射；反映；沉思；考虑
straw|n.稻草；吸管；麦杆；不值钱的东西; adj.用稻草做的；麦杆色的；无价值的；像稻草人的；非正式民意测验所发现的
rio|n.里约热内卢; =RIODEJANEIRO.
adoption|n.采用；采纳；收养
slush|n.软泥(油灰；水泥沙浆；脂膏)；融雪; v.灌泥浆于(涂敷糊料；减水作用；溅湿)
economics|n.经济学
bay|n.海湾；月桂树；隔间；犬吠；【计】机架，底板; vi.嗥叫；哀号; adj.红棕色
withdrawal|n.撤退；退回；取消
sugarloaf|n.棒状糖；圆锥形的帽子；研钵状的山
medicinal|adj.药物的；有药味的；治疗的；医学的
classical|adj.古典的；权威的；传统的；正统的
tease|n.揶揄者；戏弄; v.欺负；嘲弄
redrawing|拔丝,反拉力拉丝,再拉拔
founder|n.创立者; v.摔倒；失败；沉没；弄跛
faster|adj.更快的; adv.更快地
hamster|n.仓鼠
caregiver|n.看护者
blueberries|蓝莓
pests|害虫
chronicle|n.年代记；记录；编年史
poop|n.舵楼；船尾；粪便；内幕; vt.使疲倦；船尾受击; vi.排便
nematodes|线虫类
cherry|n.樱桃；樱桃树；樱桃色；处女膜
explorer|n.探测者；探险者
fudge|n.软糖；胡言; v.敷衍；回避(责任)；捏造
rima|n.细长之口；裂缝
invade|v.侵略；拥入；侵害；侵扰
coalition|n.结合；联合；联盟
shield|n.盾；盾状物；防卫物; vt.保护；庇护
shave|v.刮；剃；修剪；掠过；削减; n.剃须；修面；剃刀
mammal|n.哺乳动物
peelings|n.剥下的皮；削下的皮
thriving|adj.繁荣的；旺盛的；兴旺的
organic|adj.器官的；有机的；有组织的；根本的；接近自然的; n.有机物质
autonomously|adv.自律地；自治地
laser|n.激光；镭射
flop|v.啪嗒啪嗒地动；笨重地摔；猛落；失败; n.砰然落下；失败; adv.噗地一声
protective|adj.保护的；防卫的
loop|n.环；圈；回路；环形线路; vt.以圈结；以环连结；使...成环（圈）; vi.形成环；环形运动
footage|n.【U】以尺计算长度；尺数；连续镜头
rancho|n.牧场工人住的棚屋；牧场
landfill|n.垃圾填埋地；垃圾填埋法; vt.在垃圾填埋地上处理
fast-food|adj.快餐的; n.快餐
chromosomes|同源染色体
sugarcane|n.甘蔗
gerrymander|vt.为己党利益擅改选区; n.不公正划分选区
volcano|n.火山
microbiologist|n.微生物学家
priest|n.教士；神父；牧师；僧侣；泰斗
backward|adj.向后的；落后的; adv.向后
monsters|怪物
clippings|剪下的碎边
locust|n.蝗虫；洋槐；刺槐
semifinals|半决赛
microorganisms|微生物
absorb|vt.吸收；吸引...的注意；吞并；承受
peanut|n.花生；渺小的人或物
elk|n.麋；驼鹿；软鞣粗皮
catcher|n.捕手；接球员；捕捉者；捕捉器
consume|v.消耗；吃喝；毁灭
nickname|n.绰号；昵称; v.给...取绰号
barbershop|n.理发店; adj.四重唱的；无伴奏重唱的
rainbow|n.彩虹；五彩缤纷的排列；幻想
mango|n.芒果
hawk-eye|鹰眼
disobedience|n.不服从
nut|n.坚果；果仁; n.螺母；螺帽；难对付的人(事); vi.采坚果
melt|vi.融化；熔化；消散; vt.使融化；使熔化；使消散; n.熔化物；融化；熔解
gigahertz|n.[电]十亿赫兹；千兆赫
fast-breaking|adj.迅速展开的；迅速发生的
grizzly|adj.灰(白)色的；灰白的; n.灰熊；格筛
filibuster|n.妨碍议事；妨碍议事者；掠夺兵；海盗; v.阻挠议案通过；掠夺
entertain|v.娱乐；使有兴趣；招待；考虑；抱有；容纳
numerals|数码
chomp|v.大声地咀嚼；反复咀嚼; n.有力的咀嚼
cataria|[医]樟脑草(潞州荆芥)
amendment|n.修正；修正案；改进
poi|n.夏威夷芋泥饼
approved|adj.经核准的；被认可的
raisin|n.葡萄干
barber|n.理发师; vi.当理发师; vt.给…理发；修剪
sewage|n.污水；污物
invisible|adj.看不见的；无形的; n.隐形人(或物)
hotter|adj.更热的；更热烈的
