demi|pref.半
huddle|n.杂乱一团；混乱；拥挤; v.推挤；乱堆；草率了事
muse|v.沉思；冥想; n.沉思；[大写]（希腊神话）缪斯；艺术家的灵感；诗人
widen|vt.加宽；使变宽；扩大; vi.变宽
triumphantly|adv.胜利地；得意洋洋地
realm|n.领域；王国
stratosphere|n.平流层；高层次；最高阶段
rightfully|adv.正直地；正当地
outsmart|v.比...更聪明；智胜
medaled|adj.接受奖章的；佩带徽章的
spikes|pl.钉鞋
unbeatable|adj.难以战胜的；竞争不过的；无敌的；无与伦比的
shrine|n.圣地；神龛；庙; v.将...置于神龛内；把...奉为神圣
woodsy|adj.森林的；像森林的
upwind|adv.逆风的; adj.逆风的
smelly|adj.难闻的；臭的
amazement|n.惊愕；惊异
retired|adj.退休的；退役的
henceforth|adv.今后，此后
grin|v.露齿而笑；(以咧嘴笑来)表示; n.露齿笑；咧嘴笑
whopper|n.特大之物；弥天大谎
churn|n.搅乳器; v.搅拌；搅动；翻腾；〈口〉粗制滥造
underworld|n.黑社会；下层社会；阴间；地球
demon|n.魔鬼；恶魔；精力充沛的人；高手
blade|n.刀刃；刀锋；桨叶；叶片
cower|v.畏缩；退缩；抖缩
elegant|adj.优雅的；雅致的
scattered|adj.分散的；稀疏的
roars|n.怒吼
hood|n.头巾；兜帽；遮罩；引擎盖; vt.覆盖
plead|v.辩护；恳求；提出借口；认罪
burial|n.埋葬；葬礼；坟墓
ugliness|n.丑陋
avenge|vt.为...报复；报仇
necked|v.颈缩(冲槽); adj.压缩的
doggy|n.小犬；小狗（=doggie）; adj.爱狗的；像狗一样的；摆阔的；低级的
fisherman|n.渔夫；渔船
goatskin|n.山羊皮
lag|v.落后；减退；缓慢进行; n.落后；时间间隔
strainers|过滤器
conserve|n.蜜饯；果酱; v.保存；保持；节省；用糖保存
whinny|n.马嘶声；嘶声; v.嘶；以嘶声表示
thinker|n.思想者；思考者
odor|n.气味；名声；气息
brewski|n.啤酒；一瓶啤酒
visibility|n.能见度；可见性
rotten|adj.腐烂的；腐朽的；极坏的；讨厌的; adv.非常
wrestle|v.摔跤；斗争；努力解决；斟酌; n.摔跤比赛；格斗
dominion|n.统治；主权；领土; Domimion：.; n.英联邦的自治领土
demotic|adj.平民的；民众的；通俗的
thou|pron.[古]你；尔；汝
harpy|n.残酷贪婪的人；恶妇人; Harpy.; n.[希神]哈耳皮埃(鸟身女妖)
scoot|v.急走; n.急走；迅速跑开
luck|n.运气；幸运；侥幸; v.侥幸成功；走运
ceiling|n.天花板；上限
togetherness|n.相聚；在一起；和睦
disgusting|adj.令人厌恶的
homecoming|n.归国；回家；返校节
frontal|adj.前的；正面的；额的; n.额饰；祭坛前面的罩巾；建筑物的正面；三角门楣
disk|n.圆盘；唱片；花盘；磁盘；盘形物
privacy|n.隐居；隐私；秘密；私生活
cope|vi.应付；对抗；妥善处理; vt.笼罩；盖上斗篷; n.长袍；斗篷状物
ness|n.岬；海角
olive|n.橄榄；橄榄树；橄榄色; adj.黄褐色的；橄榄色的
romantic|adj.浪漫的；不切实际的; n.浪漫的人
hourglass|n.时漏；砂漏；水漏
drape|n.布帘；褶皱; v.用布帘覆盖；（使）呈褶裥状；悬挂
vase|n.花瓶
lure|vt.诱惑；吸引; n.诱惑；吸引力；饵
sandal|n.凉鞋; n.檀香木
whirlpool|n.漩涡; Whirlpool.; n.惠尔普（美国电子电气公司)
mangle|v.碾压；损坏；糟蹋；乱切; n.碾压机
overthrow|v.推翻；打倒；颠覆；[体]高投; n.推翻；瓦解；颠覆；[体]高投
cracking|n.分裂；分解; adj.很快的；很好的；很美的; adv.很快地；很好地；很美地
vial|n.小瓶；药水瓶; v.把...放入小瓶中
peg|n.钉；支柱；借口; vt.钉木桩；扔; vi.努力工作；匆忙走
self|n.自己；本性；自我; pron.我自己；你自己；他或她自己; adj.始终如一的；同一类型的；性质不变的; v.近亲繁殖；自花授粉
rejoice|v.（使）高兴；（使）欢喜
thump|v.重击；怦怦跳；猛击；用拳头打; n.重击声；重打
ripples|皱纹,纹波,涟漪
