blacksmithing|n.锻造，手工锻造
salsa|n.沙司(墨西哥食物中辣调味汁); n.萨尔萨舞曲
wit|n.智力；才智；机智；风趣; v.知道；即
tremble|n.战悚；颤抖; v.发抖；忧虑；震颤
witch|n.女巫；巫婆; vt.施巫术; vi.用神杖发现地下水源或矿物
click|n.咔嗒声；[计]点击; v.（使）发出咔嗒声；点击
neatly|adv.整洁地；熟练地
wildly|adv.狂热地；激动地；剧烈地；轻率地；鲁莽地
arc|n.弧；弧形物; vi.形成电弧；按弧形轨迹行进
ambrosia|n.神的食物；特别美味的食物
savory|adj.美味可口的；香辣的；令人愉快的；体面的; n.香薄荷; =savoury(英).
torrent|n.激流；山洪；(谩骂、质问等的)连发，爆发
peppy|adj.精神充沛的；活泼的
cigar|n.雪茄烟
footed|adj.有脚的；...脚的
gross|adj.总的；粗鲁的；公然的；荒唐的；令人讨厌的; n.总量；总额; vt.总共赚得; adv.总共地
horizon|n.地平线；眼界；范围
lovingly|adv.钟情地；深情地
stir|vt.激起；惹起；搅和; vi.活动；引起；挪动; n.骚乱；感动(激动；愤怒或震动)；搅拌
scrawny|adj.瘦的；骨瘦如柴的
faint|adj.微弱的；无力的；模糊的; v.昏倒; n.昏厥；昏倒
lease|n.租约；租契；租期; vt.出租；租得
scoop|n.铲子；勺；舀取；穴；独家新闻; vt.挖空；舀取；抢先报道（获得）
bestow|v.授予；给予；使用；放置
rightly|adv.正当地；公义地；正确地
foul|adj.恶臭的；邪恶的；污秽的；恶劣的；犯规的; n.犯规; v.弄脏；妨碍；犯规
bang|n.巨响；重击；刘海; v.重击；大声敲；剪成刘海；突然巨响; adv.正好地；准确地
arrow|n.箭；箭头
aphrodite|n.北美豹蝶; Aphrodite.; n.阿佛洛狄忒（爱与美之女神）
sorceress|n.女魔法师；女巫
peep|n.瞥见；偷看；初现; n.吱吱叫; v.窥视；慢慢露出; v.吱吱叫
stygian|adj.地狱的；阴暗的；幽暗的；冥河的
compartment|n.间隔；个别室；卧车包房; vt.划分
hideous|adj.丑陋的；可怕的；可憎的；令人惊骇的
bog|n.沼泽; v.使...陷于泥沼；陷于困境
badminton|n.羽毛球
hiccup|n.打嗝；暂时性的小问题; vi.打嗝; =hiccough.
sludge|n.泥泞；淤泥；泥状雪
craggy|adj.多峭壁的；棱角分明的
uphill|adv.上坡地；向上地; adj.上坡的；向上的；费力的; n.上坡
