visit|v.拜访；参观；闲谈; n.拜访；参观；聊天
western|adj.西方的；西洋的；西部的; n.西方人；西部片；西部小说
unable|adj.不能的；不会的
wood|n.木材；木头；树林
vocabulary|n.词汇；词汇量
wet|adj.湿的；雨天的；懦弱的; n.潮气；雨天; vt.(使)弄湿
uncle|n.伯；姑父；舅；叔；姨父
word|n.单词；消息；话语；诺言; v.用词语表达
voice|n.声音；嗓音；[语]语态；发言权；意见; vt.表达；[语]发音；[音]调音
whale|n.鲸; vi.捕鲸; v.打击
uncomfortable|adj.不舒服的；不自在的
work|n.工作；职业；工作内容；职责；活计；工作所需的材料；工作地点；努力；工作成果；行为结果；作品; v.工作；做事；使工作；争取；管理；运行；操作；奏效；产生…影响；造成；抽搐；逐渐移动; [复]works：工厂；修建；机器部件；全套物品
volleyball|n.排球；排球运动
what|pron.什么; adj.什么；哪个; adv.用于感叹句中; int.什么
under|prep.低于；在...下；在...内；在...控制下; adv.在昏迷中；在...下; adj.下面的；从属的；少于的
world|n.世界；地球；世人；世间；领域; adj.世界的
volunteer|n.志愿者；(自行生长的)植物; v.(自愿)做
whatever|pron.无论什么；任何事物; adj.不管怎样的；所有的；丝毫的
underground|adj.地下的；秘密的; adv.在地下；秘密地; n.地下；地铁；地道；秘密活动
worldwide|adj.全世界的; adv.在全世界
wait|v.等；等待; n.等待；等候
wheat|n.小麦；小麦色
understand|v.懂得；明白；理解；认识到；听说；获悉
worry|vt.撕咬；使烦恼；使焦虑; vi.担心；发愁; n.担心；烦恼；忧虑
wheel|n.方向盘；车轮；旋转；周期; vi.旋转；转动；改变方向; vt.用车运；转动；给...装轮子
waiter|n.侍者；(男)服务员
underwater|adj.在水中生长的；水下的; adv.在水下
worse|adj.更坏的；更差的；更严重的; adv.更坏；更差; n.更坏的事物
when|adv.什么时候；当...时; conj.然后；可是；当...时; pron.什么时候; n.时间
wake|v.醒来；唤醒；意识到; n.航迹；守夜
unfamiliar|adj.不熟悉的
worst|adj.最坏的；最差的；最不利的; n.最坏的事物; adv.最坏；最差; 形容词bad或ill的最高级.
walk|v.步行；陪...走；散步；偷走；走过; n.步行；散步；人行道
whenever|adv.无论何时; conj.每当；无论何时；随时
unfriendly|adj.不友好的；不利的
worth|n.价值；财富; adj.值得的；值钱的
wall|n.墙壁；垣；墙状物; v.围住；隔开；演戏般地转动(眼睛)
whether|conj.是否；不管；无论
unhappy|adj.不快乐的；不高兴的；不幸福的；不满的
wound|n.创伤；伤害；伤口; v.伤；伤害；缠绕（动词wind的过去式和过去分词）
wallet|n.皮夹；钱包
unhealthy|adj.不健康的；有害健康的；病态的或不正常的
which|adj.哪一个；哪一些; pron.哪一个；哪些
write|v.写；书写；填写；作曲
want|v.要；想要；通缉; n.缺乏；贫穷；需求品
uniform|n.制服; adj.一致的；统一的
while|conj.当...的时候；虽然；尽管；然而; n.一段时间；一会儿; v.消磨
writer|n.作者；作家
unimportant|adj.不重要的
war|n.战争；斗争; v.作战；斗争
white|adj.白色的；纯洁的；白种的；加牛奶的; n.白色；白种人
wrong|adj.错误的；有毛病的；不适当的；不道德的; adv.错误地; n.不义行为；坏事；犯罪；欺骗；错误；不公正; v.冤枉；不公正地对待
warm|adj.温暖的；暖和的；热情的; v.变暖；使暖和; n.温暖的空气
unit|n.单元；单位；部件；组件
who|pron.谁; abbr.世界卫生组织(=WorldHealthOrganization)
university|n.大学
warn|vt.警告；告诫；预先通知; vi.发出警告
whole|adj.全部的；整体的；完整的; n.全部；整体；完整; adv.完全
yang|n.阳（与阴相对）; Yang.; n.杨（姓氏）
unless|conj.除非；如果不; prep.除...外
wash|n.洗；洗涤; v.洗；洗涤；洗清
whom|pron.[who的宾格]谁
yard|n.院子；庭院; n.码(长度单位)
waste|n.废物；浪费；荒地; v.浪费；滥用；消耗; adj.荒芜的；无用的；浪费的
unpleasant|adj.使人不愉快的；讨厌的；不合意的；不友好的，粗鲁的
whose|pron.谁的; adj.谁的
yeah|adv.是
watch|v.注视；看守；观看; n.手表；监视；看守；值班
until|prep.直到...的时候；在...以前；直到…为止; conj.直到...时候才...；在...之前；直到...的程度；直到…为止
why|adv.为什么; conj....的理由；为什么; int.咳；哎呀; n.理由；谜
year|n.年；年度；年龄；学年
unusual|adj.异常的；独特的；与众不同的
wide|adj.广泛的；广阔的；睁得大的；渊博的；偏离目标的; adv.张的很大地；广阔地；没有完全获胜把握
water|n.水；海域；雨水；海水; v.给...浇水；给...供水；加水稀释；充满眼泪；给...水喝
yellow|adj.黄色的; n.黄色；蛋黄；黄种人; v.（使）变黄
watermelon|n.西瓜
up|adv.向上；起来；上升；往上; prep.向上; adj.向上的；上行的; n.上升; v.上升；增加
wife|n.妻子；夫人
yes|adv.是；是的; n.是（表示肯定）; v.对…说是
upon|prep.在...上；紧接着；逼近
wave|n.波浪；波纹；波; v.挥动；飘动
wild|adj.野生的；野蛮的；未开发的；狂热的; adv.胡乱地；失去控制地; n.荒野；荒地
yesterday|n.昨天；近来; adv.昨天；近来
upset|adj.心烦的；苦恼的；不安的；不适的; v.推翻；翻倒；颠覆；打乱；使心烦; n.混乱；推翻
