happy|adj.幸福的; 快乐的; 巧妙的; 〈口〉有点醉意的
valley|n.山谷; （尤指）溪谷
wife|n.妻子; 已婚妇女
dollar|n.元（美国等国的货币单位）; 一元（纸币或硬币）
private|adj.私用的; 私营的; 个人的; 秘密的; 私人的; 隐私的; 僻静的; 内敛的; 间接收入的; n.列兵; 私处
hen|n.母鸡; 雌禽
travel|n.旅行; 进行; 移动; 漫游; vi.旅行; 传送; 前进，行进; [篮球]走步; vt.经过，通过; 游历
December|n.十二月
November|n.十一月
May|n.五月
June|n.六月
July|n.七月
March|n.三月
labor|n.劳动; 努力; 工作; 劳工; v.努力争取(for); 苦干; 详细分析; adj.劳工的，工会的; （常大写）（英国或英联邦国家）工党的; vi.（指引擎）缓慢而困难地运转
west|adj.西部的; 西风的; adv.向西; …以西; n.西方; 西部; 西方国家
instance|n.例子，实例; 情况; 要求，建议; [法]诉讼手续; vt.举…为例
business|n.商业，生意; 商务，公事; 业务量，营业额; 商业机构，企业，商店; 职责; 要点; 事情; 消费
girlfriend|n.女朋友; 女伴
people|n.人，人类; 居民; 人民; 种族; vt.居住于，布满; 使住满人，在…殖民; 把动物放养在
ugly|adj.难看的; 丑陋的; 有敌意的; 不祥的
suggest|v.建议; 推荐; 表明; 暗示
slide|v.滑动; 悄悄地溜到; 不自觉地陷入…; 贬值; n.降低; 滑行; 幻灯片; 载玻片; 滑梯; 山崩; 拉管
course|n.课程，讲座; 航向; 方针; 行为方式; 进程; 疗程; 一道菜; 高尔夫球; 比赛场地; 泳道; 江河流向; 河道; 层; v.快速流动
topic|n.话题
review|n.评审，检查; 评论; 回顾; 检阅; 复习课; v.审核，复查; 回顾，反思; 评论; 检阅（部队）; 复习
divide|v.（使）分开; 分配; 除以; 分隔; （使）产生分歧; n.明显差异; 分界线，分水岭
restaurant|n.饭店，餐馆
correct|adj.正确的; 恰当的; 符合公认准则的; 得体的; v.改正，纠正; 批改，修改; 指出错误
should|应该; 将会; 可能; 本应
treat|v.对待，看待; 治疗; 处理; 请客，招待; n.请客，做东; 乐趣
heaven|n.天; 天堂; 上帝; 极乐
still|adv.仍然; 不过; 更; adj.静止的; 不起泡的; n.剧照; 平静
season|n.季节，季; 时期; 活动期，时令; 暂时; vt.使适应，使适用; 调味; vt.&amp; vi.使变干燥
fourteenth|num.第十四; n.第十四; 每月的第十四日; 十四分之一; adj.第十四的; 十四分之一的
worse|adj.更差的; 更严重的（bad, ill的比较级）; adv.更糟（的是）; 更严重（badly的比较级）; n.更坏的事物
eastern|adj.东方的; 向东的; 东方国家的
iron|n.铁器，铁制品; 熨斗，烙铁; 坚强; 脚镣; adj.铁制的，含铁的; 坚强的，顽强的; 残酷的; 坚忍不拔的; vt.熨烫; 给…上脚镣手铐; 给…装铁具; 用铁铸成; vi.熨衣; （衣服等）被烫平
effort|n.努力; 吃力; 有组织的行动; 费力的事
recent|adj.近来的; 最新的
beside|prep.在…旁边; 与…相比
pronoun|n.&lt;语&gt;代词
sugar|n.食糖; 一匙糖; 宝贝儿，亲爱的; vt.在…加糖; 给…裹上（糖衣或类糖物）; vi.形成糖; int.（做了蠢事或出现差错时表示懊恼，用作 shit 的委婉语）哎呀，真是的
size|n.大小，尺寸; 规模; 胶料，浆糊; 巨大，大量; 尺码; vt.按大小排列; 改变…的大小; 上胶料，上浆; 上涂料
furry|adj.毛皮的，毛皮制的; 有皮毛般覆盖的; 有舌苔的; &lt;美俚&gt;可怕的，毛骨悚然的
impossible|adj.不可能的; 极难应付的; 难以忍受的
daughter|n.女儿
everywhere|adv.到处
board|n.（木）板; 棋盘; 董事会; （用于机构名称中）委员会; 伙食; v.上船/火车/飞机/汽车
value|n.价值（观）; 重要性，用途; 划算程度; 数值; v.重视，珍视; 给…估价
environment|n.生活环境; 自然环境，生态环境
bush|n.灌木; 灌木状的东西（尤指毛发）; 荒野地带
abroad|adv.在/去国外; 广为流传地
essay|n.短文; 论说文; 论文; 企图; v.企图
grammar|n.语法; 语法书; （学术的）基本原理; （人的）语言知识及运用能力
cigarette|n.香烟，卷烟
elder|adj.年长的; n.年长者; 有威望的长者; 长老; 接骨木
thief|n.小偷，盗贼; &lt;口&gt;（使蜡外流的）蜡烛心结的烛花
weight|n.重量，分量，体重; 重物; 重心; 重任，重担; 权重，重要性; 哑铃，杠铃片; 砝码，秤砣; v.加重量于; 使负重; 使加权; 权衡…的价值
complain|v.抱怨，发牢骚
third|num.第三; n.三分之一; 三等学位（英国大学中低于平均水平的学位）; adv.第三(点)
early|adj.早的; 初期的; 开始阶段的; adv.在初期; 提早，提前
empty|adj.空的; 无意义的; 空虚的; 无力的; v.清空; 流入
activity|n.活动，行动; 活跃
us|pron.我们
achieve|v.实现，达到; 完成; 成功
aim|v.旨在; 决定; 力求达到; 针对; 瞄准; n.目标，意图; 瞄准; 准确性
tourist|n.旅行者，观光客; 〈美〉冬季到南部做工的流动工人
silent|adj.沉默的; 未谈及的; 无声的
scientist|n.科学家
connect|v.(使)连接/接通; 把…联系起来; 联运; (使)换乘; 产生共鸣
neither|det. pron; adv.也不; 既不…也不…
engineer|n.工程师; 机械修理工; 轮机手; 工兵; v.密谋策划; 设计制造; 安排; 改变基因
