century|n. 世纪，一百年，成百的东西
yellow|adj. 黄色的 n. 黄色
trousers|n.pl.裤子,长裤
you|pron. 你,你们
courage|n. 勇气
rice|n. 稻,饭,米
zoo|n. 动物园
much|adj. 许多的 adv. 很,非常 pron.&amp;n. 许多
kite|n. 风筝 vt.& vi. 用空头支票骗人,使上升
awful|adj. 可怕的, 畏惧的, 充满敬畏的, 艰难的 adv. 极其
Mr|n. 先生(Mister的缩写)
Chinese|adj. 中国的 n. 汉语,中国人
lake|n. 湖
wrong|adj. 错误的,不正当的,失常的 adv. 错误地 n. 错误,不公正 vt. 伤害,亏待,欺骗,中伤
balloon|n. 气球 vt. 使膨胀 vi. 如气球般膨胀,激增 adj. 气球状的
bathroom|n. 浴室
Canada|n. 加拿大
star|n. 星, 明星 v. 以星状物装饰, 变成演员
Ms|abbr. 毫秒(=millisecond) Ms. n. 女士
ruler|n. 尺子 n. 统治者
about|adj. 准备 adv. 大约 prep. 关于
nice|adj. 美好的,令人愉快的,漂亮的,善意的
try|n. 尝试,试验 vt. 审理,尝试,试验 vi. 尝试
chalk|n. 粉笔 v. 用粉笔写, 记录
email|n.电子信函
small|adj. 小的,少的 adv. 些许地 n. 狭小部分
sweater|n. 毛衣,出汗者
coal|n. 煤, 木炭, 运煤工 vt. 烧成炭,供应煤 vi. 装煤, 加煤
coast|n. 海岸,海滨,滑坡 vt. 沿海岸而行 vi. 下滑
food|n. 食物
potato|n. 马铃薯, 土豆
hot|adj. 热的,热情的,辣的,性感的 adv. 激动地,快速地 n. 最高温度,滚烫的东西
coffee|n. 咖啡
hour|n. 小时,钟点
cold|adj. 冷的, 漠然的, 客观的 n. 感冒, 低温 adv. 唐突地, 无回旋余地地, 即兴地
sad|adj. 悲哀的, 伤心的, 不能令人满意的
college|n. 学院, 学校，社团，枢机主教团
advantage|n. 优势,有利条件 vt. 有利于
lesson|n. 课，教训 vt. 给...上课,教训
new|adj. 新的,附加的 adv. 新的
age|n. 年龄，时期，很长时间 vt. (使)变老 vi. 变老,(使）变成熟
idea|n. 主意, 想法, 观念
library|n. 图书馆, 藏书
beef|n. 牛肉 v. 抱怨, 诉苦
street|n. 街道 adj. 街道的
uncle|n. 伯, 姑父, 舅, 叔, 姨父
ill|adj. 坏的,有病的,引起痛苦的,敌意的 adv. 恶劣地,勉强的 n. 邪恶,不幸,祸害,坏话
kid|n. 小孩, 小山羊, 小山羊皮制品 vi. (山羊,羚羊)生幼崽, 玩恶作剧 vt. 开玩笑, 哄骗, 嘲弄 adj. 相对年幼的
along|adv. 向前,(与某人)一道 prep. 沿着
wear|n. 穿著,磨损,耐久性 vt. 穿著,用旧,耗损,呈现 vi. 磨损, 变旧
already|adv. 已经
strong|adj. 强壮的, 牢固的, 坚定的, 坚强的, 强烈的, 浓的
school|n.学校，学院； 学业； 学派； 学科 vt.训练，锻炼； 教育，教导； 约束； 给...上学
best|adj. 最好的 adv. 最,最好地 n. 最好的人(或物) vt. 胜于
animal|n.动物，兽，牲畜； <俚>家畜，牲口； <俚>畜生（一般的人）； 兽性 adj.动物的； 肉体的； 肉欲的
common|adj. 共同的, 平常的, 普通的 n. 平民, 普通, 公地, 公园
another|adj. 另一,再一 pron.&amp;prep. 另一个
answer|vt.& vi.答复； 解答； 答辩； 适应 n.回答； 答案； 反应； 足以媲美的人
bicycle|n. 自行车 v. 骑自行车
noodle|n. 面条
listen|v. 听，倾听 n. 听，倾听
anywhere|adv. 任何地方 pron. 任何(一个)地方
bit|n. 一点儿,少量 n. 钻头,马嚼子,辅币 n. 位,比特(二进位制信息单位) v. 控制
clothes|n. 衣服
area|n. 地区, 区域, 面积, 方面
see|vt. 看见,经历,明白,确保,视为,拜访,陪同 vi. 注意,想象,了解,调查 n. 主教教区,主角权限
